Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,Period
01:48,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
01:48,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
01:26,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
01:26,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
01:26,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
00:58,,,,,"FOUL  by ELLIS,DOMINIQUE",,,"FOUL  by ELLIS,DOMINIQUE",1
00:58,,,,,"TURNOVER  by ELLIS,DOMINIQUE",,,"TURNOVER  by ELLIS,DOMINIQUE",1
00:58,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
00:58,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
00:37,"GOOD JUMPER by BATES,JACOB(in the paint)",25,,28 (+3),,CEN 25-28 (-3),,"GOOD JUMPER by BATES,JACOB(in the paint)",1
00:06,,,,,"MISS JUMPER by ROWE,RYLAN",,,"MISS JUMPER by ROWE,RYLAN",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
00:01,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:00,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
00:00,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
00:00,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
00:00,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
00:00,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
00:00,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
00:00,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
00:00,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
00:00,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
00:00,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
00:00,,,,,"SUB IN by BENDINGFIELD,ROBERT",,,"SUB IN by BENDINGFIELD,ROBERT",1
00:00,,,,,"SUB OUT by ROWE,RYLAN",,,"SUB OUT by ROWE,RYLAN",1
19:43,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
19:41,,,,,"STEAL  by HOLT,BRENDAN",,,"STEAL  by HOLT,BRENDAN",2
19:28,,25,,30 (+5),"GOOD LAYUP by WILLIAMS,BRANDON(in the paint)",SU 25-30 (-5),,"GOOD LAYUP by WILLIAMS,BRANDON(in the paint)",2
--,,,,,"ASSIST  by HOLT,BRENDAN",,,"ASSIST  by HOLT,BRENDAN",2
19:18,"MISS LAYUP by SPITZER,JAKOB",,,,,,,"MISS LAYUP by SPITZER,JAKOB",2
--,"REBOUND OFF by SPITZER,JAKOB",,,,,,,"REBOUND OFF by SPITZER,JAKOB",2
19:14,,,,,"FOUL  by BENDINGFIELD,ROBERT",,,"FOUL  by BENDINGFIELD,ROBERT",2
19:14,"GOOD FT by SPITZER,JAKOB",26,,30 (+4),,CEN 26-30 (-4),,"GOOD FT by SPITZER,JAKOB",2
19:14,"GOOD FT by SPITZER,JAKOB",27,,30 (+3),,CEN 27-30 (-3),,"GOOD FT by SPITZER,JAKOB",2
19:14,,,,,"SUB IN by ROWE,RYLAN",,,"SUB IN by ROWE,RYLAN",2
19:14,,,,,"SUB OUT by BENDINGFIELD,ROBERT",,,"SUB OUT by BENDINGFIELD,ROBERT",2
18:58,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
18:58,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
18:58,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
18:44,,,,,"MISS JUMPER by HOLT,BRENDAN",,,"MISS JUMPER by HOLT,BRENDAN",2
--,,,,,"REBOUND OFF by WILLIAMS,BRANDON",,,"REBOUND OFF by WILLIAMS,BRANDON",2
18:35,,,,,"MISS 3PTR by WATTS,CORNELIUS",,,"MISS 3PTR by WATTS,CORNELIUS",2
--,,,,,"REBOUND OFF by ELLIS,DOMINIQUE",,,"REBOUND OFF by ELLIS,DOMINIQUE",2
18:30,,,,,"TURNOVER  by ELLIS,DOMINIQUE",,,"TURNOVER  by ELLIS,DOMINIQUE",2
18:28,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",2
18:27,"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",29,,30 (+1),,CEN 29-30 (-1),,"GOOD LAYUP by RAKES,BAILEY(fastbreak)(in the paint)",2
17:58,,29,,33 (+4),"GOOD 3PTR by WILLIAMS,BRANDON",SU 29-33 (-4),,"GOOD 3PTR by WILLIAMS,BRANDON",2
--,,,,,"ASSIST  by WATTS,CORNELIUS",,,"ASSIST  by WATTS,CORNELIUS",2
17:46,"GOOD 3PTR by SINE,TUCKER",32,,33 (+1),,CEN 32-33 (-1),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",2
17:27,,32,,36 (+4),"GOOD 3PTR by ELLIS,DOMINIQUE",SU 32-36 (-4),,"GOOD 3PTR by ELLIS,DOMINIQUE",2
17:02,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by WILLIAMS,BRANDON",,,"REBOUND DEF by WILLIAMS,BRANDON",2
16:53,,,,,"MISS 3PTR by ELLIS,DOMINIQUE",,,"MISS 3PTR by ELLIS,DOMINIQUE",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
16:46,,,,,"FOUL  by ROWE,RYLAN",,,"FOUL  by ROWE,RYLAN",2
16:46,"GOOD FT by RAKES,BAILEY",33,,36 (+3),,CEN 33-36 (-3),,"GOOD FT by RAKES,BAILEY",2
16:46,"MISS FT by RAKES,BAILEY",,,,,,,"MISS FT by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by MONTGOMERY,MARCUS",,,"REBOUND DEF by MONTGOMERY,MARCUS",2
16:46,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
16:46,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
16:46,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
16:46,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
16:46,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
16:46,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
16:46,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
16:46,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
16:46,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
16:46,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
16:46,,,,,"SUB IN by WARREN,BRAEDEN",,,"SUB IN by WARREN,BRAEDEN",2
16:46,,,,,"SUB IN by MCMAHAN,EVAN",,,"SUB IN by MCMAHAN,EVAN",2
16:46,,,,,"SUB IN by WATTS,CORNELIUS",,,"SUB IN by WATTS,CORNELIUS",2
16:46,,,,,"SUB IN by MONTGOMERY,MARCUS",,,"SUB IN by MONTGOMERY,MARCUS",2
16:46,,,,,"SUB IN by ROWE,RYLAN",,,"SUB IN by ROWE,RYLAN",2
16:46,,,,,"SUB OUT by HOLT,BRENDAN",,,"SUB OUT by HOLT,BRENDAN",2
16:46,,,,,"SUB OUT by BENDINGFIELD,ROBERT",,,"SUB OUT by BENDINGFIELD,ROBERT",2
16:46,,,,,"SUB OUT by WATTS,CORNELIUS",,,"SUB OUT by WATTS,CORNELIUS",2
16:46,,,,,"SUB OUT by WILLIAMS,BRANDON",,,"SUB OUT by WILLIAMS,BRANDON",2
16:46,,,,,"SUB OUT by ELLIS,DOMINIQUE",,,"SUB OUT by ELLIS,DOMINIQUE",2
16:27,,33,,39 (+6),"GOOD 3PTR by WATTS,CORNELIUS",SU 33-39 (-6),,"GOOD 3PTR by WATTS,CORNELIUS",2
--,,,,,"ASSIST  by ROWE,RYLAN",,,"ASSIST  by ROWE,RYLAN",2
16:04,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",2
--,"REBOUND OFF by GRIFFIN,JAROD",,,,,,,"REBOUND OFF by GRIFFIN,JAROD",2
15:57,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",35,,39 (+4),,CEN 35-39 (-4),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",2
15:31,,35,,41 (+6),"GOOD JUMPER by MONTGOMERY,MARCUS",SU 35-41 (-6),,"GOOD JUMPER by MONTGOMERY,MARCUS",2
15:07,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by MONTGOMERY,MARCUS",,,"REBOUND DEF by MONTGOMERY,MARCUS",2
14:45,,,,,"MISS 3PTR by ROWE,RYLAN",,,"MISS 3PTR by ROWE,RYLAN",2
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",2
14:38,"GOOD 3PTR by WALKER,ART",38,,41 (+3),,CEN 38-41 (-3),,"GOOD 3PTR by WALKER,ART",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
14:06,,,,,"MISS JUMPER by MONTGOMERY,MARCUS",,,"MISS JUMPER by MONTGOMERY,MARCUS",2
14:06,"BLOCK  by GRIFFIN,JAROD",,,,,,,"BLOCK  by GRIFFIN,JAROD",2
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",2
13:47,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND OFF by RAKES,BAILEY",,,,,,,"REBOUND OFF by RAKES,BAILEY",2
13:34,"GOOD LAYUP by PURVIS,KC(in the paint)",40,,41 (+1),,CEN 40-41 (-1),,"GOOD LAYUP by PURVIS,KC(in the paint)",2
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",2
13:19,,40,,44 (+4),"GOOD 3PTR by ROWE,RYLAN",SU 40-44 (-4),,"GOOD 3PTR by ROWE,RYLAN",2
--,,,,,"ASSIST  by WATTS,CORNELIUS",,,"ASSIST  by WATTS,CORNELIUS",2
12:46,,,,,"FOUL  by WARREN,BRAEDEN",,,"FOUL  by WARREN,BRAEDEN",2
12:46,"GOOD FT by RAKES,BAILEY",41,,44 (+3),,CEN 41-44 (-3),,"GOOD FT by RAKES,BAILEY",2
12:46,"GOOD FT by RAKES,BAILEY",42,,44 (+2),,CEN 42-44 (-2),,"GOOD FT by RAKES,BAILEY",2
12:46,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
12:46,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
12:46,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
12:46,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
12:46,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
12:46,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
12:46,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
12:46,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
12:46,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
12:46,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
12:46,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
12:46,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
12:46,,,,,"SUB IN by WILLIAMS,BRANDON",,,"SUB IN by WILLIAMS,BRANDON",2
12:46,,,,,"SUB IN by WATTS,CORNELIUS",,,"SUB IN by WATTS,CORNELIUS",2
12:46,,,,,"SUB IN by MONTGOMERY,MARCUS",,,"SUB IN by MONTGOMERY,MARCUS",2
12:46,,,,,"SUB IN by ELLIS,DOMINIQUE",,,"SUB IN by ELLIS,DOMINIQUE",2
12:46,,,,,"SUB IN by WALLACE,KEITH",,,"SUB IN by WALLACE,KEITH",2
12:46,,,,,"SUB OUT by HOLT,BRENDAN",,,"SUB OUT by HOLT,BRENDAN",2
12:46,,,,,"SUB OUT by BENDINGFIELD,ROBERT",,,"SUB OUT by BENDINGFIELD,ROBERT",2
12:46,,,,,"SUB OUT by WATTS,CORNELIUS",,,"SUB OUT by WATTS,CORNELIUS",2
12:46,,,,,"SUB OUT by WILLIAMS,BRANDON",,,"SUB OUT by WILLIAMS,BRANDON",2
12:46,,,,,"SUB OUT by ELLIS,DOMINIQUE",,,"SUB OUT by ELLIS,DOMINIQUE",2
12:29,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",2
12:21,,,,,"MISS 3PTR by WALLACE,KEITH",,,"MISS 3PTR by WALLACE,KEITH",2
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",2
12:13,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by WILLIAMS,BRANDON",,,"REBOUND DEF by WILLIAMS,BRANDON",2
12:05,,42,,46 (+4),"GOOD LAYUP by ELLIS,DOMINIQUE(fastbreak)(in the paint)",SU 42-46 (-4),,"GOOD LAYUP by ELLIS,DOMINIQUE(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by WATTS,CORNELIUS",,,"ASSIST  by WATTS,CORNELIUS",2
11:43,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND DEF by WALLACE,KEITH",,,"REBOUND DEF by WALLACE,KEITH",2
11:38,,,,,"TURNOVER  by WATTS,CORNELIUS",,,"TURNOVER  by WATTS,CORNELIUS",2
11:36,,,,,"SUB IN by BENDINGFIELD,ROBERT",,,"SUB IN by BENDINGFIELD,ROBERT",2
11:36,,,,,"SUB OUT by WATTS,CORNELIUS",,,"SUB OUT by WATTS,CORNELIUS",2
11:17,"GOOD 3PTR by CRUMP,DAWSON",45,,46 (+1),,CEN 45-46 (-1),,"GOOD 3PTR by CRUMP,DAWSON",2
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",2
10:43,,45,,48 (+3),"GOOD LAYUP by MONTGOMERY,MARCUS(in the paint)",SU 45-48 (-3),,"GOOD LAYUP by MONTGOMERY,MARCUS(in the paint)",2
10:38,"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",47,,48 (+1),,CEN 47-48 (-1),,"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",2
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",2
10:38,,,,,"FOUL  by MONTGOMERY,MARCUS",,,"FOUL  by MONTGOMERY,MARCUS",2
10:38,"GOOD FT by BATES,JACOB",48,,48,,CEN 48-48 (0),,"GOOD FT by BATES,JACOB",2
10:38,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
10:38,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
10:38,,,,,"SUB IN by HOLT,BRENDAN",,,"SUB IN by HOLT,BRENDAN",2
10:38,,,,,"SUB OUT by WILLIAMS,BRANDON",,,"SUB OUT by WILLIAMS,BRANDON",2
10:23,,48,,50 (+2),"GOOD LAYUP by HOLT,BRENDAN(in the paint)",SU 48-50 (-2),,"GOOD LAYUP by HOLT,BRENDAN(in the paint)",2
10:06,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",2
10:06,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
10:06,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
09:49,,,,,"FOUL  by WALLACE,KEITH",,,"FOUL  by WALLACE,KEITH",2
09:49,,,,,"TURNOVER  by WALLACE,KEITH",,,"TURNOVER  by WALLACE,KEITH",2
09:49,,,,,"SUB IN by WILLIAMS,BRANDON",,,"SUB IN by WILLIAMS,BRANDON",2
09:49,,,,,"SUB OUT by WALLACE,KEITH",,,"SUB OUT by WALLACE,KEITH",2
09:37,"GOOD 3PTR by BATES,JACOB",51 (+1),,50,,CEN 51-50 (+1),,"GOOD 3PTR by BATES,JACOB",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
09:11,,51,,52 (+1),"GOOD LAYUP by ELLIS,DOMINIQUE(in the paint)",SU 51-52 (-1),,"GOOD LAYUP by ELLIS,DOMINIQUE(in the paint)",2
08:46,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:45,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
08:45,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
08:45,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
08:45,,,,,"SUB IN by ROWE,RYLAN",,,"SUB IN by ROWE,RYLAN",2
08:45,,,,,"SUB OUT by MONTGOMERY,MARCUS",,,"SUB OUT by MONTGOMERY,MARCUS",2
08:41,,,,,"MISS JUMPER by BENDINGFIELD,ROBERT",,,"MISS JUMPER by BENDINGFIELD,ROBERT",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
08:25,"GOOD LAYUP by BATES,JACOB(in the paint)",53 (+1),,52,,CEN 53-52 (+1),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
07:54,,,,,"TURNOVER  by ELLIS,DOMINIQUE",,,"TURNOVER  by ELLIS,DOMINIQUE",2
07:34,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
07:28,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",55 (+3),,52,,CEN 55-52 (+3),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",2
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",2
07:15,,55 (+1),,54,"GOOD LAYUP by ELLIS,DOMINIQUE(in the paint)",SU 55-54 (+1),,"GOOD LAYUP by ELLIS,DOMINIQUE(in the paint)",2
--,,,,,"ASSIST  by WILLIAMS,BRANDON",,,"ASSIST  by WILLIAMS,BRANDON",2
06:48,"GOOD JUMPER by GRIFFIN,JAROD(in the paint)",57 (+3),,54,,CEN 57-54 (+3),,"GOOD JUMPER by GRIFFIN,JAROD(in the paint)",2
06:20,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",2
06:20,,57 (+2),,55,"GOOD FT by BENDINGFIELD,ROBERT",SU 57-55 (+2),,"GOOD FT by BENDINGFIELD,ROBERT",2
06:20,,,,,"MISS FT by BENDINGFIELD,ROBERT",,,"MISS FT by BENDINGFIELD,ROBERT",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
06:20,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
06:20,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
06:20,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
06:20,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
06:20,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
06:20,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
06:20,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
06:20,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
06:20,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
06:20,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
05:55,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
05:55,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",2
05:28,,57,,58 (+1),"GOOD 3PTR by WILLIAMS,BRANDON",SU 57-58 (-1),,"GOOD 3PTR by WILLIAMS,BRANDON",2
--,,,,,"ASSIST  by BENDINGFIELD,ROBERT",,,"ASSIST  by BENDINGFIELD,ROBERT",2
05:18,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:03,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
05:03,,,,,"BLOCK  by HOLT,BRENDAN",,,"BLOCK  by HOLT,BRENDAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
05:03,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
05:03,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
04:57,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",2
--,,,,,"REBOUND DEF by BENDINGFIELD,ROBERT",,,"REBOUND DEF by BENDINGFIELD,ROBERT",2
04:37,,,,,"TURNOVER  by BENDINGFIELD,ROBERT",,,"TURNOVER  by BENDINGFIELD,ROBERT",2
04:35,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",2
04:30,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",59 (+1),,58,,CEN 59-58 (+1),,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
04:22,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:22,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
04:22,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
04:22,,,,,"SUB IN by WATTS,CORNELIUS",,,"SUB IN by WATTS,CORNELIUS",2
04:22,,,,,"SUB OUT by BENDINGFIELD,ROBERT",,,"SUB OUT by BENDINGFIELD,ROBERT",2
04:08,,59,,60 (+1),"GOOD LAYUP by HOLT,BRENDAN(in the paint)",SU 59-60 (-1),,"GOOD LAYUP by HOLT,BRENDAN(in the paint)",2
--,,,,,"ASSIST  by ELLIS,DOMINIQUE",,,"ASSIST  by ELLIS,DOMINIQUE",2
03:52,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by WATTS,CORNELIUS",,,"REBOUND DEF by WATTS,CORNELIUS",2
03:27,,,,,"TURNOVER  by HOLT,BRENDAN",,,"TURNOVER  by HOLT,BRENDAN",2
03:08,"GOOD 3PTR by SINE,TUCKER",62 (+2),,60,,CEN 62-60 (+2),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
02:40,,62,,62,"GOOD LAYUP by WATTS,CORNELIUS(in the paint)",SU 62-62 (0),,"GOOD LAYUP by WATTS,CORNELIUS(in the paint)",2
02:18,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
02:18,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
01:57,,62,,64 (+2),"GOOD JUMPER by WATTS,CORNELIUS",SU 62-64 (-2),,"GOOD JUMPER by WATTS,CORNELIUS",2
01:47,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:40,"GOOD LAYUP by AYERS,PERRY(in the paint)",64,,64,,CEN 64-64 (0),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
01:10,,,,,"TURNOVER  by HOLT,BRENDAN",,,"TURNOVER  by HOLT,BRENDAN",2
01:08,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",2
00:58,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",2
00:56,,,,,"STEAL  by HOLT,BRENDAN",,,"STEAL  by HOLT,BRENDAN",2
00:52,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:34,,64,,66 (+2),"GOOD LAYUP by WATTS,CORNELIUS(in the paint)",SU 64-66 (-2),,"GOOD LAYUP by WATTS,CORNELIUS(in the paint)",2
00:28,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:28,,,,,"SUB IN by BENDINGFIELD,ROBERT",,,"SUB IN by BENDINGFIELD,ROBERT",2
00:28,,,,,"SUB OUT by ROWE,RYLAN",,,"SUB OUT by ROWE,RYLAN",2
00:24,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
00:16,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",2
00:14,,,,,"STEAL  by HOLT,BRENDAN",,,"STEAL  by HOLT,BRENDAN",2
00:12,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
00:12,,64,,67 (+3),"GOOD FT by ELLIS,DOMINIQUE",SU 64-67 (-3),,"GOOD FT by ELLIS,DOMINIQUE",2
00:12,,64,,68 (+4),"GOOD FT by ELLIS,DOMINIQUE",SU 64-68 (-4),,"GOOD FT by ELLIS,DOMINIQUE",2
00:12,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
00:12,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
00:07,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",2
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",2
00:02,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",2
00:01,"GOOD LAYUP by AYERS,PERRY(in the paint)",66,,68 (+2),,CEN 66-68 (-2),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
