Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
18:06,"GOOD LAYUP by WALKER,ART(in the paint)",50 (+8),,42,,CENTRE-M 50-42 (+8),,"GOOD LAYUP by WALKER,ART(in the paint)",2
17:55,,50 (+6),,44,"GOOD LAYUP by SMITH,PRESTON(in the paint)",HXM 50-44 (+6),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",2
17:55,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
17:55,,50 (+5),,45,"GOOD FT by SMITH,PRESTON",HXM 50-45 (+5),,"GOOD FT by SMITH,PRESTON",2
17:55,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
17:55,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
17:55,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",2
17:55,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",2
17:25,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",2
17:24,,,,,"STEAL  by HALL,MARCIS",,,"STEAL  by HALL,MARCIS",2
17:20,,50 (+3),,47,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 50-47 (+3),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
17:20,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
17:20,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
17:03,"GOOD LAYUP by BATES,JACOB(in the paint)",52 (+5),,47,,CENTRE-M 52-47 (+5),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
16:38,,,,,"MISS 3PTR by CRISWELL,SEAN",,,"MISS 3PTR by CRISWELL,SEAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
16:34,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",2
16:21,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
16:07,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
16:01,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",2
16:01,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
16:01,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
16:01,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
15:48,,,,,"MISS LAYUP by HALL,MARCIS",,,"MISS LAYUP by HALL,MARCIS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:33,,52 (+3),,49,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",HXM 52-49 (+3),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",2
15:04,,,,,"FOUL  by EATON,JACK",,,"FOUL  by EATON,JACK",2
15:00,"GOOD LAYUP by BATES,JACOB(in the paint)",54 (+5),,49,,CENTRE-M 54-49 (+5),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
14:48,,54 (+3),,51,"GOOD LAYUP by SMITH,PRESTON(in the paint)",HXM 54-51 (+3),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",2
14:26,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",2
14:26,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
14:26,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
14:26,,,,,"SUB IN by FISHER,ELI",,,"SUB IN by FISHER,ELI",2
14:26,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",2
14:25,"GOOD LAYUP by BATES,JACOB(in the paint)",56 (+5),,51,,CENTRE-M 56-51 (+5),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",2
14:13,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
14:13,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:13,,56 (+4),,52,"GOOD FT by HALL,MARCIS",HXM 56-52 (+4),,"GOOD FT by HALL,MARCIS",2
14:13,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
14:13,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
13:55,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by CALAMESE,MICHAEL",,,"REBOUND DEF by CALAMESE,MICHAEL",2
13:34,,,,,"MISS 3PTR by EATON,JACK",,,"MISS 3PTR by EATON,JACK",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
13:24,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",2
--,"REBOUND OFF by PURVIS,KC",,,,,,,"REBOUND OFF by PURVIS,KC",2
13:19,"GOOD 3PTR by WALKER,ART",59 (+7),,52,,CENTRE-M 59-52 (+7),,"GOOD 3PTR by WALKER,ART",2
--,"ASSIST  by PURVIS,KC",,,,,,,"ASSIST  by PURVIS,KC",2
13:03,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",2
13:02,"STEAL  by PURVIS,KC",,,,,,,"STEAL  by PURVIS,KC",2
12:57,"GOOD 3PTR by GRIFFIN,JAROD",62 (+10),,52,,CENTRE-M 62-52 (+10),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
12:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
12:53,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",2
12:53,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
12:40,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",2
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",2
12:36,,62 (+8),,54,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 62-54 (+8),,"GOOD LAYUP by HALL,MARCIS(in the paint)",2
12:36,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",2
12:36,,62 (+7),,55,"GOOD FT by HALL,MARCIS",HXM 62-55 (+7),,"GOOD FT by HALL,MARCIS",2
12:20,"MISS LAYUP by CRUMP,DAWSON",,,,,,,"MISS LAYUP by CRUMP,DAWSON",2
--,"REBOUND OFF by PURVIS,KC",,,,,,,"REBOUND OFF by PURVIS,KC",2
12:17,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",2
12:17,"GOOD FT by PURVIS,KC",63 (+8),,55,,CENTRE-M 63-55 (+8),,"GOOD FT by PURVIS,KC",2
12:17,"GOOD FT by PURVIS,KC",64 (+9),,55,,CENTRE-M 64-55 (+9),,"GOOD FT by PURVIS,KC",2
12:07,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
12:07,,64 (+8),,56,"GOOD FT by HALL,MARCIS",HXM 64-56 (+8),,"GOOD FT by HALL,MARCIS",2
12:07,,64 (+7),,57,"GOOD FT by HALL,MARCIS",HXM 64-57 (+7),,"GOOD FT by HALL,MARCIS",2
12:07,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
12:07,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
12:07,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
12:07,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
11:50,,,,,"FOUL  by FISHER,ELI",,,"FOUL  by FISHER,ELI",2
11:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:50,"GOOD FT by SINE,TUCKER",65 (+8),,57,,CENTRE-M 65-57 (+8),,"GOOD FT by SINE,TUCKER",2
11:50,"GOOD FT by SINE,TUCKER",66 (+9),,57,,CENTRE-M 66-57 (+9),,"GOOD FT by SINE,TUCKER",2
11:39,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
11:31,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",2
11:21,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
10:56,"MISS JUMPER by PURVIS,KC",,,,,,,"MISS JUMPER by PURVIS,KC",2
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",2
10:44,,,,,"MISS LAYUP by CALAMESE,MICHAEL",,,"MISS LAYUP by CALAMESE,MICHAEL",2
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",2
10:35,"GOOD 3PTR by CRUMP,DAWSON",69 (+12),,57,,CENTRE-M 69-57 (+12),,"GOOD 3PTR by CRUMP,DAWSON",2
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",2
10:22,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
10:22,,69 (+11),,58,"GOOD FT by SMITH,PRESTON",HXM 69-58 (+11),,"GOOD FT by SMITH,PRESTON",2
10:22,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
10:22,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
10:22,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
10:22,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
10:22,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
10:22,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",2
10:22,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",2
10:22,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",2
10:22,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",2
10:03,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",2
10:01,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",2
09:59,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",2
09:59,,69 (+10),,59,"GOOD FT by SMITH,PRESTON",HXM 69-59 (+10),,"GOOD FT by SMITH,PRESTON",2
09:59,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",2
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",2
09:59,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
09:59,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
09:59,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",2
09:59,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",2
09:55,"MISS LAYUP by WALKER,ART",,,,,,,"MISS LAYUP by WALKER,ART",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
09:51,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
09:43,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:38,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",2
09:38,"GOOD FT by CRUMP,DAWSON",70 (+11),,59,,CENTRE-M 70-59 (+11),,"GOOD FT by CRUMP,DAWSON",2
09:38,"GOOD FT by CRUMP,DAWSON",71 (+12),,59,,CENTRE-M 71-59 (+12),,"GOOD FT by CRUMP,DAWSON",2
09:38,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",2
09:38,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",2
09:21,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",2
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",2
09:14,"GOOD 3PTR by WALKER,ART",74 (+15),,59,,CENTRE-M 74-59 (+15),,"GOOD 3PTR by WALKER,ART",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
09:08,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
09:08,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
09:08,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
08:53,,,,,"MISS 3PTR by FISHER,ELI",,,"MISS 3PTR by FISHER,ELI",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
08:29,"GOOD LAYUP by BATES,JACOB(in the paint)",76 (+17),,59,,CENTRE-M 76-59 (+17),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
08:29,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
08:29,"GOOD FT by BATES,JACOB",77 (+18),,59,,CENTRE-M 77-59 (+18),,"GOOD FT by BATES,JACOB",2
08:14,,77 (+16),,61,"GOOD JUMPER by BRASFIELD,KAM",HXM 77-61 (+16),,"GOOD JUMPER by BRASFIELD,KAM",2
07:53,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",2
07:53,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
07:36,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",2
07:36,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
07:36,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
07:24,,,,,"FOUL  by ROBERTS,ERIC",,,"FOUL  by ROBERTS,ERIC",2
07:24,"GOOD FT by BATES,JACOB",78 (+17),,61,,CENTRE-M 78-61 (+17),,"GOOD FT by BATES,JACOB",2
07:24,"GOOD FT by BATES,JACOB",79 (+18),,61,,CENTRE-M 79-61 (+18),,"GOOD FT by BATES,JACOB",2
07:24,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
07:24,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
07:24,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
07:24,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
07:24,,,,,"SUB IN by CALAMESE,MICHAEL",,,"SUB IN by CALAMESE,MICHAEL",2
07:24,,,,,"SUB IN by HALL,MARCIS",,,"SUB IN by HALL,MARCIS",2
07:24,,,,,"SUB OUT by ROBERTS,ERIC",,,"SUB OUT by ROBERTS,ERIC",2
07:24,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",2
07:16,,,,,"MISS 3PTR by FISHER,ELI",,,"MISS 3PTR by FISHER,ELI",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:11,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",2
07:11,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:11,,79 (+17),,62,"GOOD FT by HALL,MARCIS",HXM 79-62 (+17),,"GOOD FT by HALL,MARCIS",2
07:11,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
07:11,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
07:11,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
07:11,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
06:56,"MISS LAYUP by CRUMP,DAWSON",,,,,,,"MISS LAYUP by CRUMP,DAWSON",2
--,,,,,"REBOUND DEF by FISHER,ELI",,,"REBOUND DEF by FISHER,ELI",2
06:49,"GOOD LAYUP by SINE,TUCKER(in the paint)",81 (+19),,62,,CENTRE-M 81-62 (+19),,"GOOD LAYUP by SINE,TUCKER(in the paint)",2
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",2
06:35,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",2
06:33,"STEAL  by WALKER,ART",,,,,,,"STEAL  by WALKER,ART",2
06:32,,,,,"FOUL  by SMITH,PRESTON",,,"FOUL  by SMITH,PRESTON",2
06:32,"GOOD FT by WALKER,ART",82 (+20),,62,,CENTRE-M 82-62 (+20),,"GOOD FT by WALKER,ART",2
06:32,"GOOD FT by WALKER,ART",83 (+21),,62,,CENTRE-M 83-62 (+21),,"GOOD FT by WALKER,ART",2
06:32,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
06:32,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
06:32,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
06:32,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
06:32,,,,,"SUB IN by CRISWELL,SEAN",,,"SUB IN by CRISWELL,SEAN",2
06:32,,,,,"SUB IN by BRASFIELD,KAM",,,"SUB IN by BRASFIELD,KAM",2
06:32,,,,,"SUB OUT by EATON,JACK",,,"SUB OUT by EATON,JACK",2
06:32,,,,,"SUB OUT by FISHER,ELI",,,"SUB OUT by FISHER,ELI",2
06:21,,83 (+19),,64,"GOOD JUMPER by HALL,MARCIS",HXM 83-64 (+19),,"GOOD JUMPER by HALL,MARCIS",2
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",2
06:08,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",2
05:59,,,,,"MISS JUMPER by BRASFIELD,KAM",,,"MISS JUMPER by BRASFIELD,KAM",2
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",2
05:49,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:49,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
05:49,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
05:49,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
05:49,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
05:35,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",2
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",2
05:19,,,,,"MISS LAYUP by SMITH,PRESTON",,,"MISS LAYUP by SMITH,PRESTON",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
04:56,,,,,"FOUL  by CALAMESE,MICHAEL",,,"FOUL  by CALAMESE,MICHAEL",2
04:56,"GOOD FT by CRUMP,DAWSON",84 (+20),,64,,CENTRE-M 84-64 (+20),,"GOOD FT by CRUMP,DAWSON",2
04:56,"GOOD FT by CRUMP,DAWSON",85 (+21),,64,,CENTRE-M 85-64 (+21),,"GOOD FT by CRUMP,DAWSON",2
04:46,,,,,"MISS JUMPER by HALL,MARCIS",,,"MISS JUMPER by HALL,MARCIS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
04:32,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",2
04:32,,85 (+20),,65,"GOOD FT by CRISWELL,SEAN",HXM 85-65 (+20),,"GOOD FT by CRISWELL,SEAN",2
04:32,,,,,"MISS FT by CRISWELL,SEAN",,,"MISS FT by CRISWELL,SEAN",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
04:26,"GOOD 3PTR by WALKER,ART",88 (+23),,65,,CENTRE-M 88-65 (+23),,"GOOD 3PTR by WALKER,ART",2
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",2
04:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:17,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
04:17,,,,,"MISS FT by CALAMESE,MICHAEL",,,"MISS FT by CALAMESE,MICHAEL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:17,,88 (+22),,66,"GOOD FT by CALAMESE,MICHAEL",HXM 88-66 (+22),,"GOOD FT by CALAMESE,MICHAEL",2
04:09,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
03:55,,,,,"MISS JUMPER by CRISWELL,SEAN",,,"MISS JUMPER by CRISWELL,SEAN",2
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",2
03:33,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
03:27,"GOOD LAYUP by BATES,JACOB(in the paint)",90 (+24),,66,,CENTRE-M 90-66 (+24),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
03:21,,,,,"MISS 3PTR by BRASFIELD,KAM",,,"MISS 3PTR by BRASFIELD,KAM",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
02:56,,,,,"FOUL  by BRASFIELD,KAM",,,"FOUL  by BRASFIELD,KAM",2
02:56,"GOOD FT by AYERS,PERRY",91 (+25),,66,,CENTRE-M 91-66 (+25),,"GOOD FT by AYERS,PERRY",2
02:56,"GOOD FT by AYERS,PERRY",92 (+26),,66,,CENTRE-M 92-66 (+26),,"GOOD FT by AYERS,PERRY",2
02:56,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
02:56,"SUB IN by MORETTE,MATT",,,,,,,"SUB IN by MORETTE,MATT",2
02:56,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",2
02:56,"SUB IN by WEST,CHRIS",,,,,,,"SUB IN by WEST,CHRIS",2
02:56,"SUB IN by JACKSON,BRAYDEN",,,,,,,"SUB IN by JACKSON,BRAYDEN",2
02:56,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
02:56,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
02:56,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
02:56,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
02:56,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
02:56,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",2
02:56,,,,,"SUB IN by PRINS,ZACHARY",,,"SUB IN by PRINS,ZACHARY",2
02:56,,,,,"SUB IN by CRAWFORD,TRACE",,,"SUB IN by CRAWFORD,TRACE",2
02:56,,,,,"SUB IN by ABELL,STEPHEN",,,"SUB IN by ABELL,STEPHEN",2
02:56,,,,,"SUB IN by SHEPPARD,MARK",,,"SUB IN by SHEPPARD,MARK",2
02:56,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",2
02:56,,,,,"SUB OUT by BRASFIELD,KAM",,,"SUB OUT by BRASFIELD,KAM",2
02:56,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",2
02:56,,,,,"SUB OUT by SMITH,PRESTON",,,"SUB OUT by SMITH,PRESTON",2
02:56,,,,,"SUB OUT by HALL,MARCIS",,,"SUB OUT by HALL,MARCIS",2
02:35,,,,,"MISS LAYUP by CRAWFORD,TRACE",,,"MISS LAYUP by CRAWFORD,TRACE",2
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",2
02:28,"MISS LAYUP by MORETTE,MATT",,,,,,,"MISS LAYUP by MORETTE,MATT",2
--,,,,,"REBOUND DEF by PRINS,ZACHARY",,,"REBOUND DEF by PRINS,ZACHARY",2
02:18,"FOUL  by JACKSON,BRAYDEN",,,,,,,"FOUL  by JACKSON,BRAYDEN",2
02:18,,92 (+25),,67,"GOOD FT by ABELL,STEPHEN",HXM 92-67 (+25),,"GOOD FT by ABELL,STEPHEN",2
02:18,,92 (+24),,68,"GOOD FT by ABELL,STEPHEN",HXM 92-68 (+24),,"GOOD FT by ABELL,STEPHEN",2
02:10,"MISS 3PTR by BROWNLEY,HOGAN",,,,,,,"MISS 3PTR by BROWNLEY,HOGAN",2
--,,,,,"REBOUND DEF by SHEPPARD,MARK",,,"REBOUND DEF by SHEPPARD,MARK",2
02:03,"FOUL  by JACKSON,BRAYDEN",,,,,,,"FOUL  by JACKSON,BRAYDEN",2
02:03,,92 (+23),,69,"GOOD FT by SHEPPARD,MARK",HXM 92-69 (+23),,"GOOD FT by SHEPPARD,MARK",2
02:03,,92 (+22),,70,"GOOD FT by SHEPPARD,MARK",HXM 92-70 (+22),,"GOOD FT by SHEPPARD,MARK",2
02:03,"SUB IN by TERRY,CHRISTIAN",,,,,,,"SUB IN by TERRY,CHRISTIAN",2
02:03,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
01:44,"GOOD LAYUP by JACKSON,BRAYDEN(in the paint)",94 (+24),,70,,CENTRE-M 94-70 (+24),,"GOOD LAYUP by JACKSON,BRAYDEN(in the paint)",2
01:44,,,,,"FOUL  by SHEPPARD,MARK",,,"FOUL  by SHEPPARD,MARK",2
