Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
09:24,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",1
09:24,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
09:24,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
09:07,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
09:07,"BLOCK  by EATON,JACK",,,,,,,"BLOCK  by EATON,JACK",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
09:04,,15,,29 (+14),"GOOD 3PTR by CRUMP,DAWSON",CENTRE-M 15-29 (+14),,"GOOD 3PTR by CRUMP,DAWSON",1
--,,,,,"ASSIST  by PURVIS,KC",,,"ASSIST  by PURVIS,KC",1
08:51,"MISS JUMPER by BRASFIELD,KAM",,,,,,,"MISS JUMPER by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
08:43,,15,,32 (+17),"GOOD 3PTR by CRUMP,DAWSON(fastbreak)",CENTRE-M 15-32 (+17),,"GOOD 3PTR by CRUMP,DAWSON(fastbreak)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
08:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:37,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
08:37,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
08:24,"MISS 3PTR by CALAMESE,MICHAEL",,,,,,,"MISS 3PTR by CALAMESE,MICHAEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:21,"FOUL  by HALL,MARCIS",,,,,,,"FOUL  by HALL,MARCIS",1
08:10,,15,,35 (+20),"GOOD 3PTR by AYERS,PERRY",CENTRE-M 15-35 (+20),,"GOOD 3PTR by AYERS,PERRY",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
07:47,"MISS JUMPER by CRISWELL,SEAN",,,,,,,"MISS JUMPER by CRISWELL,SEAN",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
07:32,,,,,"TURNOVER  by PURVIS,KC",,,"TURNOVER  by PURVIS,KC",1
07:32,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:32,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
07:32,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
07:16,"TURNOVER  by HALL,MARCIS",,,,,,,"TURNOVER  by HALL,MARCIS",1
06:53,,15,,38 (+23),"GOOD 3PTR by WALKER,ART",CENTRE-M 15-38 (+23),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
06:37,"TURNOVER  by EATON,JACK",,,,,,,"TURNOVER  by EATON,JACK",1
06:37,"SUB IN by FISHER,ELI",,,,,,,"SUB IN by FISHER,ELI",1
06:37,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",1
06:37,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
06:37,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
06:24,,15,,41 (+26),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE-M 15-41 (+26),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
06:12,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
06:03,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",1
05:46,,15,,44 (+29),"GOOD 3PTR by AYERS,PERRY",CENTRE-M 15-44 (+29),,"GOOD 3PTR by AYERS,PERRY",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
05:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:37,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
05:37,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
05:32,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",1
05:32,"GOOD FT by SMITH,PRESTON",16,,44 (+28),,HXM 16-44 (+28),,"GOOD FT by SMITH,PRESTON",1
05:32,"GOOD FT by SMITH,PRESTON",17,,44 (+27),,HXM 17-44 (+27),,"GOOD FT by SMITH,PRESTON",1
05:32,"GOOD FT by SMITH,PRESTON",18,,44 (+26),,HXM 18-44 (+26),,"GOOD FT by SMITH,PRESTON",1
05:15,,18,,46 (+28),"GOOD JUMPER by WALKER,ART(in the paint)",CENTRE-M 18-46 (+28),,"GOOD JUMPER by WALKER,ART(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
04:59,"MISS 3PTR by FISHER,ELI",,,,,,,"MISS 3PTR by FISHER,ELI",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
04:47,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",1
--,"REBOUND DEF by EATON,JACK",,,,,,,"REBOUND DEF by EATON,JACK",1
04:36,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",1
04:34,,,,,"STEAL  by WALKER,ART",,,"STEAL  by WALKER,ART",1
04:29,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
04:28,"STEAL  by EATON,JACK",,,,,,,"STEAL  by EATON,JACK",1
04:26,"TURNOVER  by EATON,JACK",,,,,,,"TURNOVER  by EATON,JACK",1
04:24,,,,,"STEAL  by AYERS,PERRY",,,"STEAL  by AYERS,PERRY",1
04:20,,18,,48 (+30),"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",CENTRE-M 18-48 (+30),,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
04:11,"MISS LAYUP by BRASFIELD,KAM",,,,,,,"MISS LAYUP by BRASFIELD,KAM",1
04:11,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
