Time Remaining,CENTMBB,Away Team Score,Play Team Indicator,Home Team Score,WUMBB,Game Score,Team Indicator,Play,Period
14:20,"GOOD JUMPER by SPITZER,JAKOB",38,,40 (+2),,CENTMBB 38-40 (-2),,"GOOD JUMPER by SPITZER,JAKOB",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
14:07,,38,,42 (+4),"GOOD JUMPER by WILCOX,NIGEL",WUMBB 38-42 (-4),,"GOOD JUMPER by WILCOX,NIGEL",2
--,,,,,"ASSIST  by CRESPO,CHRISTIAN",,,"ASSIST  by CRESPO,CHRISTIAN",2
13:47,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",2
--,"REBOUND OFF by SPITZER,JAKOB",,,,,,,"REBOUND OFF by SPITZER,JAKOB",2
13:44,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by TANKINS,ENRIQUE",,,"REBOUND DEF by TANKINS,ENRIQUE",2
13:36,,,,,"TURNOVER  by TANKINS,ENRIQUE",,,"TURNOVER  by TANKINS,ENRIQUE",2
13:34,"STEAL  by WALKER,ART",,,,,,,"STEAL  by WALKER,ART",2
13:11,"GOOD 3PTR by WALKER,ART",41,,42 (+1),,CENTMBB 41-42 (-1),,"GOOD 3PTR by WALKER,ART",2
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",2
12:47,,41,,44 (+3),"GOOD JUMPER by CRESPO,CHRISTIAN",WUMBB 41-44 (-3),,"GOOD JUMPER by CRESPO,CHRISTIAN",2
--,,,,,"ASSIST  by TANKINS,ENRIQUE",,,"ASSIST  by TANKINS,ENRIQUE",2
12:32,"GOOD 3PTR by GRIFFIN,JAROD",44,,44,,CENTMBB 44-44 (0),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",2
12:10,,44,,46 (+2),"GOOD JUMPER by TANKINS,ENRIQUE",WUMBB 44-46 (-2),,"GOOD JUMPER by TANKINS,ENRIQUE",2
--,,,,,"ASSIST  by CRESPO,CHRISTIAN",,,"ASSIST  by CRESPO,CHRISTIAN",2
11:51,"GOOD 3PTR by WALKER,ART",47 (+1),,46,,CENTMBB 47-46 (+1),,"GOOD 3PTR by WALKER,ART",2
--,"ASSIST  by SPITZER,JAKOB",,,,,,,"ASSIST  by SPITZER,JAKOB",2
11:37,,47,,48 (+1),"GOOD JUMPER by DUNN,MICHAEL",WUMBB 47-48 (-1),,"GOOD JUMPER by DUNN,MICHAEL",2
--,,,,,"ASSIST  by JOHNSON,JOSH",,,"ASSIST  by JOHNSON,JOSH",2
11:20,"GOOD JUMPER by WALKER,ART",49 (+1),,48,,CENTMBB 49-48 (+1),,"GOOD JUMPER by WALKER,ART",2
11:06,,,,,"TURNOVER  by TANKINS,ENRIQUE",,,"TURNOVER  by TANKINS,ENRIQUE",2
11:05,"STEAL  by CRUMP,DAWSON",,,,,,,"STEAL  by CRUMP,DAWSON",2
11:00,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",2
11:00,,,,,"BLOCK  by CRESPO,CHRISTIAN",,,"BLOCK  by CRESPO,CHRISTIAN",2
--,,,,,"REBOUND DEF by WILCOX,NIGEL",,,"REBOUND DEF by WILCOX,NIGEL",2
10:40,,49,,50 (+1),"GOOD JUMPER by WILCOX,NIGEL",WUMBB 49-50 (-1),,"GOOD JUMPER by WILCOX,NIGEL",2
--,,,,,"ASSIST  by TANKINS,ENRIQUE",,,"ASSIST  by TANKINS,ENRIQUE",2
10:40,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
10:40,,,,,"MISS FT by WILCOX,NIGEL",,,"MISS FT by WILCOX,NIGEL",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
10:40,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
10:40,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
10:40,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
10:40,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
10:40,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
10:40,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
10:40,,,,,"SUB IN by VAN NEST,PARKER",,,"SUB IN by VAN NEST,PARKER",2
10:40,,,,,"SUB IN by ETIENNE,RODSON",,,"SUB IN by ETIENNE,RODSON",2
10:40,,,,,"SUB IN by MACIAS,ELIJAH",,,"SUB IN by MACIAS,ELIJAH",2
10:40,,,,,"SUB OUT by DUNN,MICHAEL",,,"SUB OUT by DUNN,MICHAEL",2
10:40,,,,,"SUB OUT by TANKINS,ENRIQUE",,,"SUB OUT by TANKINS,ENRIQUE",2
10:40,,,,,"SUB OUT by JOHNSON,JOSH",,,"SUB OUT by JOHNSON,JOSH",2
10:25,"GOOD JUMPER by SINE,TUCKER",51 (+1),,50,,CENTMBB 51-50 (+1),,"GOOD JUMPER by SINE,TUCKER",2
10:14,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
09:58,,51,,52 (+1),"GOOD JUMPER by WILCOX,NIGEL",WUMBB 51-52 (-1),,"GOOD JUMPER by WILCOX,NIGEL",2
--,,,,,"ASSIST  by CRESPO,CHRISTIAN",,,"ASSIST  by CRESPO,CHRISTIAN",2
09:35,"GOOD JUMPER by SCHMUCKER,ZACH",53 (+1),,52,,CENTMBB 53-52 (+1),,"GOOD JUMPER by SCHMUCKER,ZACH",2
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",2
09:22,,,,,"MISS JUMPER by CRESPO,CHRISTIAN",,,"MISS JUMPER by CRESPO,CHRISTIAN",2
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",2
09:17,,,,,"FOUL  by MACIAS,ELIJAH",,,"FOUL  by MACIAS,ELIJAH",2
09:17,"GOOD FT by WALKER,ART",54 (+2),,52,,CENTMBB 54-52 (+2),,"GOOD FT by WALKER,ART",2
09:17,"GOOD FT by WALKER,ART",55 (+3),,52,,CENTMBB 55-52 (+3),,"GOOD FT by WALKER,ART",2
09:17,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
09:17,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
08:55,,55,,55,"GOOD 3PTR by CRESPO,CHRISTIAN",WUMBB 55-55 (0),,"GOOD 3PTR by CRESPO,CHRISTIAN",2
--,,,,,"ASSIST  by MACIAS,ELIJAH",,,"ASSIST  by MACIAS,ELIJAH",2
08:39,"GOOD JUMPER by AYERS,PERRY",57 (+2),,55,,CENTMBB 57-55 (+2),,"GOOD JUMPER by AYERS,PERRY",2
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",2
08:39,,,,,"FOUL  by WILCOX,NIGEL",,,"FOUL  by WILCOX,NIGEL",2
08:39,"GOOD FT by AYERS,PERRY",58 (+3),,55,,CENTMBB 58-55 (+3),,"GOOD FT by AYERS,PERRY",2
08:39,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
08:39,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
08:10,,58,,58,"GOOD 3PTR by MACIAS,ELIJAH",WUMBB 58-58 (0),,"GOOD 3PTR by MACIAS,ELIJAH",2
--,,,,,"ASSIST  by WILCOX,NIGEL",,,"ASSIST  by WILCOX,NIGEL",2
07:46,"GOOD JUMPER by SINE,TUCKER",60 (+2),,58,,CENTMBB 60-58 (+2),,"GOOD JUMPER by SINE,TUCKER",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
07:31,,60,,60,"GOOD JUMPER by CRESPO,CHRISTIAN",WUMBB 60-60 (0),,"GOOD JUMPER by CRESPO,CHRISTIAN",2
07:01,"GOOD 3PTR by SINE,TUCKER",63 (+3),,60,,CENTMBB 63-60 (+3),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
06:43,,63 (+1),,62,"GOOD JUMPER by WILCOX,NIGEL",WUMBB 63-62 (+1),,"GOOD JUMPER by WILCOX,NIGEL",2
--,,,,,"ASSIST  by CRESPO,CHRISTIAN",,,"ASSIST  by CRESPO,CHRISTIAN",2
06:22,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by VAN NEST,PARKER",,,"REBOUND DEF by VAN NEST,PARKER",2
06:02,,63,,65 (+2),"GOOD 3PTR by MACIAS,ELIJAH",WUMBB 63-65 (-2),,"GOOD 3PTR by MACIAS,ELIJAH",2
--,,,,,"ASSIST  by WILCOX,NIGEL",,,"ASSIST  by WILCOX,NIGEL",2
05:44,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by ETIENNE,RODSON",,,"REBOUND DEF by ETIENNE,RODSON",2
05:40,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
05:40,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
05:40,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
05:40,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
05:40,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
05:13,,63,,68 (+5),"GOOD 3PTR by CRESPO,CHRISTIAN",WUMBB 63-68 (-5),,"GOOD 3PTR by CRESPO,CHRISTIAN",2
--,,,,,"ASSIST  by VAN NEST,PARKER",,,"ASSIST  by VAN NEST,PARKER",2
04:52,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",2
04:52,,,,,"BLOCK  by ETIENNE,RODSON",,,"BLOCK  by ETIENNE,RODSON",2
--,,,,,"REBOUND DEF by WILCOX,NIGEL",,,"REBOUND DEF by WILCOX,NIGEL",2
04:37,,,,,"TURNOVER  by CRESPO,CHRISTIAN",,,"TURNOVER  by CRESPO,CHRISTIAN",2
04:36,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",2
04:33,,,,,"FOUL  by VAN NEST,PARKER",,,"FOUL  by VAN NEST,PARKER",2
04:33,"GOOD FT by GRIFFIN,JAROD",64,,68 (+4),,CENTMBB 64-68 (-4),,"GOOD FT by GRIFFIN,JAROD",2
04:33,"MISS FT by GRIFFIN,JAROD",,,,,,,"MISS FT by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by WILCOX,NIGEL",,,"REBOUND DEF by WILCOX,NIGEL",2
04:33,,,,,"SUB IN by TANKINS,ENRIQUE",,,"SUB IN by TANKINS,ENRIQUE",2
04:33,,,,,"SUB IN by JOHNSON,JOSH",,,"SUB IN by JOHNSON,JOSH",2
04:33,,,,,"SUB OUT by VAN NEST,PARKER",,,"SUB OUT by VAN NEST,PARKER",2
04:33,,,,,"SUB OUT by CRESPO,CHRISTIAN",,,"SUB OUT by CRESPO,CHRISTIAN",2
04:14,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",2
04:14,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
04:14,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
04:03,,,,,"MISS 3PTR by WILCOX,NIGEL",,,"MISS 3PTR by WILCOX,NIGEL",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
03:49,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by TANKINS,ENRIQUE",,,"REBOUND DEF by TANKINS,ENRIQUE",2
03:38,,64,,70 (+6),"GOOD JUMPER by WILCOX,NIGEL",WUMBB 64-70 (-6),,"GOOD JUMPER by WILCOX,NIGEL",2
--,,,,,"ASSIST  by TANKINS,ENRIQUE",,,"ASSIST  by TANKINS,ENRIQUE",2
03:18,,,,,"FOUL  by TANKINS,ENRIQUE",,,"FOUL  by TANKINS,ENRIQUE",2
03:18,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:18,"GOOD FT by BATES,JACOB",65,,70 (+5),,CENTMBB 65-70 (-5),,"GOOD FT by BATES,JACOB",2
02:56,,,,,"MISS JUMPER by TANKINS,ENRIQUE",,,"MISS JUMPER by TANKINS,ENRIQUE",2
--,,,,,"REBOUND OFF by WILCOX,NIGEL",,,"REBOUND OFF by WILCOX,NIGEL",2
02:48,,,,,"MISS JUMPER by JOHNSON,JOSH",,,"MISS JUMPER by JOHNSON,JOSH",2
--,,,,,"REBOUND OFF by MACIAS,ELIJAH",,,"REBOUND OFF by MACIAS,ELIJAH",2
02:37,,,,,"MISS JUMPER by MACIAS,ELIJAH",,,"MISS JUMPER by MACIAS,ELIJAH",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
02:36,,,,,"SUB IN by DUNN,MICHAEL",,,"SUB IN by DUNN,MICHAEL",2
02:36,,,,,"SUB OUT by MACIAS,ELIJAH",,,"SUB OUT by MACIAS,ELIJAH",2
02:15,"GOOD JUMPER by RAKES,BAILEY",67,,70 (+3),,CENTMBB 67-70 (-3),,"GOOD JUMPER by RAKES,BAILEY",2
02:02,,,,,"TURNOVER  by ETIENNE,RODSON",,,"TURNOVER  by ETIENNE,RODSON",2
02:02,,,,,"FOUL  by ETIENNE,RODSON",,,"FOUL  by ETIENNE,RODSON",2
01:45,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",2
--,,,,,"REBOUND DEF by TANKINS,ENRIQUE",,,"REBOUND DEF by TANKINS,ENRIQUE",2
01:26,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
01:26,,,,,"MISS FT by WILCOX,NIGEL",,,"MISS FT by WILCOX,NIGEL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:26,,,,,"MISS FT by WILCOX,NIGEL",,,"MISS FT by WILCOX,NIGEL",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
00:59,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by ETIENNE,RODSON",,,"REBOUND DEF by ETIENNE,RODSON",2
00:55,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",2
00:55,,67,,71 (+4),"GOOD FT by ETIENNE,RODSON",WUMBB 67-71 (-4),,"GOOD FT by ETIENNE,RODSON",2
00:55,,67,,72 (+5),"GOOD FT by ETIENNE,RODSON",WUMBB 67-72 (-5),,"GOOD FT by ETIENNE,RODSON",2
00:55,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
00:55,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
00:30,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",2
--,,,,,"REBOUND DEF by WILCOX,NIGEL",,,"REBOUND DEF by WILCOX,NIGEL",2
00:29,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
00:29,,67,,73 (+6),"GOOD FT by WILCOX,NIGEL",WUMBB 67-73 (-6),,"GOOD FT by WILCOX,NIGEL",2
00:29,,67,,74 (+7),"GOOD FT by WILCOX,NIGEL",WUMBB 67-74 (-7),,"GOOD FT by WILCOX,NIGEL",2
00:16,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by ETIENNE,RODSON",,,"REBOUND DEF by ETIENNE,RODSON",2
00:15,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",2
00:15,,67,,75 (+8),"GOOD FT by JOHNSON,JOSH",WUMBB 67-75 (-8),,"GOOD FT by JOHNSON,JOSH",2
00:15,,67,,76 (+9),"GOOD FT by JOHNSON,JOSH",WUMBB 67-76 (-9),,"GOOD FT by JOHNSON,JOSH",2
00:15,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
00:15,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
00:15,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
00:15,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
00:15,,,,,"SUB IN by WILCOX,NIGEL",,,"SUB IN by WILCOX,NIGEL",2
00:15,,,,,"SUB IN by ETIENNE,RODSON",,,"SUB IN by ETIENNE,RODSON",2
00:15,,,,,"SUB IN by VAN NEST,PARKER",,,"SUB IN by VAN NEST,PARKER",2
00:15,,,,,"SUB IN by CRESPO,CHRISTIAN",,,"SUB IN by CRESPO,CHRISTIAN",2
00:15,,,,,"SUB OUT by VAN NEST,PARKER",,,"SUB OUT by VAN NEST,PARKER",2
00:15,,,,,"SUB OUT by CRESPO,CHRISTIAN",,,"SUB OUT by CRESPO,CHRISTIAN",2
00:15,,,,,"SUB OUT by WILCOX,NIGEL",,,"SUB OUT by WILCOX,NIGEL",2
00:15,,,,,"SUB OUT by ETIENNE,RODSON",,,"SUB OUT by ETIENNE,RODSON",2
00:00,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by TANKINS,ENRIQUE",,,"REBOUND DEF by TANKINS,ENRIQUE",2
