Time Remaining,CC-M,Away Team Score,Play Team Indicator,Home Team Score,EC-M,Game Score,Team Indicator,Play,Period
00:25,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",1
00:25,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
00:02,,45 (+5),,40,"GOOD 3PTR by WAIRE,ISAIAH",EC-M 45-40 (+5),,"GOOD 3PTR by WAIRE,ISAIAH",1
20:00,,,,,"SUB IN by WAIRE,ISAIAH",,,"SUB IN by WAIRE,ISAIAH",2
20:00,,,,,"SUB IN by BONIN,BLAKE",,,"SUB IN by BONIN,BLAKE",2
20:00,,,,,"SUB OUT by DOLIBOA,AUSTIN",,,"SUB OUT by DOLIBOA,AUSTIN",2
20:00,,,,,"SUB OUT by BARNES,JAMEL",,,"SUB OUT by BARNES,JAMEL",2
19:39,,,,,"MISS JUMPER by WAIRE,ISAIAH",,,"MISS JUMPER by WAIRE,ISAIAH",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
19:18,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND DEF by ZOLMAN,CHAINEY",,,"REBOUND DEF by ZOLMAN,CHAINEY",2
18:58,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
18:41,,,,,"TURNOVER  by JR,DARRELL HUTCHISON",,,"TURNOVER  by JR,DARRELL HUTCHISON",2
18:41,,,,,"FOUL  by JR,DARRELL HUTCHISON",,,"FOUL  by JR,DARRELL HUTCHISON",2
18:20,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",2
18:20,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
18:06,,,,,"TURNOVER  by JR,DARRELL HUTCHISON",,,"TURNOVER  by JR,DARRELL HUTCHISON",2
18:05,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",2
17:55,"GOOD LAYUP by AYERS,PERRY(in the paint)",47 (+7),,40,,CC-M 47-40 (+7),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
17:46,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",2
17:39,,,,,"MISS JUMPER by JR,DARRELL HUTCHISON",,,"MISS JUMPER by JR,DARRELL HUTCHISON",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
17:28,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",2
17:19,,47 (+4),,43,"GOOD 3PTR by BONIN,BLAKE",EC-M 47-43 (+4),,"GOOD 3PTR by BONIN,BLAKE",2
--,,,,,"ASSIST  by JR,DARRELL HUTCHISON",,,"ASSIST  by JR,DARRELL HUTCHISON",2
17:01,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",49 (+6),,43,,CC-M 49-43 (+6),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",2
16:46,,49 (+4),,45,"GOOD JUMPER by JR,DARRELL HUTCHISON",EC-M 49-45 (+4),,"GOOD JUMPER by JR,DARRELL HUTCHISON",2
--,,,,,"ASSIST  by ZOLMAN,CHAINEY",,,"ASSIST  by ZOLMAN,CHAINEY",2
16:22,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",2
--,,,,,"REBOUND DEF by WILSON-THOMAS,ELIJAH",,,"REBOUND DEF by WILSON-THOMAS,ELIJAH",2
16:17,,,,,"TURNOVER  by WILSON-THOMAS,ELIJAH",,,"TURNOVER  by WILSON-THOMAS,ELIJAH",2
16:14,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",2
16:14,,,,,"FOUL  by BONIN,BLAKE",,,"FOUL  by BONIN,BLAKE",2
16:14,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
16:14,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
16:14,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
16:14,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
16:14,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
16:14,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
16:14,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
16:14,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
16:08,"GOOD 3PTR by WALKER,ART",52 (+7),,45,,CC-M 52-45 (+7),,"GOOD 3PTR by WALKER,ART",2
15:46,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
15:46,,52 (+6),,46,"GOOD FT by ZOLMAN,CHAINEY",EC-M 52-46 (+6),,"GOOD FT by ZOLMAN,CHAINEY",2
15:46,,,,,"MISS FT by ZOLMAN,CHAINEY",,,"MISS FT by ZOLMAN,CHAINEY",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
15:46,,,,,"SUB IN by DOLIBOA,AUSTIN",,,"SUB IN by DOLIBOA,AUSTIN",2
15:46,,,,,"SUB OUT by JR,DARRELL HUTCHISON",,,"SUB OUT by JR,DARRELL HUTCHISON",2
15:23,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",2
15:23,,,,,"SUB IN by ELDOSOUGI,TARIG",,,"SUB IN by ELDOSOUGI,TARIG",2
15:23,,,,,"SUB OUT by ZOLMAN,CHAINEY",,,"SUB OUT by ZOLMAN,CHAINEY",2
14:59,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
14:59,,52 (+5),,47,"GOOD FT by WAIRE,ISAIAH",EC-M 52-47 (+5),,"GOOD FT by WAIRE,ISAIAH",2
14:59,,,,,"MISS FT by WAIRE,ISAIAH",,,"MISS FT by WAIRE,ISAIAH",2
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",2
14:59,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
14:59,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
14:59,,,,,"SUB IN by BARNES,JAMEL",,,"SUB IN by BARNES,JAMEL",2
14:59,,,,,"SUB OUT by WILSON-THOMAS,ELIJAH",,,"SUB OUT by WILSON-THOMAS,ELIJAH",2
14:46,,,,,"FOUL  by BARNES,JAMEL",,,"FOUL  by BARNES,JAMEL",2
14:46,"GOOD FT by WALKER,ART",53 (+6),,47,,CC-M 53-47 (+6),,"GOOD FT by WALKER,ART",2
14:46,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
14:46,"GOOD FT by WALKER,ART",54 (+7),,47,,CC-M 54-47 (+7),,"GOOD FT by WALKER,ART",2
14:33,,54 (+5),,49,"GOOD LAYUP by DOLIBOA,AUSTIN(in the paint)",EC-M 54-49 (+5),,"GOOD LAYUP by DOLIBOA,AUSTIN(in the paint)",2
--,,,,,"ASSIST  by BONIN,BLAKE",,,"ASSIST  by BONIN,BLAKE",2
14:18,"GOOD 3PTR by SINE,TUCKER",57 (+8),,49,,CC-M 57-49 (+8),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",2
14:01,,,,,"TURNOVER  by BONIN,BLAKE",,,"TURNOVER  by BONIN,BLAKE",2
13:58,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",2
13:54,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",59 (+10),,49,,CC-M 59-49 (+10),,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",2
13:49,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
13:49,,59 (+9),,50,"GOOD FT by ELDOSOUGI,TARIG",EC-M 59-50 (+9),,"GOOD FT by ELDOSOUGI,TARIG",2
13:49,,59 (+8),,51,"GOOD FT by ELDOSOUGI,TARIG",EC-M 59-51 (+8),,"GOOD FT by ELDOSOUGI,TARIG",2
13:49,,,,,"SUB IN by ZOLMAN,CHAINEY",,,"SUB IN by ZOLMAN,CHAINEY",2
13:49,,,,,"SUB OUT by ELDOSOUGI,TARIG",,,"SUB OUT by ELDOSOUGI,TARIG",2
13:29,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",2
13:28,,,,,"STEAL  by BONIN,BLAKE",,,"STEAL  by BONIN,BLAKE",2
13:26,,,,,"MISS 3PTR by WAIRE,ISAIAH",,,"MISS 3PTR by WAIRE,ISAIAH",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
13:10,,,,,"FOUL  by ZOLMAN,CHAINEY",,,"FOUL  by ZOLMAN,CHAINEY",2
13:10,"GOOD FT by BATES,JACOB",60 (+9),,51,,CC-M 60-51 (+9),,"GOOD FT by BATES,JACOB",2
13:10,"GOOD FT by BATES,JACOB",61 (+10),,51,,CC-M 61-51 (+10),,"GOOD FT by BATES,JACOB",2
13:10,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
13:10,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
13:10,,,,,"SUB IN by WILSON-THOMAS,ELIJAH",,,"SUB IN by WILSON-THOMAS,ELIJAH",2
13:10,,,,,"SUB OUT by WAIRE,ISAIAH",,,"SUB OUT by WAIRE,ISAIAH",2
12:53,,,,,"TURNOVER  by ZOLMAN,CHAINEY",,,"TURNOVER  by ZOLMAN,CHAINEY",2
12:50,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",2
12:49,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",2
12:48,,,,,"STEAL  by DOLIBOA,AUSTIN",,,"STEAL  by DOLIBOA,AUSTIN",2
12:43,,,,,"MISS LAYUP by BARNES,JAMEL",,,"MISS LAYUP by BARNES,JAMEL",2
--,,,,,"REBOUND OFF by ZOLMAN,CHAINEY",,,"REBOUND OFF by ZOLMAN,CHAINEY",2
12:41,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
12:41,,61 (+9),,52,"GOOD FT by ZOLMAN,CHAINEY",EC-M 61-52 (+9),,"GOOD FT by ZOLMAN,CHAINEY",2
12:41,,,,,"MISS FT by ZOLMAN,CHAINEY",,,"MISS FT by ZOLMAN,CHAINEY",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
12:41,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
12:41,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
12:26,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",2
12:26,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",2
12:26,,,,,"SUB IN by JR,DARRELL HUTCHISON",,,"SUB IN by JR,DARRELL HUTCHISON",2
12:26,,,,,"SUB OUT by DOLIBOA,AUSTIN",,,"SUB OUT by DOLIBOA,AUSTIN",2
--,,,,,"ASSIST  by BONIN,BLAKE",,,"ASSIST  by BONIN,BLAKE",2
12:11,,61 (+7),,54,"GOOD LAYUP by JR,DARRELL HUTCHISON(in the paint)",EC-M 61-54 (+7),,"GOOD LAYUP by JR,DARRELL HUTCHISON(in the paint)",2
12:11,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",2
12:11,,61 (+6),,55,"GOOD FT by JR,DARRELL HUTCHISON",EC-M 61-55 (+6),,"GOOD FT by JR,DARRELL HUTCHISON",2
12:11,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
12:11,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
12:11,,,,,"SUB IN by JR,KENNETH STALLING",,,"SUB IN by JR,KENNETH STALLING",2
12:11,,,,,"SUB IN by WAIRE,ISAIAH",,,"SUB IN by WAIRE,ISAIAH",2
12:11,,,,,"SUB OUT by BARNES,JAMEL",,,"SUB OUT by BARNES,JAMEL",2
12:11,,,,,"SUB OUT by BONIN,BLAKE",,,"SUB OUT by BONIN,BLAKE",2
11:58,,,,,"FOUL  by WILSON-THOMAS,ELIJAH",,,"FOUL  by WILSON-THOMAS,ELIJAH",2
11:47,"GOOD JUMPER by RAKES,BAILEY(in the paint)",63 (+8),,55,,CC-M 63-55 (+8),,"GOOD JUMPER by RAKES,BAILEY(in the paint)",2
11:31,,63 (+6),,57,"GOOD LAYUP by JR,DARRELL HUTCHISON(in the paint)",EC-M 63-57 (+6),,"GOOD LAYUP by JR,DARRELL HUTCHISON(in the paint)",2
--,,,,,"ASSIST  by WAIRE,ISAIAH",,,"ASSIST  by WAIRE,ISAIAH",2
11:14,"GOOD JUMPER by RAKES,BAILEY",65 (+8),,57,,CC-M 65-57 (+8),,"GOOD JUMPER by RAKES,BAILEY",2
10:53,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
10:53,,65 (+7),,58,"GOOD FT by ZOLMAN,CHAINEY",EC-M 65-58 (+7),,"GOOD FT by ZOLMAN,CHAINEY",2
10:53,,65 (+6),,59,"GOOD FT by ZOLMAN,CHAINEY",EC-M 65-59 (+6),,"GOOD FT by ZOLMAN,CHAINEY",2
10:53,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
10:53,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
10:53,,,,,"SUB IN by BARNES,JAMEL",,,"SUB IN by BARNES,JAMEL",2
10:53,,,,,"SUB OUT by WILSON-THOMAS,ELIJAH",,,"SUB OUT by WILSON-THOMAS,ELIJAH",2
10:44,"GOOD LAYUP by AYERS,PERRY(in the paint)",67 (+8),,59,,CC-M 67-59 (+8),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
10:29,,,,,"MISS JUMPER by JR,DARRELL HUTCHISON",,,"MISS JUMPER by JR,DARRELL HUTCHISON",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
10:22,"GOOD LAYUP by AYERS,PERRY(fastbreak)(in the paint)",69 (+10),,59,,CC-M 69-59 (+10),,"GOOD LAYUP by AYERS,PERRY(fastbreak)(in the paint)",2
10:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
10:14,,,,,"SUB IN by BONIN,BLAKE",,,"SUB IN by BONIN,BLAKE",2
10:14,,,,,"SUB OUT by JR,KENNETH STALLING",,,"SUB OUT by JR,KENNETH STALLING",2
10:08,,,,,"MISS JUMPER by PARKER,MITCHELL",,,"MISS JUMPER by PARKER,MITCHELL",2
--,,,,,"REBOUND OFF by ZOLMAN,CHAINEY",,,"REBOUND OFF by ZOLMAN,CHAINEY",2
10:01,,69 (+8),,61,"GOOD TIPIN by ZOLMAN,CHAINEY(in the paint)",EC-M 69-61 (+8),,"GOOD TIPIN by ZOLMAN,CHAINEY(in the paint)",2
09:51,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",71 (+10),,61,,CC-M 71-61 (+10),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
09:43,,71 (+8),,63,"GOOD LAYUP by JR,DARRELL HUTCHISON(fastbreak)(in the paint)",EC-M 71-63 (+8),,"GOOD LAYUP by JR,DARRELL HUTCHISON(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by WAIRE,ISAIAH",,,"ASSIST  by WAIRE,ISAIAH",2
09:25,"GOOD LAYUP by AYERS,PERRY(in the paint)",73 (+10),,63,,CC-M 73-63 (+10),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
09:19,,,,,"MISS 3PTR by BARNES,JAMEL",,,"MISS 3PTR by BARNES,JAMEL",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
08:54,"GOOD JUMPER by SINE,TUCKER",75 (+12),,63,,CC-M 75-63 (+12),,"GOOD JUMPER by SINE,TUCKER",2
08:41,,,,,"TURNOVER  by WAIRE,ISAIAH",,,"TURNOVER  by WAIRE,ISAIAH",2
08:38,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",2
08:38,,,,,"FOUL  by ZOLMAN,CHAINEY",,,"FOUL  by ZOLMAN,CHAINEY",2
08:38,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
08:31,"GOOD FT by AYERS,PERRY",76 (+13),,63,,CC-M 76-63 (+13),,"GOOD FT by AYERS,PERRY",2
08:31,"GOOD FT by AYERS,PERRY",77 (+14),,63,,CC-M 77-63 (+14),,"GOOD FT by AYERS,PERRY",2
08:31,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
08:31,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
08:31,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
08:31,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
08:31,,,,,"SUB IN by ELDOSOUGI,TARIG",,,"SUB IN by ELDOSOUGI,TARIG",2
08:31,,,,,"SUB IN by WILSON-THOMAS,ELIJAH",,,"SUB IN by WILSON-THOMAS,ELIJAH",2
08:31,,,,,"SUB OUT by BARNES,JAMEL",,,"SUB OUT by BARNES,JAMEL",2
08:31,,,,,"SUB OUT by ZOLMAN,CHAINEY",,,"SUB OUT by ZOLMAN,CHAINEY",2
08:07,,,,,"TURNOVER  by WAIRE,ISAIAH",,,"TURNOVER  by WAIRE,ISAIAH",2
08:05,"STEAL  by SPITZER,JAKOB",,,,,,,"STEAL  by SPITZER,JAKOB",2
07:54,,,,,"FOUL  by BONIN,BLAKE",,,"FOUL  by BONIN,BLAKE",2
07:54,"GOOD FT by SPITZER,JAKOB",78 (+15),,63,,CC-M 78-63 (+15),,"GOOD FT by SPITZER,JAKOB",2
07:54,"MISS FT by SPITZER,JAKOB",,,,,,,"MISS FT by SPITZER,JAKOB",2
--,,,,,"REBOUND DEF by DOLIBOA,AUSTIN",,,"REBOUND DEF by DOLIBOA,AUSTIN",2
07:54,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
07:54,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
07:54,,,,,"SUB IN by DOLIBOA,AUSTIN",,,"SUB IN by DOLIBOA,AUSTIN",2
07:54,,,,,"SUB OUT by ELDOSOUGI,TARIG",,,"SUB OUT by ELDOSOUGI,TARIG",2
07:35,,,,,"MISS 3PTR by DOLIBOA,AUSTIN",,,"MISS 3PTR by DOLIBOA,AUSTIN",2
--,,,,,"REBOUND OFF by DOLIBOA,AUSTIN",,,"REBOUND OFF by DOLIBOA,AUSTIN",2
07:30,,78 (+13),,65,"GOOD JUMPER by DOLIBOA,AUSTIN(in the paint)",EC-M 78-65 (+13),,"GOOD JUMPER by DOLIBOA,AUSTIN(in the paint)",2
07:15,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",80 (+15),,65,,CC-M 80-65 (+15),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",2
07:05,,,,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",2
--,,,,,"REBOUND OFF by WAIRE,ISAIAH",,,"REBOUND OFF by WAIRE,ISAIAH",2
07:00,,,,,"TURNOVER  by WAIRE,ISAIAH",,,"TURNOVER  by WAIRE,ISAIAH",2
06:57,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
06:57,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
06:57,,,,,"SUB IN by BARNES,JAMEL",,,"SUB IN by BARNES,JAMEL",2
06:57,,,,,"SUB IN by JR,KENNETH STALLING",,,"SUB IN by JR,KENNETH STALLING",2
06:57,,,,,"SUB OUT by BONIN,BLAKE",,,"SUB OUT by BONIN,BLAKE",2
06:57,,,,,"SUB OUT by WAIRE,ISAIAH",,,"SUB OUT by WAIRE,ISAIAH",2
06:45,"GOOD LAYUP by BATES,JACOB(in the paint)",82 (+17),,65,,CC-M 82-65 (+17),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
06:35,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",2
06:35,,82 (+16),,66,"GOOD FT by WILSON-THOMAS,ELIJAH",EC-M 82-66 (+16),,"GOOD FT by WILSON-THOMAS,ELIJAH",2
06:35,,82 (+15),,67,"GOOD FT by WILSON-THOMAS,ELIJAH",EC-M 82-67 (+15),,"GOOD FT by WILSON-THOMAS,ELIJAH",2
06:35,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
06:35,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
06:18,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by JR,DARRELL HUTCHISON",,,"REBOUND DEF by JR,DARRELL HUTCHISON",2
06:11,,,,,"TURNOVER  by WILSON-THOMAS,ELIJAH",,,"TURNOVER  by WILSON-THOMAS,ELIJAH",2
06:11,,,,,"FOUL  by WILSON-THOMAS,ELIJAH",,,"FOUL  by WILSON-THOMAS,ELIJAH",2
05:43,"GOOD LAYUP by BATES,JACOB(in the paint)",84 (+17),,67,,CC-M 84-67 (+17),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
05:26,,,,,"MISS JUMPER by JR,DARRELL HUTCHISON",,,"MISS JUMPER by JR,DARRELL HUTCHISON",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
05:06,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",2
05:06,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
05:06,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
05:06,,,,,"SUB IN by ZOLMAN,CHAINEY",,,"SUB IN by ZOLMAN,CHAINEY",2
05:06,,,,,"SUB IN by ELDOSOUGI,TARIG",,,"SUB IN by ELDOSOUGI,TARIG",2
05:06,,,,,"SUB OUT by JR,DARRELL HUTCHISON",,,"SUB OUT by JR,DARRELL HUTCHISON",2
05:06,,,,,"SUB OUT by JR,KENNETH STALLING",,,"SUB OUT by JR,KENNETH STALLING",2
04:44,,84 (+14),,70,"GOOD 3PTR by BARNES,JAMEL",EC-M 84-70 (+14),,"GOOD 3PTR by BARNES,JAMEL",2
--,,,,,"ASSIST  by DOLIBOA,AUSTIN",,,"ASSIST  by DOLIBOA,AUSTIN",2
04:27,"GOOD LAYUP by RAKES,BAILEY(in the paint)",86 (+16),,70,,CC-M 86-70 (+16),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",2
04:15,,,,,"MISS LAYUP by WILSON-THOMAS,ELIJAH",,,"MISS LAYUP by WILSON-THOMAS,ELIJAH",2
04:15,"BLOCK  by AYERS,PERRY",,,,,,,"BLOCK  by AYERS,PERRY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
04:02,,,,,"TURNOVER  by DOLIBOA,AUSTIN",,,"TURNOVER  by DOLIBOA,AUSTIN",2
04:01,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",2
03:56,,,,,"FOUL  by DOLIBOA,AUSTIN",,,"FOUL  by DOLIBOA,AUSTIN",2
03:56,"GOOD FT by SINE,TUCKER",87 (+17),,70,,CC-M 87-70 (+17),,"GOOD FT by SINE,TUCKER",2
03:56,"MISS FT by SINE,TUCKER",,,,,,,"MISS FT by SINE,TUCKER",2
--,,,,,"REBOUND DEF by ELDOSOUGI,TARIG",,,"REBOUND DEF by ELDOSOUGI,TARIG",2
03:56,,,,,"SUB IN by JR,KENNETH STALLING",,,"SUB IN by JR,KENNETH STALLING",2
03:56,,,,,"SUB OUT by WILSON-THOMAS,ELIJAH",,,"SUB OUT by WILSON-THOMAS,ELIJAH",2
03:47,,,,,"MISS JUMPER by ZOLMAN,CHAINEY",,,"MISS JUMPER by ZOLMAN,CHAINEY",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
03:18,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",2
03:17,,,,,"STEAL  by DOLIBOA,AUSTIN",,,"STEAL  by DOLIBOA,AUSTIN",2
03:15,,,,,"MISS LAYUP by BARNES,JAMEL",,,"MISS LAYUP by BARNES,JAMEL",2
--,,,,,"REBOUND OFF by ELDOSOUGI,TARIG",,,"REBOUND OFF by ELDOSOUGI,TARIG",2
03:15,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
03:15,,87 (+16),,71,"GOOD FT by ELDOSOUGI,TARIG",EC-M 87-71 (+16),,"GOOD FT by ELDOSOUGI,TARIG",2
03:15,,87 (+15),,72,"GOOD FT by ELDOSOUGI,TARIG",EC-M 87-72 (+15),,"GOOD FT by ELDOSOUGI,TARIG",2
03:15,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
03:15,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
03:01,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",2
02:58,,,,,"STEAL  by JR,KENNETH STALLING",,,"STEAL  by JR,KENNETH STALLING",2
02:56,,87 (+13),,74,"GOOD LAYUP by ELDOSOUGI,TARIG(fastbreak)(in the paint)",EC-M 87-74 (+13),,"GOOD LAYUP by ELDOSOUGI,TARIG(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by JR,KENNETH STALLING",,,"ASSIST  by JR,KENNETH STALLING",2
02:38,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",2
02:38,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
02:38,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
02:07,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
02:07,,87 (+12),,75,"GOOD FT by DOLIBOA,AUSTIN",EC-M 87-75 (+12),,"GOOD FT by DOLIBOA,AUSTIN",2
02:07,,87 (+11),,76,"GOOD FT by DOLIBOA,AUSTIN",EC-M 87-76 (+11),,"GOOD FT by DOLIBOA,AUSTIN",2
01:57,"GOOD DUNK by BATES,JACOB(fastbreak)(in the paint)",89 (+13),,76,,CC-M 89-76 (+13),,"GOOD DUNK by BATES,JACOB(fastbreak)(in the paint)",2
