Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,TU-M,Game Score,Team Indicator,Play,Period
00:49,"GOOD FT by WALKER,ART",75,,83 (+8),,CENTRE-M 75-83 (-8),,"GOOD FT by WALKER,ART",2
00:49,,,,,"SUB IN by MCKINNEY,SPENCER",,,"SUB IN by MCKINNEY,SPENCER",2
00:49,,,,,"SUB OUT by DENCE,ROBERT",,,"SUB OUT by DENCE,ROBERT",2
00:46,,,,,"TURNOVER  by JEFFERSON,MICHAEL",,,"TURNOVER  by JEFFERSON,MICHAEL",2
00:45,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",2
00:38,"GOOD 3PTR by WALKER,ART",78,,83 (+5),,CENTRE-M 78-83 (-5),,"GOOD 3PTR by WALKER,ART",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
00:35,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:21,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
00:21,,78,,84 (+6),"GOOD FT by SCHMITT,GABE",TU-M 78-84 (-6),,"GOOD FT by SCHMITT,GABE",2
00:21,,78,,85 (+7),"GOOD FT by SCHMITT,GABE",TU-M 78-85 (-7),,"GOOD FT by SCHMITT,GABE",2
00:14,"GOOD LAYUP by RAKES,BAILEY(in the paint)",80,,85 (+5),,CENTRE-M 80-85 (-5),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",2
00:14,,,,,"FOUL  by TRIMBLE,DREW",,,"FOUL  by TRIMBLE,DREW",2
00:14,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:14,"GOOD FT by RAKES,BAILEY",81,,85 (+4),,CENTRE-M 81-85 (-4),,"GOOD FT by RAKES,BAILEY",2
00:14,"FOUL  by SCHMUCKER ,ZACH",,,,,,,"FOUL  by SCHMUCKER ,ZACH",2
00:14,,81,,86 (+5),"GOOD FT by TRIMBLE,DREW",TU-M 81-86 (-5),,"GOOD FT by TRIMBLE,DREW",2
00:14,,81,,87 (+6),"GOOD FT by TRIMBLE,DREW",TU-M 81-87 (-6),,"GOOD FT by TRIMBLE,DREW",2
00:14,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
00:14,"SUB IN by SCHMUCKER ,ZACH",,,,,,,"SUB IN by SCHMUCKER ,ZACH",2
00:14,"SUB OUT by SCHMUCKER ,ZACH",,,,,,,"SUB OUT by SCHMUCKER ,ZACH",2
00:14,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
00:14,,,,,"SUB IN by DENCE,ROBERT",,,"SUB IN by DENCE,ROBERT",2
00:14,,,,,"SUB OUT by TRIMBLE,DREW",,,"SUB OUT by TRIMBLE,DREW",2
00:10,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND DEF by DENCE,ROBERT",,,"REBOUND DEF by DENCE,ROBERT",2
00:06,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",2
00:06,,81,,88 (+7),"GOOD FT by DENCE,ROBERT",TU-M 81-88 (-7),,"GOOD FT by DENCE,ROBERT",2
00:06,,81,,89 (+8),"GOOD FT by DENCE,ROBERT",TU-M 81-89 (-8),,"GOOD FT by DENCE,ROBERT",2
00:02,"GOOD LAYUP by RAKES,BAILEY(in the paint)",83,,89 (+6),,CENTRE-M 83-89 (-6),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",2
