Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,UK,Game Score,Team Indicator,Play,Period
--,"ASSIST  by NOBLE,CARSON",,,,,,,"ASSIST  by NOBLE,CARSON",2
02:44,,59,,99 (+40),"GOOD LAYUP by RICHARDS,NICK(in the paint)",UK 59-99 (-40),,"GOOD LAYUP by RICHARDS,NICK(in the paint)",2
--,,,,,"ASSIST  by KNOX,KEVIN",,,"ASSIST  by KNOX,KEVIN",2
02:33,,,,,"FOUL  by GREEN,QUADE",,,"FOUL  by GREEN,QUADE",2
02:33,"GOOD FT by CAVANAUGH,CHASE",60,,99 (+39),,CENTRE-M 60-99 (-39),,"GOOD FT by CAVANAUGH,CHASE",2
02:33,"GOOD FT by CAVANAUGH,CHASE",61,,99 (+38),,CENTRE-M 61-99 (-38),,"GOOD FT by CAVANAUGH,CHASE",2
02:33,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
02:33,"SUB OUT by CAVANAUGH,CHASE",,,,,,,"SUB OUT by CAVANAUGH,CHASE",2
02:33,,,,,"SUB IN by RICHARDS,NICK",,,"SUB IN by RICHARDS,NICK",2
02:33,,,,,"SUB IN by KILLEYA-JONES,SACHA",,,"SUB IN by KILLEYA-JONES,SACHA",2
02:33,,,,,"SUB IN by PULLIAM,DILLON",,,"SUB IN by PULLIAM,DILLON",2
02:33,,,,,"SUB IN by CALIPARI,BRAD",,,"SUB IN by CALIPARI,BRAD",2
02:33,,,,,"SUB IN by DAVID,JONNY",,,"SUB IN by DAVID,JONNY",2
02:33,,,,,"SUB OUT by GABRIEL,WENYEN",,,"SUB OUT by GABRIEL,WENYEN",2
02:33,,,,,"SUB OUT by RICHARDS,NICK",,,"SUB OUT by RICHARDS,NICK",2
02:33,,,,,SUB OUT by GILGEOUS-ALEXANDER,,,SUB OUT by GILGEOUS-ALEXANDER,2
02:33,,,,,"SUB OUT by KNOX,KEVIN",,,"SUB OUT by KNOX,KEVIN",2
02:33,,,,,"SUB OUT by GREEN,QUADE",,,"SUB OUT by GREEN,QUADE",2
02:18,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",2
02:18,,61,,100 (+39),"GOOD FT by RICHARDS,NICK",UK 61-100 (-39),,"GOOD FT by RICHARDS,NICK",2
02:18,,61,,101 (+40),"GOOD FT by RICHARDS,NICK",UK 61-101 (-40),,"GOOD FT by RICHARDS,NICK",2
02:09,"TURNOVER  by PRICE,KAMDEN",,,,,,,"TURNOVER  by PRICE,KAMDEN",2
02:07,,,,,"STEAL  by CALIPARI,BRAD",,,"STEAL  by CALIPARI,BRAD",2
01:48,,61,,103 (+42),"GOOD JUMPER by KILLEYA-JONES,SACHA(in the paint)",UK 61-103 (-42),,"GOOD JUMPER by KILLEYA-JONES,SACHA(in the paint)",2
--,,,,,"ASSIST  by CALIPARI,BRAD",,,"ASSIST  by CALIPARI,BRAD",2
01:31,"MISS 3PTR by JACKSON,BRAYDEN",,,,,,,"MISS 3PTR by JACKSON,BRAYDEN",2
--,,,,,"REBOUND DEF by PULLIAM,DILLON",,,"REBOUND DEF by PULLIAM,DILLON",2
01:18,,,,,"TURNOVER  by DAVID,JONNY",,,"TURNOVER  by DAVID,JONNY",2
01:18,"STEAL  by NOBLE,CARSON",,,,,,,"STEAL  by NOBLE,CARSON",2
01:18,,,,,"FOUL  by PULLIAM,DILLON",,,"FOUL  by PULLIAM,DILLON",2
01:18,"MISS FT by NOBLE,CARSON",,,,,,,"MISS FT by NOBLE,CARSON",2
--,,,,,"REBOUND DEF by KILLEYA-JONES,SACHA",,,"REBOUND DEF by KILLEYA-JONES,SACHA",2
01:18,"SUB IN by TERRY,CHRISTIAN",,,,,,,"SUB IN by TERRY,CHRISTIAN",2
01:18,"SUB IN by MORETTE,MATT",,,,,,,"SUB IN by MORETTE,MATT",2
01:18,"SUB OUT by JACKSON,BRAYDEN",,,,,,,"SUB OUT by JACKSON,BRAYDEN",2
01:18,"SUB OUT by PRICE,KAMDEN",,,,,,,"SUB OUT by PRICE,KAMDEN",2
01:18,,,,,"SUB IN by WYNYARD,TAI",,,"SUB IN by WYNYARD,TAI",2
01:18,,,,,"SUB OUT by RICHARDS,NICK",,,"SUB OUT by RICHARDS,NICK",2
00:59,,,,,"TURNOVER  by KILLEYA-JONES,SACHA",,,"TURNOVER  by KILLEYA-JONES,SACHA",2
00:57,"STEAL  by NOBLE,CARSON",,,,,,,"STEAL  by NOBLE,CARSON",2
00:53,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",2
--,,,,,"REBOUND DEF by KILLEYA-JONES,SACHA",,,"REBOUND DEF by KILLEYA-JONES,SACHA",2
00:47,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",2
00:47,,,,,"MISS FT by DAVID,JONNY",,,"MISS FT by DAVID,JONNY",2
--,,,,,"REBOUND OFF by DAVID,JONNY",,,"REBOUND OFF by DAVID,JONNY",2
00:47,,61,,106 (+45),"GOOD 3PTR by CALIPARI,BRAD",UK 61-106 (-45),,"GOOD 3PTR by CALIPARI,BRAD",2
--,,,,,"ASSIST  by DAVID,JONNY",,,"ASSIST  by DAVID,JONNY",2
00:47,"SUB IN by WEST,CHRIS",,,,,,,"SUB IN by WEST,CHRIS",2
00:47,"SUB OUT by NOBLE,CARSON",,,,,,,"SUB OUT by NOBLE,CARSON",2
00:17,"GOOD JUMPER by WEST,CHRIS",63,,106 (+43),,CENTRE-M 63-106 (-43),,"GOOD JUMPER by WEST,CHRIS",2
--,"ASSIST  by TERRY,CHRISTIAN",,,,,,,"ASSIST  by TERRY,CHRISTIAN",2
