Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
07:33,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
07:33,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
07:21,"MISS JUMPER by SMITH,LUKE",,,,,,,"MISS JUMPER by SMITH,LUKE",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
06:58,,,,,"MISS JUMPER by GRIFFIN,JAROD",,,"MISS JUMPER by GRIFFIN,JAROD",1
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",1
06:49,,,,,"MISS 3PTR by SCHMUCKER,ZACH",,,"MISS 3PTR by SCHMUCKER,ZACH",1
--,,,,,"REBOUND OFF by GRIFFIN,JAROD",,,"REBOUND OFF by GRIFFIN,JAROD",1
06:39,,,,,"TURNOVER  by RAKES,BAILEY",,,"TURNOVER  by RAKES,BAILEY",1
06:23,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
06:23,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
06:23,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
06:23,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
06:23,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
06:18,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",1
06:17,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",1
06:07,,27 (+2),,25,"GOOD LAYUP by SINE,TUCKER(in the paint)",CENTRE-M 27-25 (-2),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
05:45,"MISS 3PTR by HOWELL,TAYLOR",,,,,,,"MISS 3PTR by HOWELL,TAYLOR",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
05:29,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
05:10,"GOOD JUMPER by THOMAS,ADRIAN",29 (+4),,25,,SEWANEE 29-25 (-4),,"GOOD JUMPER by THOMAS,ADRIAN",1
--,"ASSIST  by MCDONOUGH,SEAN",,,,,,,"ASSIST  by MCDONOUGH,SEAN",1
04:43,,,,,"MISS 3PTR by BATES,JACOB",,,"MISS 3PTR by BATES,JACOB",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:39,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
04:39,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
04:39,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
04:39,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
04:39,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
04:39,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
04:21,"TURNOVER  by HOLLOWAY,JACK",,,,,,,"TURNOVER  by HOLLOWAY,JACK",1
04:20,,,,,"STEAL  by GRIFFIN,JAROD",,,"STEAL  by GRIFFIN,JAROD",1
04:18,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
04:11,"GOOD JUMPER by CALDWELL,CAM(in the paint)",31 (+6),,25,,SEWANEE 31-25 (-6),,"GOOD JUMPER by CALDWELL,CAM(in the paint)",1
03:56,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND OFF by SPITZER,JAKOB",,,"REBOUND OFF by SPITZER,JAKOB",1
03:55,,,,,"MISS TIPIN by SPITZER,JAKOB",,,"MISS TIPIN by SPITZER,JAKOB",1
--,"REBOUND DEF by HOLLOWAY,JACK",,,,,,,"REBOUND DEF by HOLLOWAY,JACK",1
03:55,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:33,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
03:33,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",1
