Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
11:40,"SUB OUT by PALMER,BRADY",,,,,,,"SUB OUT by PALMER,BRADY",1
11:18,"MISS LAYUP by CRUMLY,WILL",,,,,,,"MISS LAYUP by CRUMLY,WILL",1
--,"REBOUND OFF by CRUMLY,WILL",,,,,,,"REBOUND OFF by CRUMLY,WILL",1
11:16,"GOOD LAYUP by CRUMLY,WILL(in the paint)",18 (+10),,8,,CCM 18-8 (-10),,"GOOD LAYUP by CRUMLY,WILL(in the paint)",1
11:01,,18 (+8),,10,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 18-10 (-8),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
10:35,"MISS 3PTR by HOLLIS,MITCHELL",,,,,,,"MISS 3PTR by HOLLIS,MITCHELL",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
10:27,,,,,"MISS LAYUP by SPENCE,BEN",,,"MISS LAYUP by SPENCE,BEN",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
10:23,,18 (+6),,12,"GOOD TIPIN by SPENCE,BEN(in the paint)",BSC-M 18-12 (-6),,"GOOD TIPIN by SPENCE,BEN(in the paint)",1
10:02,,,,,"FOUL  by FITZGERALD,PAUL",,,"FOUL  by FITZGERALD,PAUL",1
10:02,"SUB IN by IGBANU,PROMISE",,,,,,,"SUB IN by IGBANU,PROMISE",1
10:02,"SUB IN by BARNETTE,CHRIS",,,,,,,"SUB IN by BARNETTE,CHRIS",1
10:02,"SUB OUT by CRUMLY,WILL",,,,,,,"SUB OUT by CRUMLY,WILL",1
10:02,"SUB OUT by JAUCH,JARED",,,,,,,"SUB OUT by JAUCH,JARED",1
10:02,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
10:02,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
09:55,"MISS 3PTR by ALLEN,ZACK",,,,,,,"MISS 3PTR by ALLEN,ZACK",1
