Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
09:09,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
09:05,,29 (+10),,19,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 29-19 (-10),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
08:59,"MISS 3PTR by WEST,NATE",,,,,,,"MISS 3PTR by WEST,NATE",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
08:47,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",1
08:47,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
08:47,,,,,"SUB IN by KANE,DENMAN",,,"SUB IN by KANE,DENMAN",1
08:35,"MISS 3PTR by BEENE,GARRETT",,,,,,,"MISS 3PTR by BEENE,GARRETT",1
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",1
08:26,,29 (+8),,21,"GOOD LAYUP by O'SULLIVAN,CONOR(in the paint)",BSC 29-21 (-8),,"GOOD LAYUP by O'SULLIVAN,CONOR(in the paint)",1
08:26,"FOUL  by MATTHEWS,KYLE",,,,,,,"FOUL  by MATTHEWS,KYLE",1
08:26,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
08:26,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
08:26,"SUB OUT by MATTHEWS,KYLE",,,,,,,"SUB OUT by MATTHEWS,KYLE",1
08:26,"SUB IN by RICHARDSON,WARREN",,,,,,,"SUB IN by RICHARDSON,WARREN",1
08:26,,29 (+7),,22,"GOOD FT by O'SULLIVAN,CONOR",BSC 29-22 (-7),,"GOOD FT by O'SULLIVAN,CONOR",1
08:21,"GOOD JUMPER by FOSNIGHT,BRICK",31 (+9),,22,,LETU 31-22 (-9),,"GOOD JUMPER by FOSNIGHT,BRICK",1
--,"ASSIST  by WEST,NATE",,,,,,,"ASSIST  by WEST,NATE",1
08:08,,31 (+7),,24,"GOOD JUMPER by SPENCE,BEN(in the paint)",BSC 31-24 (-7),,"GOOD JUMPER by SPENCE,BEN(in the paint)",1
08:01,"FOUL  by RICHARDSON,WARREN",,,,,,,"FOUL  by RICHARDSON,WARREN",1
08:01,"TURNOVER  by RICHARDSON,WARREN",,,,,,,"TURNOVER  by RICHARDSON,WARREN",1
07:50,,31 (+5),,26,"GOOD DUNK by CHILDERS,JOSH(in the paint)",BSC 31-26 (-5),,"GOOD DUNK by CHILDERS,JOSH(in the paint)",1
07:37,"GOOD 3PTR by BEENE,GARRETT",34 (+8),,26,,LETU 34-26 (-8),,"GOOD 3PTR by BEENE,GARRETT",1
--,"ASSIST  by RICHARDSON,WARREN",,,,,,,"ASSIST  by RICHARDSON,WARREN",1
07:29,,,,,"MISS 3PTR by KANE,DENMAN",,,"MISS 3PTR by KANE,DENMAN",1
--,,,,,"REBOUND OFF by GONDA,MATT",,,"REBOUND OFF by GONDA,MATT",1
07:25,,34 (+5),,29,"GOOD 3PTR by SPENCE,BEN",BSC 34-29 (-5),,"GOOD 3PTR by SPENCE,BEN",1
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",1
07:12,"MISS JUMPER by BEENE,GARRETT",,,,,,,"MISS JUMPER by BEENE,GARRETT",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
06:52,,,,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",1
--,"REBOUND DEF by BEENE,GARRETT",,,,,,,"REBOUND DEF by BEENE,GARRETT",1
06:45,"MISS 3PTR by WEST,NATE",,,,,,,"MISS 3PTR by WEST,NATE",1
--,"REBOUND OFF by RICHARDSON,WARREN",,,,,,,"REBOUND OFF by RICHARDSON,WARREN",1
06:36,"MISS JUMPER by FOSNIGHT,BRICK(in the paint)",,,,,,,"MISS JUMPER by FOSNIGHT,BRICK(in the paint)",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
06:13,,34 (+3),,31,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 34-31 (-3),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
