Time Remaining,PCC,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
19:23,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",2
19:23,"STEAL  by WOODS,DERIC",,,,,,,"STEAL  by WOODS,DERIC",2
19:12,"MISS 3PTR by LOCKETT,ELLIOTT",,,,,,,"MISS 3PTR by LOCKETT,ELLIOTT",2
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",2
19:05,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",2
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",2
18:59,,50,,67 (+17),"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC-M 50-67 (+17),,"GOOD LAYUP by SPENCE,BEN(in the paint)",2
--,,,,,"ASSIST  by STEWART,CHRISTIAN",,,"ASSIST  by STEWART,CHRISTIAN",2
18:47,"MISS 3PTR by CLAY,JOHN",,,,,,,"MISS 3PTR by CLAY,JOHN",2
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",2
18:29,,50,,70 (+20),"GOOD 3PTR by BAK,CALVIN",BSC-M 50-70 (+20),,"GOOD 3PTR by BAK,CALVIN",2
--,,,,,"ASSIST  by STEWART,CHRISTIAN",,,"ASSIST  by STEWART,CHRISTIAN",2
18:19,"GOOD JUMPER by WOODS,DERIC",52,,70 (+18),,PCC 52-70 (+18),,"GOOD JUMPER by WOODS,DERIC",2
18:11,,,,,"MISS JUMPER by BAK,CALVIN",,,"MISS JUMPER by BAK,CALVIN",2
--,"REBOUND DEF by SHODIMU,JAMES",,,,,,,"REBOUND DEF by SHODIMU,JAMES",2
17:50,"MISS JUMPER by WOODS,DERIC",,,,,,,"MISS JUMPER by WOODS,DERIC",2
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",2
17:43,,52,,72 (+20),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 52-72 (+20),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",2
17:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:38,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
17:25,"MISS JUMPER by PORTER,CHRISTIAN",,,,,,,"MISS JUMPER by PORTER,CHRISTIAN",2
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",2
17:18,,52,,74 (+22),"GOOD LAYUP by FITZGERALD,PAUL(fastbreak)(in the paint)",BSC-M 52-74 (+22),,"GOOD LAYUP by FITZGERALD,PAUL(fastbreak)(in the paint)",2
17:05,"MISS JUMPER by LOCKETT,ELLIOTT",,,,,,,"MISS JUMPER by LOCKETT,ELLIOTT",2
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",2
17:03,,,,,"FOUL  by FITZGERALD,PAUL",,,"FOUL  by FITZGERALD,PAUL",2
17:03,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",2
16:49,"GOOD JUMPER by WOODS,DERIC(in the paint)",54,,74 (+20),,PCC 54-74 (+20),,"GOOD JUMPER by WOODS,DERIC(in the paint)",2
16:41,,54,,76 (+22),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 54-76 (+22),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",2
16:31,"MISS 3PTR by CLAY,JOHN",,,,,,,"MISS 3PTR by CLAY,JOHN",2
--,,,,,"REBOUND DEF by BAK,CALVIN",,,"REBOUND DEF by BAK,CALVIN",2
16:24,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",2
--,"REBOUND DEF by PORTER,CHRISTIAN",,,,,,,"REBOUND DEF by PORTER,CHRISTIAN",2
16:15,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",2
16:15,"GOOD FT by SHODIMU,JAMES",55,,76 (+21),,PCC 55-76 (+21),,"GOOD FT by SHODIMU,JAMES",2
16:15,"MISS FT by SHODIMU,JAMES",,,,,,,"MISS FT by SHODIMU,JAMES",2
16:15,"SUB IN by HORTON,ANTHONY",,,,,,,"SUB IN by HORTON,ANTHONY",2
16:15,"SUB OUT by WOODS,DERIC",,,,,,,"SUB OUT by WOODS,DERIC",2
--,"REBOUND OFF by SHODIMU,JAMES",,,,,,,"REBOUND OFF by SHODIMU,JAMES",2
16:10,"TURNOVER  by SHODIMU,JAMES",,,,,,,"TURNOVER  by SHODIMU,JAMES",2
16:10,,,,,"STEAL  by FITZGERALD,PAUL",,,"STEAL  by FITZGERALD,PAUL",2
16:04,,55,,79 (+24),"GOOD 3PTR by BAK,CALVIN(fastbreak)",BSC-M 55-79 (+24),,"GOOD 3PTR by BAK,CALVIN(fastbreak)",2
--,,,,,"ASSIST  by FITZGERALD,PAUL",,,"ASSIST  by FITZGERALD,PAUL",2
15:59,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
15:59,"SUB IN by LEWIS,AUSTIN",,,,,,,"SUB IN by LEWIS,AUSTIN",2
15:59,"SUB OUT by LOCKETT,ELLIOTT",,,,,,,"SUB OUT by LOCKETT,ELLIOTT",2
15:59,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",2
15:59,,,,,"SUB IN by JR,BRUCE BRIGHT",,,"SUB IN by JR,BRUCE BRIGHT",2
15:59,,,,,"SUB IN by MORRISON,JASON",,,"SUB IN by MORRISON,JASON",2
15:59,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",2
15:59,,,,,"SUB IN by BARNETT,CHARLIE",,,"SUB IN by BARNETT,CHARLIE",2
15:59,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",2
15:59,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",2
15:59,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",2
15:59,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
15:59,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",2
15:47,"MISS JUMPER by HORTON,ANTHONY",,,,,,,"MISS JUMPER by HORTON,ANTHONY",2
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",2
15:40,,,,,"MISS LAYUP by GONDA,MATT",,,"MISS LAYUP by GONDA,MATT",2
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",2
15:32,,55,,81 (+26),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC-M 55-81 (+26),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
15:29,,,,,"FOUL  by MORRISON,JASON",,,"FOUL  by MORRISON,JASON",2
15:24,"MISS JUMPER by PORTER,CHRISTIAN",,,,,,,"MISS JUMPER by PORTER,CHRISTIAN",2
--,,,,,"REBOUND DEF by GONDA,MATT",,,"REBOUND DEF by GONDA,MATT",2
15:16,"FOUL  by PORTER,CHRISTIAN",,,,,,,"FOUL  by PORTER,CHRISTIAN",2
15:16,"SUB IN by SMITH,GRANT",,,,,,,"SUB IN by SMITH,GRANT",2
15:16,"SUB IN by ALEXANDER,JOSHUA",,,,,,,"SUB IN by ALEXANDER,JOSHUA",2
15:16,"SUB OUT by CLAY,JOHN",,,,,,,"SUB OUT by CLAY,JOHN",2
15:16,"SUB OUT by PORTER,CHRISTIAN",,,,,,,"SUB OUT by PORTER,CHRISTIAN",2
15:08,,,,,"MISS 3PTR by MORRISON,JASON",,,"MISS 3PTR by MORRISON,JASON",2
--,"REBOUND DEF by LEWIS,AUSTIN",,,,,,,"REBOUND DEF by LEWIS,AUSTIN",2
14:55,"GOOD 3PTR by ALEXANDER,JOSHUA",58,,81 (+23),,PCC 58-81 (+23),,"GOOD 3PTR by ALEXANDER,JOSHUA",2
14:37,,58,,83 (+25),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC-M 58-83 (+25),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
--,,,,,"ASSIST  by JR,BRUCE BRIGHT",,,"ASSIST  by JR,BRUCE BRIGHT",2
14:15,"MISS 3PTR by SHODIMU,JAMES",,,,,,,"MISS 3PTR by SHODIMU,JAMES",2
--,,,,,"REBOUND DEF by JR,BRUCE BRIGHT",,,"REBOUND DEF by JR,BRUCE BRIGHT",2
14:07,,58,,85 (+27),"GOOD JUMPER by GONDA,MATT(in the paint)",BSC-M 58-85 (+27),,"GOOD JUMPER by GONDA,MATT(in the paint)",2
13:52,"MISS 3PTR by LEWIS,AUSTIN",,,,,,,"MISS 3PTR by LEWIS,AUSTIN",2
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",2
13:42,,58,,88 (+30),"GOOD 3PTR by BARNETT,CHARLIE",BSC-M 58-88 (+30),,"GOOD 3PTR by BARNETT,CHARLIE",2
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",2
13:24,"GOOD JUMPER by ALEXANDER,JOSHUA(in the paint)",60,,88 (+28),,PCC 60-88 (+28),,"GOOD JUMPER by ALEXANDER,JOSHUA(in the paint)",2
13:15,,,,,"TURNOVER  by BARNETT,CHARLIE",,,"TURNOVER  by BARNETT,CHARLIE",2
13:15,"STEAL  by ALEXANDER,JOSHUA",,,,,,,"STEAL  by ALEXANDER,JOSHUA",2
13:15,,,,,"FOUL  by BARNETT,CHARLIE",,,"FOUL  by BARNETT,CHARLIE",2
13:10,"SUB IN by ROBERSON,CHANCE",,,,,,,"SUB IN by ROBERSON,CHANCE",2
13:10,"SUB OUT by SHODIMU,JAMES",,,,,,,"SUB OUT by SHODIMU,JAMES",2
13:03,"TURNOVER  by HORTON,ANTHONY",,,,,,,"TURNOVER  by HORTON,ANTHONY",2
12:49,,60,,90 (+30),"GOOD JUMPER by GONDA,MATT(in the paint)",BSC-M 60-90 (+30),,"GOOD JUMPER by GONDA,MATT(in the paint)",2
12:37,,,,,"FOUL  by MORRISON,JASON",,,"FOUL  by MORRISON,JASON",2
12:34,"GOOD 3PTR by SMITH,GRANT",63,,90 (+27),,PCC 63-90 (+27),,"GOOD 3PTR by SMITH,GRANT",2
--,"ASSIST  by ALEXANDER,JOSHUA",,,,,,,"ASSIST  by ALEXANDER,JOSHUA",2
12:25,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",2
12:25,"STEAL  by ALEXANDER,JOSHUA",,,,,,,"STEAL  by ALEXANDER,JOSHUA",2
12:19,"GOOD JUMPER by SMITH,GRANT(fastbreak)(in the paint)",65,,90 (+25),,PCC 65-90 (+25),,"GOOD JUMPER by SMITH,GRANT(fastbreak)(in the paint)",2
--,"ASSIST  by ALEXANDER,JOSHUA",,,,,,,"ASSIST  by ALEXANDER,JOSHUA",2
12:11,,65,,93 (+28),"GOOD 3PTR by JR,BRUCE BRIGHT",BSC-M 65-93 (+28),,"GOOD 3PTR by JR,BRUCE BRIGHT",2
--,,,,,"ASSIST  by BARNETT,CHARLIE",,,"ASSIST  by BARNETT,CHARLIE",2
11:58,"GOOD 3PTR by ROBERSON,CHANCE",68,,93 (+25),,PCC 68-93 (+25),,"GOOD 3PTR by ROBERSON,CHANCE",2
--,"ASSIST  by LEWIS,AUSTIN",,,,,,,"ASSIST  by LEWIS,AUSTIN",2
11:46,"FOUL  by ALEXANDER,JOSHUA",,,,,,,"FOUL  by ALEXANDER,JOSHUA",2
11:46,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
11:46,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",2
11:46,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",2
11:46,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",2
11:46,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",2
11:46,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",2
11:46,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",2
11:46,,,,,"SUB OUT by JR,BRUCE BRIGHT",,,"SUB OUT by JR,BRUCE BRIGHT",2
11:46,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",2
11:46,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",2
11:46,,,,,"SUB OUT by BARNETT,CHARLIE",,,"SUB OUT by BARNETT,CHARLIE",2
11:39,,,,,"MISS JUMPER by STEWART,CHRISTIAN",,,"MISS JUMPER by STEWART,CHRISTIAN",2
11:39,"BLOCK  by ROBERSON,CHANCE",,,,,,,"BLOCK  by ROBERSON,CHANCE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
11:28,"FOUL  by LEWIS,AUSTIN",,,,,,,"FOUL  by LEWIS,AUSTIN",2
11:25,,,,,"MISS JUMPER by STEWART,CHRISTIAN",,,"MISS JUMPER by STEWART,CHRISTIAN",2
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",2
11:17,,68,,95 (+27),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 68-95 (+27),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
11:14,"GOOD 3PTR by LEWIS,AUSTIN",71,,95 (+24),,PCC 71-95 (+24),,"GOOD 3PTR by LEWIS,AUSTIN",2
--,"ASSIST  by ALEXANDER,JOSHUA",,,,,,,"ASSIST  by ALEXANDER,JOSHUA",2
10:46,,71,,98 (+27),"GOOD 3PTR by BAK,CALVIN",BSC-M 71-98 (+27),,"GOOD 3PTR by BAK,CALVIN",2
--,,,,,"ASSIST  by STEWART,CHRISTIAN",,,"ASSIST  by STEWART,CHRISTIAN",2
10:31,"MISS JUMPER by LEWIS,AUSTIN",,,,,,,"MISS JUMPER by LEWIS,AUSTIN",2
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",2
10:23,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",2
--,"REBOUND DEF by ROBERSON,CHANCE",,,,,,,"REBOUND DEF by ROBERSON,CHANCE",2
10:13,"TURNOVER  by ROBERSON,CHANCE",,,,,,,"TURNOVER  by ROBERSON,CHANCE",2
10:13,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",2
10:06,,71,,101 (+30),"GOOD 3PTR by O'SULLIVAN,CONOR",BSC-M 71-101 (+30),,"GOOD 3PTR by O'SULLIVAN,CONOR",2
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",2
09:49,"GOOD JUMPER by LEWIS,AUSTIN(in the paint)",73,,101 (+28),,PCC 73-101 (+28),,"GOOD JUMPER by LEWIS,AUSTIN(in the paint)",2
09:47,"FOUL  by ALEXANDER,JOSHUA",,,,,,,"FOUL  by ALEXANDER,JOSHUA",2
09:47,"SUB IN by WOODS,DERIC",,,,,,,"SUB IN by WOODS,DERIC",2
09:47,"SUB IN by LOCKETT,ELLIOTT",,,,,,,"SUB IN by LOCKETT,ELLIOTT",2
09:47,"SUB IN by CLAY,JOHN",,,,,,,"SUB IN by CLAY,JOHN",2
09:47,"SUB IN by PORTER,CHRISTIAN",,,,,,,"SUB IN by PORTER,CHRISTIAN",2
09:47,"SUB IN by SHODIMU,JAMES",,,,,,,"SUB IN by SHODIMU,JAMES",2
09:47,"SUB OUT by HORTON,ANTHONY",,,,,,,"SUB OUT by HORTON,ANTHONY",2
09:47,"SUB OUT by ROBERSON,CHANCE",,,,,,,"SUB OUT by ROBERSON,CHANCE",2
09:47,"SUB OUT by LEWIS,AUSTIN",,,,,,,"SUB OUT by LEWIS,AUSTIN",2
09:47,"SUB OUT by SMITH,GRANT",,,,,,,"SUB OUT by SMITH,GRANT",2
09:47,"SUB OUT by ALEXANDER,JOSHUA",,,,,,,"SUB OUT by ALEXANDER,JOSHUA",2
09:25,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",2
09:25,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",2
09:09,"TURNOVER  by WOODS,DERIC",,,,,,,"TURNOVER  by WOODS,DERIC",2
09:09,,,,,"STEAL  by O'SULLIVAN,CONOR",,,"STEAL  by O'SULLIVAN,CONOR",2
09:01,,73,,103 (+30),"GOOD LAYUP by O'SULLIVAN,CONOR(fastbreak)(in the paint)",BSC-M 73-103 (+30),,"GOOD LAYUP by O'SULLIVAN,CONOR(fastbreak)(in the paint)",2
08:42,"TURNOVER  by PORTER,CHRISTIAN",,,,,,,"TURNOVER  by PORTER,CHRISTIAN",2
08:42,,,,,"STEAL  by O'SULLIVAN,CONOR",,,"STEAL  by O'SULLIVAN,CONOR",2
08:36,,73,,105 (+32),"GOOD LAYUP by FITZGERALD,PAUL(fastbreak)(in the paint)",BSC-M 73-105 (+32),,"GOOD LAYUP by FITZGERALD,PAUL(fastbreak)(in the paint)",2
08:24,"MISS 3PTR by LOCKETT,ELLIOTT",,,,,,,"MISS 3PTR by LOCKETT,ELLIOTT",2
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",2
08:19,"FOUL  by SHODIMU,JAMES",,,,,,,"FOUL  by SHODIMU,JAMES",2
08:19,,73,,106 (+33),"GOOD FT by SPENCE,BEN",BSC-M 73-106 (+33),,"GOOD FT by SPENCE,BEN",2
08:19,,73,,107 (+34),"GOOD FT by SPENCE,BEN",BSC-M 73-107 (+34),,"GOOD FT by SPENCE,BEN",2
08:19,,,,,"SUB IN by MORRISON,JASON",,,"SUB IN by MORRISON,JASON",2
08:19,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",2
08:19,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",2
08:19,,,,,"SUB IN by KANE,DENMAN",,,"SUB IN by KANE,DENMAN",2
08:19,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",2
08:19,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",2
08:19,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",2
08:19,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",2
08:19,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
08:19,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",2
07:47,"MISS 3PTR by LOCKETT,ELLIOTT",,,,,,,"MISS 3PTR by LOCKETT,ELLIOTT",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
07:47,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
07:34,"SUB IN by UGLADE,BRIAN",,,,,,,"SUB IN by UGLADE,BRIAN",2
07:34,"SUB OUT by LOCKETT,ELLIOTT",,,,,,,"SUB OUT by LOCKETT,ELLIOTT",2
07:28,,73,,109 (+36),"GOOD JUMPER by MORRISON,JASON(in the paint)",BSC-M 73-109 (+36),,"GOOD JUMPER by MORRISON,JASON(in the paint)",2
07:13,"GOOD JUMPER by CLAY,JOHN",75,,109 (+34),,PCC 75-109 (+34),,"GOOD JUMPER by CLAY,JOHN",2
06:56,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",2
06:48,"MISS 3PTR by CLAY,JOHN",,,,,,,"MISS 3PTR by CLAY,JOHN",2
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",2
06:42,,75,,112 (+37),"GOOD 3PTR by KANE,DENMAN",BSC-M 75-112 (+37),,"GOOD 3PTR by KANE,DENMAN",2
--,,,,,"ASSIST  by GONDA,MATT",,,"ASSIST  by GONDA,MATT",2
06:29,"MISS JUMPER by WOODS,DERIC",,,,,,,"MISS JUMPER by WOODS,DERIC",2
06:29,,,,,"BLOCK  by CHILDERS,JOSH",,,"BLOCK  by CHILDERS,JOSH",2
--,,,,,"REBOUND DEF by MORRISON,JASON",,,"REBOUND DEF by MORRISON,JASON",2
06:12,,,,,"MISS JUMPER by CHILDERS,JOSH",,,"MISS JUMPER by CHILDERS,JOSH",2
06:12,"BLOCK  by WOODS,DERIC",,,,,,,"BLOCK  by WOODS,DERIC",2
--,"REBOUND DEF by SHODIMU,JAMES",,,,,,,"REBOUND DEF by SHODIMU,JAMES",2
06:01,"GOOD 3PTR by CLAY,JOHN",78,,112 (+34),,PCC 78-112 (+34),,"GOOD 3PTR by CLAY,JOHN",2
05:49,,,,,"MISS JUMPER by CHILDERS,JOSH",,,"MISS JUMPER by CHILDERS,JOSH",2
05:49,"BLOCK  by WOODS,DERIC",,,,,,,"BLOCK  by WOODS,DERIC",2
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",2
05:49,"FOUL  by SHODIMU,JAMES",,,,,,,"FOUL  by SHODIMU,JAMES",2
05:49,,,,,"MISS FT by CHILDERS,JOSH",,,"MISS FT by CHILDERS,JOSH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:48,"SUB IN by LOCKETT,ELLIOTT",,,,,,,"SUB IN by LOCKETT,ELLIOTT",2
05:48,"SUB IN by ALEXANDER,JOSHUA",,,,,,,"SUB IN by ALEXANDER,JOSHUA",2
05:48,"SUB OUT by UGLADE,BRIAN",,,,,,,"SUB OUT by UGLADE,BRIAN",2
05:48,"SUB OUT by SHODIMU,JAMES",,,,,,,"SUB OUT by SHODIMU,JAMES",2
05:48,,,,,"SUB IN by JR,BRUCE BRIGHT",,,"SUB IN by JR,BRUCE BRIGHT",2
05:48,,,,,"SUB IN by BARNETT,CHARLIE",,,"SUB IN by BARNETT,CHARLIE",2
05:48,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",2
05:48,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",2
05:46,,,,,"MISS FT by CHILDERS,JOSH",,,"MISS FT by CHILDERS,JOSH",2
--,,,,,"REBOUND OFF by JR,BRUCE BRIGHT",,,"REBOUND OFF by JR,BRUCE BRIGHT",2
05:42,,,,,"MISS JUMPER by JR,BRUCE BRIGHT",,,"MISS JUMPER by JR,BRUCE BRIGHT",2
--,"REBOUND DEF by LOCKETT,ELLIOTT",,,,,,,"REBOUND DEF by LOCKETT,ELLIOTT",2
05:38,"GOOD JUMPER by WOODS,DERIC(in the paint)",80,,112 (+32),,PCC 80-112 (+32),,"GOOD JUMPER by WOODS,DERIC(in the paint)",2
05:38,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",2
05:38,"MISS FT by WOODS,DERIC",,,,,,,"MISS FT by WOODS,DERIC",2
--,,,,,"REBOUND DEF by JR,BRUCE BRIGHT",,,"REBOUND DEF by JR,BRUCE BRIGHT",2
05:34,,80,,115 (+35),"GOOD 3PTR by KANE,DENMAN",BSC-M 80-115 (+35),,"GOOD 3PTR by KANE,DENMAN",2
05:16,"GOOD 3PTR by CLAY,JOHN",83,,115 (+32),,PCC 83-115 (+32),,"GOOD 3PTR by CLAY,JOHN",2
--,"ASSIST  by ALEXANDER,JOSHUA",,,,,,,"ASSIST  by ALEXANDER,JOSHUA",2
05:03,,83,,118 (+35),"GOOD 3PTR by KANE,DENMAN",BSC-M 83-118 (+35),,"GOOD 3PTR by KANE,DENMAN",2
--,,,,,"ASSIST  by BARNETT,CHARLIE",,,"ASSIST  by BARNETT,CHARLIE",2
04:51,"MISS JUMPER by LOCKETT,ELLIOTT",,,,,,,"MISS JUMPER by LOCKETT,ELLIOTT",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
04:34,,83,,120 (+37),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC-M 83-120 (+37),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
--,,,,,"ASSIST  by SIGLER,EVAN",,,"ASSIST  by SIGLER,EVAN",2
04:23,,,,,"FOUL  by KANE,DENMAN",,,"FOUL  by KANE,DENMAN",2
04:23,"GOOD FT by CLAY,JOHN",84,,120 (+36),,PCC 84-120 (+36),,"GOOD FT by CLAY,JOHN",2
04:23,"GOOD FT by CLAY,JOHN",85,,120 (+35),,PCC 85-120 (+35),,"GOOD FT by CLAY,JOHN",2
04:11,,,,,"TURNOVER  by SIGLER,EVAN",,,"TURNOVER  by SIGLER,EVAN",2
04:11,"STEAL  by ALEXANDER,JOSHUA",,,,,,,"STEAL  by ALEXANDER,JOSHUA",2
04:04,"MISS JUMPER by CLAY,JOHN",,,,,,,"MISS JUMPER by CLAY,JOHN",2
--,,,,,"REBOUND DEF by JR,BRUCE BRIGHT",,,"REBOUND DEF by JR,BRUCE BRIGHT",2
03:57,"FOUL  by ALEXANDER,JOSHUA",,,,,,,"FOUL  by ALEXANDER,JOSHUA",2
03:57,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
03:57,,85,,121 (+36),"GOOD FT by JR,BRUCE BRIGHT",BSC-M 85-121 (+36),,"GOOD FT by JR,BRUCE BRIGHT",2
03:57,,85,,122 (+37),"GOOD FT by JR,BRUCE BRIGHT",BSC-M 85-122 (+37),,"GOOD FT by JR,BRUCE BRIGHT",2
03:57,,85,,123 (+38),"GOOD FT by JR,BRUCE BRIGHT",BSC-M 85-123 (+38),,"GOOD FT by JR,BRUCE BRIGHT",2
03:57,,,,,"SUB IN by LARSON,CLARK",,,"SUB IN by LARSON,CLARK",2
03:57,,,,,"SUB IN by BYRON,TREVOR",,,"SUB IN by BYRON,TREVOR",2
03:57,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",2
03:57,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",2
03:52,"MISS 3PTR by ALEXANDER,JOSHUA",,,,,,,"MISS 3PTR by ALEXANDER,JOSHUA",2
--,,,,,"REBOUND DEF by JR,BRUCE BRIGHT",,,"REBOUND DEF by JR,BRUCE BRIGHT",2
03:40,,,,,"MISS JUMPER by LARSON,CLARK",,,"MISS JUMPER by LARSON,CLARK",2
--,"REBOUND DEF by ALEXANDER,JOSHUA",,,,,,,"REBOUND DEF by ALEXANDER,JOSHUA",2
03:33,"GOOD 3PTR by PORTER,CHRISTIAN",88,,123 (+35),,PCC 88-123 (+35),,"GOOD 3PTR by PORTER,CHRISTIAN",2
--,"ASSIST  by ALEXANDER,JOSHUA",,,,,,,"ASSIST  by ALEXANDER,JOSHUA",2
