Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:32,"MISS FT by KOHNKE,SAM",,,,,,,"MISS FT by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by AMES,TREY",,,"REBOUND DEF by AMES,TREY",1
05:32,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
05:32,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
05:32,,,,,"SUB IN by AMES,TREY",,,"SUB IN by AMES,TREY",1
05:32,,,,,"SUB OUT by SCHULTZ,TRAVIS",,,"SUB OUT by SCHULTZ,TRAVIS",1
05:26,,17,,35 (+18),"GOOD LAYUP by GROGAN,TAYLAN(fastbreak)(in the paint)",LCM 17-35 (-18),,"GOOD LAYUP by GROGAN,TAYLAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by STOKES,TIMOTHY",,,"ASSIST  by STOKES,TIMOTHY",1
05:13,"TURNOVER  by COLEMAN,DANIEL",,,,,,,"TURNOVER  by COLEMAN,DANIEL",1
05:12,,,,,"STEAL  by STOKES,TIMOTHY",,,"STEAL  by STOKES,TIMOTHY",1
05:09,,17,,37 (+20),"GOOD LAYUP by STOKES,TIMOTHY(fastbreak)(in the paint)",LCM 17-37 (-20),,"GOOD LAYUP by STOKES,TIMOTHY(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by AMES,TREY",,,"ASSIST  by AMES,TREY",1
05:07,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
05:07,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
05:07,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
05:01,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
04:59,,,,,"STEAL  by STOKES,TIMOTHY",,,"STEAL  by STOKES,TIMOTHY",1
04:56,,17,,39 (+22),"GOOD JUMPER by GROGAN,TAYLAN(fastbreak)(in the paint)",LCM 17-39 (-22),,"GOOD JUMPER by GROGAN,TAYLAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by STOKES,TIMOTHY",,,"ASSIST  by STOKES,TIMOTHY",1
04:40,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
04:40,,,,,"STEAL  by POWELL,LASHARD",,,"STEAL  by POWELL,LASHARD",1
04:40,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",1
04:40,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",1
04:23,,,,,"MISS JUMPER by GROGAN,TAYLAN",,,"MISS JUMPER by GROGAN,TAYLAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:22,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",1
