Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,BUMBB,Game Score,Team Indicator,Play,Period
10:24,"MISS FT by MILLER,JOSHUA",,,,,,,"MISS FT by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by ,KYLE PATTERSON SR",,,"REBOUND DEF by ,KYLE PATTERSON SR",1
10:12,,,,,"MISS 3PTR by PRICE,VICTOR",,,"MISS 3PTR by PRICE,VICTOR",1
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",1
10:05,"TURNOVER  by KOHNKE,SAM",,,,,,,"TURNOVER  by KOHNKE,SAM",1
10:03,,,,,"STEAL  by WEBBER,BRENT",,,"STEAL  by WEBBER,BRENT",1
10:00,"FOUL  by ,RONALD WILLIAMS JR",,,,,,,"FOUL  by ,RONALD WILLIAMS JR",1
10:00,,,,,"MISS FT by RICHARDSON,TERIK",,,"MISS FT by RICHARDSON,TERIK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:00,,18,,26 (+8),"GOOD FT by RICHARDSON,TERIK",BUMBB 18-26 (-8),,"GOOD FT by RICHARDSON,TERIK",1
10:00,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
10:00,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
10:00,,,,,"SUB IN by HODUM,RICK",,,"SUB IN by HODUM,RICK",1
10:00,,,,,"SUB IN by JONES,JUSTIN",,,"SUB IN by JONES,JUSTIN",1
10:00,,,,,"SUB IN by HEERINGEN,GIAN VAN",,,"SUB IN by HEERINGEN,GIAN VAN",1
10:00,,,,,"SUB IN by DURHAM,JONATHAN",,,"SUB IN by DURHAM,JONATHAN",1
10:00,,,,,"SUB IN by MCCOY,TOMMY",,,"SUB IN by MCCOY,TOMMY",1
10:00,,,,,"SUB OUT by PRICE,VICTOR",,,"SUB OUT by PRICE,VICTOR",1
10:00,,,,,"SUB OUT by WEBBER,BRENT",,,"SUB OUT by WEBBER,BRENT",1
10:00,,,,,"SUB OUT by RICHARDSON,TERIK",,,"SUB OUT by RICHARDSON,TERIK",1
10:00,,,,,"SUB OUT by BROWN,ISIAH",,,"SUB OUT by BROWN,ISIAH",1
10:00,,,,,"SUB OUT by ,KYLE PATTERSON SR",,,"SUB OUT by ,KYLE PATTERSON SR",1
09:45,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
09:34,,,,,"MISS LAYUP by DURHAM,JONATHAN",,,"MISS LAYUP by DURHAM,JONATHAN",1
