Time Remaining,WASHUM,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
15:20,"FOUL  by SILVERMAN-LLOYD,L",,,,,,,"FOUL  by SILVERMAN-LLOYD,L",2
15:15,,39,,39,"GOOD FT by BARRETT,JORDAN",HC 39-39 (0),,"GOOD FT by BARRETT,JORDAN",2
15:14,,39,,40 (+1),"GOOD FT by BARRETT,JORDAN",HC 39-40 (+1),,"GOOD FT by BARRETT,JORDAN",2
15:00,"GOOD LAYUP by BURT,NICK(in the paint)",41 (+1),,40,,WASHUM 41-40 (-1),,"GOOD LAYUP by BURT,NICK(in the paint)",2
14:43,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",2
14:43,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",2
14:43,,,,,"SUB OUT by GUMM,GABE",,,"SUB OUT by GUMM,GABE",2
14:34,"TURNOVER  by PALUCKI,MATT",,,,,,,"TURNOVER  by PALUCKI,MATT",2
14:26,,41,,42 (+1),"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 41-42 (+1),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
14:08,"GOOD LAYUP by BURT,NICK(in the paint)",43 (+1),,42,,WASHUM 43-42 (-1),,"GOOD LAYUP by BURT,NICK(in the paint)",2
13:35,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",2
13:34,"STEAL  by SILVERMAN-LLOYD,L",,,,,,,"STEAL  by SILVERMAN-LLOYD,L",2
13:26,"GOOD 3PTR by FATOKI,DAVID",46 (+4),,42,,WASHUM 46-42 (-4),,"GOOD 3PTR by FATOKI,DAVID",2
13:06,"FOUL  by HIGHSMITH,MATT",,,,,,,"FOUL  by HIGHSMITH,MATT",2
13:06,,46 (+3),,43,"GOOD FT by LITTLEFIELD,GEAREN",HC 46-43 (-3),,"GOOD FT by LITTLEFIELD,GEAREN",2
13:06,,46 (+2),,44,"GOOD FT by LITTLEFIELD,GEAREN",HC 46-44 (-2),,"GOOD FT by LITTLEFIELD,GEAREN",2
12:57,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",2
12:53,"MISS JUMPER by FATOKI,DAVID",,,,,,,"MISS JUMPER by FATOKI,DAVID",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
12:47,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",2
12:47,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
12:39,"MISS JUMPER by BURT,NICK",,,,,,,"MISS JUMPER by BURT,NICK",2
--,"REBOUND OFF by PALUCKI,MATT",,,,,,,"REBOUND OFF by PALUCKI,MATT",2
12:24,"GOOD LAYUP by FATOKI,DAVID(in the paint)",48 (+4),,44,,WASHUM 48-44 (-4),,"GOOD LAYUP by FATOKI,DAVID(in the paint)",2
12:02,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",2
12:00,"STEAL  by PALUCKI,MATT",,,,,,,"STEAL  by PALUCKI,MATT",2
11:56,"MISS LAYUP by BURT,NICK",,,,,,,"MISS LAYUP by BURT,NICK",2
--,"REBOUND OFF by BURT,NICK",,,,,,,"REBOUND OFF by BURT,NICK",2
11:54,"MISS LAYUP by BURT,NICK",,,,,,,"MISS LAYUP by BURT,NICK",2
11:54,,,,,"BLOCK  by CONARD,ALEC",,,"BLOCK  by CONARD,ALEC",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
11:54,,,,,"FOUL  by CONARD,ALEC",,,"FOUL  by CONARD,ALEC",2
11:54,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:54,"MISS FT by BURT,NICK",,,,,,,"MISS FT by BURT,NICK",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:54,"GOOD FT by BURT,NICK",49 (+5),,44,,WASHUM 49-44 (-5),,"GOOD FT by BURT,NICK",2
11:54,"SUB IN by LACOB,KENT",,,,,,,"SUB IN by LACOB,KENT",2
11:54,"SUB OUT by FATOKI,DAVID",,,,,,,"SUB OUT by FATOKI,DAVID",2
11:54,,,,,"SUB IN by GUMM,GABE",,,"SUB IN by GUMM,GABE",2
11:54,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",2
11:43,,49 (+2),,47,"GOOD 3PTR by CONARD,ALEC",HC 49-47 (-2),,"GOOD 3PTR by CONARD,ALEC",2
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",2
11:33,"GOOD JUMPER by BURT,NICK",51 (+4),,47,,WASHUM 51-47 (-4),,"GOOD JUMPER by BURT,NICK",2
11:09,,,,,"MISS JUMPER by CONARD,ALEC",,,"MISS JUMPER by CONARD,ALEC",2
--,"REBOUND DEF by PALUCKI,MATT",,,,,,,"REBOUND DEF by PALUCKI,MATT",2
10:59,"GOOD JUMPER by HIGHSMITH,MATT",53 (+6),,47,,WASHUM 53-47 (-6),,"GOOD JUMPER by HIGHSMITH,MATT",2
--,"ASSIST  by PALUCKI,MATT",,,,,,,"ASSIST  by PALUCKI,MATT",2
10:38,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",,,"TURNOVER  by LITTLEFIELD,GEAREN",2
10:38,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
10:38,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",2
10:38,,,,,"SUB OUT by LITTLEFIELD,GEAREN",,,"SUB OUT by LITTLEFIELD,GEAREN",2
10:23,"GOOD 3PTR by LACOB,KENT",56 (+9),,47,,WASHUM 56-47 (-9),,"GOOD 3PTR by LACOB,KENT",2
--,"ASSIST  by BURT,NICK",,,,,,,"ASSIST  by BURT,NICK",2
10:10,"FOUL  by BURT,NICK",,,,,,,"FOUL  by BURT,NICK",2
10:10,,56 (+8),,48,"GOOD FT by VANCE,LUKE",HC 56-48 (-8),,"GOOD FT by VANCE,LUKE",2
10:10,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",2
--,"REBOUND DEF by BURT,NICK",,,,,,,"REBOUND DEF by BURT,NICK",2
10:10,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",2
10:10,,,,,"SUB OUT by GUMM,GABE",,,"SUB OUT by GUMM,GABE",2
09:58,"MISS JUMPER by HIGHSMITH,MATT",,,,,,,"MISS JUMPER by HIGHSMITH,MATT",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
09:45,,,,,"TURNOVER  by VANCE,LUKE",,,"TURNOVER  by VANCE,LUKE",2
09:43,"MISS LAYUP by BURT,NICK",,,,,,,"MISS LAYUP by BURT,NICK",2
--,"REBOUND OFF by HIGHSMITH,MATT",,,,,,,"REBOUND OFF by HIGHSMITH,MATT",2
09:42,"TURNOVER  by HIGHSMITH,MATT",,,,,,,"TURNOVER  by HIGHSMITH,MATT",2
09:42,"FOUL  by HIGHSMITH,MATT",,,,,,,"FOUL  by HIGHSMITH,MATT",2
09:42,,,,,"MISS FT by ALDOUS,HANK",,,"MISS FT by ALDOUS,HANK",2
--,"REBOUND DEF by PALUCKI,MATT",,,,,,,"REBOUND DEF by PALUCKI,MATT",2
09:42,"SUB IN by STYCZYNSKI,MITCH",,,,,,,"SUB IN by STYCZYNSKI,MITCH",2
09:42,"SUB OUT by HIGHSMITH,MATT",,,,,,,"SUB OUT by HIGHSMITH,MATT",2
09:26,,,,,"FOUL  by LITTLEFIELD,GEAREN",,,"FOUL  by LITTLEFIELD,GEAREN",2
09:26,"GOOD FT by PALUCKI,MATT",57 (+9),,48,,WASHUM 57-48 (-9),,"GOOD FT by PALUCKI,MATT",2
09:26,"MISS FT by PALUCKI,MATT",,,,,,,"MISS FT by PALUCKI,MATT",2
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",2
09:26,"SUB IN by BREGMAN,MICHAEL",,,,,,,"SUB IN by BREGMAN,MICHAEL",2
09:26,"SUB OUT by SILVERMAN-LLOYD,L",,,,,,,"SUB OUT by SILVERMAN-LLOYD,L",2
09:26,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
09:26,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",2
09:08,,,,,"TURNOVER  by NIKOLOVSKI,DREW",,,"TURNOVER  by NIKOLOVSKI,DREW",2
09:07,"STEAL  by PALUCKI,MATT",,,,,,,"STEAL  by PALUCKI,MATT",2
09:01,"MISS JUMPER by BREGMAN,MICHAEL",,,,,,,"MISS JUMPER by BREGMAN,MICHAEL",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
08:59,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",2
08:52,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
08:52,"GOOD FT by LACOB,KENT",58 (+10),,48,,WASHUM 58-48 (-10),,"GOOD FT by LACOB,KENT",2
08:52,"MISS FT by LACOB,KENT",,,,,,,"MISS FT by LACOB,KENT",2
--,,,,,"REBOUND DEF by OGLE,JOHN",,,"REBOUND DEF by OGLE,JOHN",2
08:52,,,,,"SUB IN by GUMM,GABE",,,"SUB IN by GUMM,GABE",2
08:52,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
08:52,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",2
08:52,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",2
08:41,"FOUL  by BURT,NICK",,,,,,,"FOUL  by BURT,NICK",2
08:41,,,,,"MISS FT by OGLE,JOHN",,,"MISS FT by OGLE,JOHN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:41,,58 (+9),,49,"GOOD FT by OGLE,JOHN",HC 58-49 (-9),,"GOOD FT by OGLE,JOHN",2
08:41,"SUB IN by STAFFEIL,BRANDON",,,,,,,"SUB IN by STAFFEIL,BRANDON",2
08:41,"SUB OUT by BURT,NICK",,,,,,,"SUB OUT by BURT,NICK",2
08:10,"MISS LAYUP by PALUCKI,MATT",,,,,,,"MISS LAYUP by PALUCKI,MATT",2
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",2
08:08,"FOUL  by STYCZYNSKI,MITCH",,,,,,,"FOUL  by STYCZYNSKI,MITCH",2
08:08,,58 (+8),,50,"GOOD FT by GARRETT,TRAVIS",HC 58-50 (-8),,"GOOD FT by GARRETT,TRAVIS",2
08:08,,58 (+7),,51,"GOOD FT by GARRETT,TRAVIS",HC 58-51 (-7),,"GOOD FT by GARRETT,TRAVIS",2
08:08,"SUB IN by FATOKI,DAVID",,,,,,,"SUB IN by FATOKI,DAVID",2
08:08,"SUB IN by SOBOLEV,SASHA",,,,,,,"SUB IN by SOBOLEV,SASHA",2
08:08,"SUB OUT by STYCZYNSKI,MITCH",,,,,,,"SUB OUT by STYCZYNSKI,MITCH",2
08:08,"SUB OUT by LACOB,KENT",,,,,,,"SUB OUT by LACOB,KENT",2
07:57,"MISS JUMPER by SOBOLEV,SASHA",,,,,,,"MISS JUMPER by SOBOLEV,SASHA",2
--,"REBOUND OFF by STAFFEIL,BRANDON",,,,,,,"REBOUND OFF by STAFFEIL,BRANDON",2
07:50,"GOOD LAYUP by STAFFEIL,BRANDON(in the paint)",60 (+9),,51,,WASHUM 60-51 (-9),,"GOOD LAYUP by STAFFEIL,BRANDON(in the paint)",2
07:35,,60 (+7),,53,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 60-53 (-7),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
07:22,"MISS 3PTR by FATOKI,DAVID",,,,,,,"MISS 3PTR by FATOKI,DAVID",2
--,"REBOUND OFF by STAFFEIL,BRANDON",,,,,,,"REBOUND OFF by STAFFEIL,BRANDON",2
07:20,"TURNOVER  by STAFFEIL,BRANDON",,,,,,,"TURNOVER  by STAFFEIL,BRANDON",2
07:20,"FOUL  by STAFFEIL,BRANDON",,,,,,,"FOUL  by STAFFEIL,BRANDON",2
07:20,,60 (+6),,54,"GOOD FT by VANCE,LUKE",HC 60-54 (-6),,"GOOD FT by VANCE,LUKE",2
07:20,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",2
--,,,,,"REBOUND OFF by VANCE,LUKE",,,"REBOUND OFF by VANCE,LUKE",2
06:55,,60 (+4),,56,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 60-56 (-4),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
06:42,"MISS 3PTR by PALUCKI,MATT",,,,,,,"MISS 3PTR by PALUCKI,MATT",2
--,"REBOUND OFF by BREGMAN,MICHAEL",,,,,,,"REBOUND OFF by BREGMAN,MICHAEL",2
06:40,,,,,"FOUL  by NIKOLOVSKI,DREW",,,"FOUL  by NIKOLOVSKI,DREW",2
06:40,"GOOD LAYUP by BREGMAN,MICHAEL(in the paint)",62 (+6),,56,,WASHUM 62-56 (-6),,"GOOD LAYUP by BREGMAN,MICHAEL(in the paint)",2
06:36,"GOOD FT by BREGMAN,MICHAEL",63 (+7),,56,,WASHUM 63-56 (-7),,"GOOD FT by BREGMAN,MICHAEL",2
06:13,,,,,"MISS LAYUP by OGLE,JOHN",,,"MISS LAYUP by OGLE,JOHN",2
06:13,"BLOCK  by PALUCKI,MATT",,,,,,,"BLOCK  by PALUCKI,MATT",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
06:13,"FOUL  by FATOKI,DAVID",,,,,,,"FOUL  by FATOKI,DAVID",2
06:13,,63 (+6),,57,"GOOD FT by OGLE,JOHN",HC 63-57 (-6),,"GOOD FT by OGLE,JOHN",2
06:13,,63 (+5),,58,"GOOD FT by OGLE,JOHN",HC 63-58 (-5),,"GOOD FT by OGLE,JOHN",2
06:13,,,,,"SUB IN by BARRETT,JORDAN",,,"SUB IN by BARRETT,JORDAN",2
06:13,,,,,"SUB OUT by NIKOLOVSKI,DREW",,,"SUB OUT by NIKOLOVSKI,DREW",2
06:06,"MISS LAYUP by BREGMAN,MICHAEL",,,,,,,"MISS LAYUP by BREGMAN,MICHAEL",2
--,,,,,"REBOUND DEF by GUMM,GABE",,,"REBOUND DEF by GUMM,GABE",2
05:57,,,,,"TURNOVER  by GUMM,GABE",,,"TURNOVER  by GUMM,GABE",2
05:38,"SUB IN by SANDERS,ANDREW",,,,,,,"SUB IN by SANDERS,ANDREW",2
05:38,"SUB IN by LAMPLEY,TREY",,,,,,,"SUB IN by LAMPLEY,TREY",2
05:38,"SUB IN by HOOKS,CLINTON",,,,,,,"SUB IN by HOOKS,CLINTON",2
05:38,"SUB IN by KUCERA,KEVIN",,,,,,,"SUB IN by KUCERA,KEVIN",2
05:38,"SUB OUT by FATOKI,DAVID",,,,,,,"SUB OUT by FATOKI,DAVID",2
05:38,"SUB OUT by SOBOLEV,SASHA",,,,,,,"SUB OUT by SOBOLEV,SASHA",2
05:38,"SUB OUT by PALUCKI,MATT",,,,,,,"SUB OUT by PALUCKI,MATT",2
05:38,"SUB OUT by BREGMAN,MICHAEL",,,,,,,"SUB OUT by BREGMAN,MICHAEL",2
05:25,"GOOD JUMPER by STAFFEIL,BRANDON",65 (+7),,58,,WASHUM 65-58 (-7),,"GOOD JUMPER by STAFFEIL,BRANDON",2
05:25,,65 (+5),,60,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 65-60 (-5),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
05:25,"SUB IN by BREGMAN,MICHAEL",,,,,,,"SUB IN by BREGMAN,MICHAEL",2
05:25,"SUB IN by PALUCKI,MATT",,,,,,,"SUB IN by PALUCKI,MATT",2
05:25,"SUB IN by FATOKI,DAVID",,,,,,,"SUB IN by FATOKI,DAVID",2
05:25,"SUB IN by SILVERMAN-LLOYD,L",,,,,,,"SUB IN by SILVERMAN-LLOYD,L",2
05:25,"SUB OUT by SANDERS,ANDREW",,,,,,,"SUB OUT by SANDERS,ANDREW",2
05:25,"SUB OUT by LAMPLEY,TREY",,,,,,,"SUB OUT by LAMPLEY,TREY",2
05:25,"SUB OUT by HOOKS,CLINTON",,,,,,,"SUB OUT by HOOKS,CLINTON",2
05:25,"SUB OUT by KUCERA,KEVIN",,,,,,,"SUB OUT by KUCERA,KEVIN",2
05:15,"GOOD JUMPER by STAFFEIL,BRANDON",67 (+7),,60,,WASHUM 67-60 (-7),,"GOOD JUMPER by STAFFEIL,BRANDON",2
--,"ASSIST  by FATOKI,DAVID",,,,,,,"ASSIST  by FATOKI,DAVID",2
04:43,,67 (+4),,63,"GOOD 3PTR by BARRETT,JORDAN",HC 67-63 (-4),,"GOOD 3PTR by BARRETT,JORDAN",2
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",2
04:18,"MISS JUMPER by STAFFEIL,BRANDON",,,,,,,"MISS JUMPER by STAFFEIL,BRANDON",2
--,,,,,"REBOUND DEF by BARRETT,JORDAN",,,"REBOUND DEF by BARRETT,JORDAN",2
04:06,,,,,"MISS JUMPER by BARRETT,JORDAN",,,"MISS JUMPER by BARRETT,JORDAN",2
--,,,,,"REBOUND OFF by OGLE,JOHN",,,"REBOUND OFF by OGLE,JOHN",2
04:02,,,,,"TURNOVER  by OGLE,JOHN",,,"TURNOVER  by OGLE,JOHN",2
04:01,"STEAL  by STAFFEIL,BRANDON",,,,,,,"STEAL  by STAFFEIL,BRANDON",2
03:56,,,,,"FOUL  by OGLE,JOHN",,,"FOUL  by OGLE,JOHN",2
03:48,"GOOD FT by PALUCKI,MATT",68 (+5),,63,,WASHUM 68-63 (-5),,"GOOD FT by PALUCKI,MATT",2
03:48,"GOOD FT by PALUCKI,MATT",69 (+6),,63,,WASHUM 69-63 (-6),,"GOOD FT by PALUCKI,MATT",2
03:48,"SUB IN by BURT,NICK",,,,,,,"SUB IN by BURT,NICK",2
03:48,"SUB OUT by STAFFEIL,BRANDON",,,,,,,"SUB OUT by STAFFEIL,BRANDON",2
03:48,,,,,"SUB IN by ALDOUS,HANK",,,"SUB IN by ALDOUS,HANK",2
03:48,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
03:29,,,,,"MISS 3PTR by BARRETT,JORDAN",,,"MISS 3PTR by BARRETT,JORDAN",2
--,"REBOUND DEF by PALUCKI,MATT",,,,,,,"REBOUND DEF by PALUCKI,MATT",2
03:15,"MISS JUMPER by FATOKI,DAVID",,,,,,,"MISS JUMPER by FATOKI,DAVID",2
--,"REBOUND OFF by FATOKI,DAVID",,,,,,,"REBOUND OFF by FATOKI,DAVID",2
03:11,"TURNOVER  by FATOKI,DAVID",,,,,,,"TURNOVER  by FATOKI,DAVID",2
03:09,,,,,"STEAL  by OGLE,JOHN",,,"STEAL  by OGLE,JOHN",2
03:03,"FOUL  by BURT,NICK",,,,,,,"FOUL  by BURT,NICK",2
03:03,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:03,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",2
--,"REBOUND DEF by PALUCKI,MATT",,,,,,,"REBOUND DEF by PALUCKI,MATT",2
03:03,"SUB IN by STYCZYNSKI,MITCH",,,,,,,"SUB IN by STYCZYNSKI,MITCH",2
03:03,"SUB OUT by BURT,NICK",,,,,,,"SUB OUT by BURT,NICK",2
02:44,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
02:44,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",2
02:44,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
02:39,"FOUL  by PALUCKI,MATT",,,,,,,"FOUL  by PALUCKI,MATT",2
02:31,,69 (+4),,65,"GOOD JUMPER by CONARD,ALEC(in the paint)",HC 69-65 (-4),,"GOOD JUMPER by CONARD,ALEC(in the paint)",2
02:15,,,,,"FOUL  by CONARD,ALEC",,,"FOUL  by CONARD,ALEC",2
02:15,"GOOD FT by PALUCKI,MATT",70 (+5),,65,,WASHUM 70-65 (-5),,"GOOD FT by PALUCKI,MATT",2
02:15,"GOOD FT by PALUCKI,MATT",71 (+6),,65,,WASHUM 71-65 (-6),,"GOOD FT by PALUCKI,MATT",2
01:59,,71 (+3),,68,"GOOD 3PTR by GUMM,GABE",HC 71-68 (-3),,"GOOD 3PTR by GUMM,GABE",2
--,,,,,"ASSIST  by CONARD,ALEC",,,"ASSIST  by CONARD,ALEC",2
01:39,"MISS LAYUP by PALUCKI,MATT",,,,,,,"MISS LAYUP by PALUCKI,MATT",2
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",2
01:33,,,,,"MISS JUMPER by GUMM,GABE",,,"MISS JUMPER by GUMM,GABE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:29,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
01:29,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",2
01:08,"MISS 3PTR by BREGMAN,MICHAEL",,,,,,,"MISS 3PTR by BREGMAN,MICHAEL",2
--,"REBOUND OFF by PALUCKI,MATT",,,,,,,"REBOUND OFF by PALUCKI,MATT",2
00:43,"GOOD LAYUP by FATOKI,DAVID(in the paint)",73 (+5),,68,,WASHUM 73-68 (-5),,"GOOD LAYUP by FATOKI,DAVID(in the paint)",2
00:29,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:29,"SUB IN by KUCERA,KEVIN",,,,,,,"SUB IN by KUCERA,KEVIN",2
00:29,"SUB OUT by BREGMAN,MICHAEL",,,,,,,"SUB OUT by BREGMAN,MICHAEL",2
00:29,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",2
00:29,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
00:20,,,,,"MISS 3PTR by CONARD,ALEC",,,"MISS 3PTR by CONARD,ALEC",2
--,,,,,"REBOUND OFF by CONARD,ALEC",,,"REBOUND OFF by CONARD,ALEC",2
00:15,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",2
00:15,"STEAL  by PALUCKI,MATT",,,,,,,"STEAL  by PALUCKI,MATT",2
00:15,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",2
00:15,"GOOD FT by KUCERA,KEVIN",74 (+6),,68,,WASHUM 74-68 (-6),,"GOOD FT by KUCERA,KEVIN",2
00:15,"GOOD FT by KUCERA,KEVIN",75 (+7),,68,,WASHUM 75-68 (-7),,"GOOD FT by KUCERA,KEVIN",2
00:11,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",2
