Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
12:28,"GOOD JUMPER by VANCE,LUKE(in the paint)",7,,11 (+4),,HC 7-11 (-4),,"GOOD JUMPER by VANCE,LUKE(in the paint)",1
12:03,,,,,"MISS 3PTR by WARDLAW,CHASE",,,"MISS 3PTR by WARDLAW,CHASE",1
--,,,,,"REBOUND OFF by PATRICK,DREW",,,"REBOUND OFF by PATRICK,DREW",1
11:59,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",1
11:59,,,,,"TURNOVER  by LAWRENCE,CHRIS",,,"TURNOVER  by LAWRENCE,CHRIS",1
11:59,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
11:59,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
11:59,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",1
11:59,"SUB OUT by VANCE,LUKE",,,,,,,"SUB OUT by VANCE,LUKE",1
11:59,,,,,"SUB IN by SMITH,CONNOR",,,"SUB IN by SMITH,CONNOR",1
11:59,,,,,"SUB OUT by SIGRIST,CONNOR",,,"SUB OUT by SIGRIST,CONNOR",1
11:34,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
11:34,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",1
11:18,,7,,14 (+7),"GOOD 3PTR by LAWRENCE,CHRIS",OUM 7-14 (-7),,"GOOD 3PTR by LAWRENCE,CHRIS",1
--,,,,,"ASSIST  by SMITH,CONNOR",,,"ASSIST  by SMITH,CONNOR",1
10:57,"MISS 3PTR by STEELE,AARON",,,,,,,"MISS 3PTR by STEELE,AARON",1
--,,,,,"REBOUND DEF by WARDLAW,CHASE",,,"REBOUND DEF by WARDLAW,CHASE",1
10:49,,7,,16 (+9),"GOOD LAYUP by WARDLAW,CHASE(fastbreak)(in the paint)",OUM 7-16 (-9),,"GOOD LAYUP by WARDLAW,CHASE(fastbreak)(in the paint)",1
10:46,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
10:46,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",1
10:46,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",1
10:28,,,,,"FOUL  by PATRICK,DREW",,,"FOUL  by PATRICK,DREW",1
10:17,"MISS JUMPER by ALDOUS,HANK",,,,,,,"MISS JUMPER by ALDOUS,HANK",1
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
09:59,,,,,"FOUL  by PATRICK,DREW",,,"FOUL  by PATRICK,DREW",1
09:59,"SUB IN by CONARD,ALEC",,,,,,,"SUB IN by CONARD,ALEC",1
09:59,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
09:59,,,,,"SUB IN by BATES,ROMELLO",,,"SUB IN by BATES,ROMELLO",1
09:59,,,,,"SUB OUT by PATRICK,DREW",,,"SUB OUT by PATRICK,DREW",1
09:58,"MISS JUMPER by CONARD,ALEC",,,,,,,"MISS JUMPER by CONARD,ALEC",1
--,,,,,"REBOUND DEF by WARDLAW,CHASE",,,"REBOUND DEF by WARDLAW,CHASE",1
09:39,,7,,19 (+12),"GOOD 3PTR by WARDLAW,CHASE",OUM 7-19 (-12),,"GOOD 3PTR by WARDLAW,CHASE",1
--,,,,,"ASSIST  by BATES,ROMELLO",,,"ASSIST  by BATES,ROMELLO",1
09:11,"MISS JUMPER by LITTLEFIELD,GEAREN",,,,,,,"MISS JUMPER by LITTLEFIELD,GEAREN",1
--,"REBOUND OFF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND OFF by LITTLEFIELD,GEAREN",1
09:07,"MISS LAYUP by LITTLEFIELD,GEAREN",,,,,,,"MISS LAYUP by LITTLEFIELD,GEAREN",1
