Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENT,Game Score,Team Indicator,Play,Period
00:53,,,,,"SUB OUT by CAMPBELL,BRANDON",,,"SUB OUT by CAMPBELL,BRANDON",1
00:49,"GOOD FT by ALDOUS,HANK",19,,46 (+27),,HC 19-46 (-27),,"GOOD FT by ALDOUS,HANK",1
00:35,,,,,"TURNOVER  by BROUSSARD,JACOB",,,"TURNOVER  by BROUSSARD,JACOB",1
00:31,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",1
00:29,,,,,"STEAL  by NTAGHA,SARO",,,"STEAL  by NTAGHA,SARO",1
00:08,,19,,49 (+30),"GOOD 3PTR by BROUSSARD,JACOB",CENT 19-49 (-30),,"GOOD 3PTR by BROUSSARD,JACOB",1
--,,,,,"ASSIST  by KIRKENDOLL,TRAVION",,,"ASSIST  by KIRKENDOLL,TRAVION",1
19:44,"MISS LAYUP by BARRETT,JORDAN",,,,,,,"MISS LAYUP by BARRETT,JORDAN",2
--,,,,,"REBOUND DEF by WILLIAMS,DONOVAN",,,"REBOUND DEF by WILLIAMS,DONOVAN",2
19:10,,,,,"MISS 3PTR by BROUSSARD,JACOB",,,"MISS 3PTR by BROUSSARD,JACOB",2
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",2
18:34,,,,,"FOUL  by NTAGHA,SARO",,,"FOUL  by NTAGHA,SARO",2
18:34,"GOOD FT by VANCE,LUKE",20,,49 (+29),,HC 20-49 (-29),,"GOOD FT by VANCE,LUKE",2
18:34,"MISS FT by VANCE,LUKE",,,,,,,"MISS FT by VANCE,LUKE",2
--,,,,,"REBOUND DEF by CUETO,JUSTIN",,,"REBOUND DEF by CUETO,JUSTIN",2
18:23,,20,,52 (+32),"GOOD 3PTR by CUETO,JUSTIN",CENT 20-52 (-32),,"GOOD 3PTR by CUETO,JUSTIN",2
--,,,,,"ASSIST  by CHERAMIE,CADEN",,,"ASSIST  by CHERAMIE,CADEN",2
18:11,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",22,,52 (+30),,HC 22-52 (-30),,"GOOD LAYUP by BARRETT,JORDAN(in the paint)",2
17:53,,,,,"MISS JUMPER by CHERAMIE,CADEN",,,"MISS JUMPER by CHERAMIE,CADEN",2
