Time Remaining,ETBU,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
18:00,"GOOD LAYUP by FELICIA,JUSTIN(fastbreak)(in the paint)",48 (+13),,35,,ETBU 48-35 (-13),,"GOOD LAYUP by FELICIA,JUSTIN(fastbreak)(in the paint)",2
--,"ASSIST  by MITCHELL,JUNIOR",,,,,,,"ASSIST  by MITCHELL,JUNIOR",2
17:56,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
17:56,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",2
17:56,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
17:56,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
17:56,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
17:31,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",2
--,"REBOUND DEF by FELICIA,JUSTIN",,,,,,,"REBOUND DEF by FELICIA,JUSTIN",2
17:22,"MISS LAYUP by MITCHELL,JUNIOR",,,,,,,"MISS LAYUP by MITCHELL,JUNIOR",2
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",2
17:05,"FOUL  by THOMPSON,ERBY",,,,,,,"FOUL  by THOMPSON,ERBY",2
16:50,,,,,"MISS JUMPER by CONARD,ALEC",,,"MISS JUMPER by CONARD,ALEC",2
--,,,,,"REBOUND OFF by CONARD,ALEC",,,"REBOUND OFF by CONARD,ALEC",2
16:40,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",2
--,,,,,"REBOUND OFF by ALDOUS,HANK",,,"REBOUND OFF by ALDOUS,HANK",2
16:37,,,,,"MISS LAYUP by ALDOUS,HANK",,,"MISS LAYUP by ALDOUS,HANK",2
--,,,,,"REBOUND OFF by ALDOUS,HANK",,,"REBOUND OFF by ALDOUS,HANK",2
16:31,,48 (+11),,37,"GOOD TIPIN by ALDOUS,HANK(in the paint)",HC 48-37 (-11),,"GOOD TIPIN by ALDOUS,HANK(in the paint)",2
16:19,"MISS 3PTR by THOMPSON,ERBY",,,,,,,"MISS 3PTR by THOMPSON,ERBY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
16:16,"SUB IN by ATKINS,BRET",,,,,,,"SUB IN by ATKINS,BRET",2
16:16,"SUB IN by HERRING,CHAD",,,,,,,"SUB IN by HERRING,CHAD",2
16:16,"SUB IN by DAVIS,ANTHONY",,,,,,,"SUB IN by DAVIS,ANTHONY",2
16:16,"SUB OUT by MITCHELL,JUNIOR",,,,,,,"SUB OUT by MITCHELL,JUNIOR",2
16:16,"SUB OUT by THOMPSON,ERBY",,,,,,,"SUB OUT by THOMPSON,ERBY",2
16:16,"SUB OUT by GRAY,AHNRE",,,,,,,"SUB OUT by GRAY,AHNRE",2
16:05,"FOUL  by AUGUSTINE,DYLAN",,,,,,,"FOUL  by AUGUSTINE,DYLAN",2
15:50,"FOUL  by FELICIA,JUSTIN",,,,,,,"FOUL  by FELICIA,JUSTIN",2
15:50,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:50,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",2
--,"REBOUND DEF by ATKINS,BRET",,,,,,,"REBOUND DEF by ATKINS,BRET",2
15:50,"SUB IN by MCCLAHAN,KERRY",,,,,,,"SUB IN by MCCLAHAN,KERRY",2
15:50,"SUB OUT by HERRING,CHAD",,,,,,,"SUB OUT by HERRING,CHAD",2
15:34,,,,,"FOUL  by GUMM,GABE",,,"FOUL  by GUMM,GABE",2
15:34,"GOOD FT by DAVIS,ANTHONY",49 (+12),,37,,ETBU 49-37 (-12),,"GOOD FT by DAVIS,ANTHONY",2
15:34,"MISS FT by DAVIS,ANTHONY",,,,,,,"MISS FT by DAVIS,ANTHONY",2
--,"REBOUND OFF by ATKINS,BRET",,,,,,,"REBOUND OFF by ATKINS,BRET",2
15:19,"TURNOVER  by DAVIS,ANTHONY",,,,,,,"TURNOVER  by DAVIS,ANTHONY",2
15:19,"FOUL  by DAVIS,ANTHONY",,,,,,,"FOUL  by DAVIS,ANTHONY",2
15:04,,,,,"MISS 3PTR by STEELE,AARON",,,"MISS 3PTR by STEELE,AARON",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
15:00,"SUB IN by THOMPSON,ERBY",,,,,,,"SUB IN by THOMPSON,ERBY",2
15:00,"SUB IN by HERRING,CHAD",,,,,,,"SUB IN by HERRING,CHAD",2
15:00,"SUB IN by GRAY,AHNRE",,,,,,,"SUB IN by GRAY,AHNRE",2
15:00,"SUB OUT by FELICIA,JUSTIN",,,,,,,"SUB OUT by FELICIA,JUSTIN",2
15:00,"SUB OUT by AUGUSTINE,DYLAN",,,,,,,"SUB OUT by AUGUSTINE,DYLAN",2
15:00,"SUB OUT by MCCLAHAN,KERRY",,,,,,,"SUB OUT by MCCLAHAN,KERRY",2
14:45,"GOOD LAYUP by GRAY,AHNRE(in the paint)",51 (+14),,37,,ETBU 51-37 (-14),,"GOOD LAYUP by GRAY,AHNRE(in the paint)",2
--,"ASSIST  by HERRING,CHAD",,,,,,,"ASSIST  by HERRING,CHAD",2
14:28,,51 (+11),,40,"GOOD 3PTR by GUMM,GABE",HC 51-40 (-11),,"GOOD 3PTR by GUMM,GABE",2
--,,,,,"ASSIST  by CONARD,ALEC",,,"ASSIST  by CONARD,ALEC",2
14:14,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
14:14,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",2
13:58,"MISS JUMPER by THOMPSON,ERBY",,,,,,,"MISS JUMPER by THOMPSON,ERBY",2
--,"REBOUND OFF by HERRING,CHAD",,,,,,,"REBOUND OFF by HERRING,CHAD",2
13:44,"MISS LAYUP by THOMPSON,ERBY",,,,,,,"MISS LAYUP by THOMPSON,ERBY",2
13:44,,,,,"BLOCK  by ALDOUS,HANK",,,"BLOCK  by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",2
13:43,"FOUL  by HERRING,CHAD",,,,,,,"FOUL  by HERRING,CHAD",2
13:43,"SUB IN by FELICIA,JUSTIN",,,,,,,"SUB IN by FELICIA,JUSTIN",2
13:43,"SUB OUT by HERRING,CHAD",,,,,,,"SUB OUT by HERRING,CHAD",2
13:12,"SUB IN by AUGUSTINE,DYLAN",,,,,,,"SUB IN by AUGUSTINE,DYLAN",2
13:12,"SUB IN by MITCHELL,JUNIOR",,,,,,,"SUB IN by MITCHELL,JUNIOR",2
13:12,"SUB OUT by ATKINS,BRET",,,,,,,"SUB OUT by ATKINS,BRET",2
13:12,"SUB OUT by DAVIS,ANTHONY",,,,,,,"SUB OUT by DAVIS,ANTHONY",2
13:11,,51 (+9),,42,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 51-42 (-9),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",2
12:56,"GOOD LAYUP by MITCHELL,JUNIOR(in the paint)",53 (+11),,42,,ETBU 53-42 (-11),,"GOOD LAYUP by MITCHELL,JUNIOR(in the paint)",2
--,"ASSIST  by AUGUSTINE,DYLAN",,,,,,,"ASSIST  by AUGUSTINE,DYLAN",2
12:35,,,,,"TURNOVER  by CONARD,ALEC",,,"TURNOVER  by CONARD,ALEC",2
12:33,"STEAL  by FELICIA,JUSTIN",,,,,,,"STEAL  by FELICIA,JUSTIN",2
12:21,"MISS LAYUP by FELICIA,JUSTIN",,,,,,,"MISS LAYUP by FELICIA,JUSTIN",2
12:21,,,,,"BLOCK  by CONARD,ALEC",,,"BLOCK  by CONARD,ALEC",2
--,"REBOUND OFF by GRAY,AHNRE",,,,,,,"REBOUND OFF by GRAY,AHNRE",2
12:15,"GOOD LAYUP by GRAY,AHNRE(in the paint)",55 (+13),,42,,ETBU 55-42 (-13),,"GOOD LAYUP by GRAY,AHNRE(in the paint)",2
11:53,,,,,"TURNOVER  by GUMM,GABE",,,"TURNOVER  by GUMM,GABE",2
11:52,"STEAL  by GRAY,AHNRE",,,,,,,"STEAL  by GRAY,AHNRE",2
11:48,"GOOD DUNK by FELICIA,JUSTIN(fastbreak)(in the paint)",57 (+15),,42,,ETBU 57-42 (-15),,"GOOD DUNK by FELICIA,JUSTIN(fastbreak)(in the paint)",2
--,"ASSIST  by GRAY,AHNRE",,,,,,,"ASSIST  by GRAY,AHNRE",2
11:37,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:37,"SUB IN by HERRING,CHAD",,,,,,,"SUB IN by HERRING,CHAD",2
11:37,"SUB OUT by THOMPSON,ERBY",,,,,,,"SUB OUT by THOMPSON,ERBY",2
11:37,"SUB OUT by AUGUSTINE,DYLAN",,,,,,,"SUB OUT by AUGUSTINE,DYLAN",2
11:37,"SUB OUT by MITCHELL,JUNIOR",,,,,,,"SUB OUT by MITCHELL,JUNIOR",2
11:37,"SUB OUT by GRAY,AHNRE",,,,,,,"SUB OUT by GRAY,AHNRE",2
11:37,"SUB OUT by FELICIA,JUSTIN",,,,,,,"SUB OUT by FELICIA,JUSTIN",2
11:37,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",2
11:37,,,,,"SUB OUT by GUMM,GABE",,,"SUB OUT by GUMM,GABE",2
11:37,,,,,"SUB OUT by VANCE,LUKE",,,"SUB OUT by VANCE,LUKE",2
11:37,,,,,"SUB OUT by ALDOUS,HANK",,,"SUB OUT by ALDOUS,HANK",2
11:37,,,,,"SUB OUT by GARRETT,TRAVIS",,,"SUB OUT by GARRETT,TRAVIS",2
11:37,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",2
11:10,,57 (+13),,44,"GOOD JUMPER by VANCE,LUKE(in the paint)",HC 57-44 (-13),,"GOOD JUMPER by VANCE,LUKE(in the paint)",2
11:10,"FOUL  by MITCHELL,JUNIOR",,,,,,,"FOUL  by MITCHELL,JUNIOR",2
11:10,,,,,"MISS FT by VANCE,LUKE",,,"MISS FT by VANCE,LUKE",2
--,"REBOUND DEF by HERRING,CHAD",,,,,,,"REBOUND DEF by HERRING,CHAD",2
10:53,"MISS JUMPER by MITCHELL,JUNIOR",,,,,,,"MISS JUMPER by MITCHELL,JUNIOR",2
--,,,,,"REBOUND DEF by GUMM,GABE",,,"REBOUND DEF by GUMM,GABE",2
10:39,,57 (+10),,47,"GOOD 3PTR by OGLE,JOHN",HC 57-47 (-10),,"GOOD 3PTR by OGLE,JOHN",2
--,,,,,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",2
10:23,"MISS JUMPER by HERRING,CHAD",,,,,,,"MISS JUMPER by HERRING,CHAD",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:21,"FOUL  by HERRING,CHAD",,,,,,,"FOUL  by HERRING,CHAD",2
10:21,,57 (+9),,48,"GOOD FT by OGLE,JOHN",HC 57-48 (-9),,"GOOD FT by OGLE,JOHN",2
10:21,,57 (+8),,49,"GOOD FT by OGLE,JOHN",HC 57-49 (-8),,"GOOD FT by OGLE,JOHN",2
10:21,"SUB IN by FELICIA,JUSTIN",,,,,,,"SUB IN by FELICIA,JUSTIN",2
10:21,"SUB IN by DAVIS,ANTHONY",,,,,,,"SUB IN by DAVIS,ANTHONY",2
10:21,"SUB IN by ATKINS,BRET",,,,,,,"SUB IN by ATKINS,BRET",2
10:21,"SUB OUT by HERRING,CHAD",,,,,,,"SUB OUT by HERRING,CHAD",2
10:09,"TURNOVER  by FELICIA,JUSTIN",,,,,,,"TURNOVER  by FELICIA,JUSTIN",2
10:09,"FOUL  by FELICIA,JUSTIN",,,,,,,"FOUL  by FELICIA,JUSTIN",2
10:09,"SUB IN by HERRING,CHAD",,,,,,,"SUB IN by HERRING,CHAD",2
10:09,"SUB OUT by FELICIA,JUSTIN",,,,,,,"SUB OUT by FELICIA,JUSTIN",2
09:54,,57 (+6),,51,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 57-51 (-6),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
--,,,,,"ASSIST  by OGLE,JOHN",,,"ASSIST  by OGLE,JOHN",2
09:37,,,,,"FOUL  by GUMM,GABE",,,"FOUL  by GUMM,GABE",2
09:37,"SUB IN by MCCLAHAN,KERRY",,,,,,,"SUB IN by MCCLAHAN,KERRY",2
09:37,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
09:33,"GOOD LAYUP by HERRING,CHAD(in the paint)",59 (+8),,51,,ETBU 59-51 (-8),,"GOOD LAYUP by HERRING,CHAD(in the paint)",2
--,"ASSIST  by THOMPSON,ERBY",,,,,,,"ASSIST  by THOMPSON,ERBY",2
09:31,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
09:10,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",2
09:10,"BLOCK  by HERRING,CHAD",,,,,,,"BLOCK  by HERRING,CHAD",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
09:03,,,,,"MISS JUMPER by OGLE,JOHN",,,"MISS JUMPER by OGLE,JOHN",2
--,"REBOUND DEF by ATKINS,BRET",,,,,,,"REBOUND DEF by ATKINS,BRET",2
08:28,"MISS JUMPER by HERRING,CHAD",,,,,,,"MISS JUMPER by HERRING,CHAD",2
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",2
08:12,,59 (+6),,53,"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 59-53 (-6),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",2
07:51,"MISS 3PTR by DAVIS,ANTHONY",,,,,,,"MISS 3PTR by DAVIS,ANTHONY",2
--,,,,,"REBOUND DEF by GARRETT,TRAVIS",,,"REBOUND DEF by GARRETT,TRAVIS",2
07:33,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",2
--,"REBOUND DEF by HERRING,CHAD",,,,,,,"REBOUND DEF by HERRING,CHAD",2
07:21,"GOOD JUMPER by THOMPSON,ERBY",61 (+8),,53,,ETBU 61-53 (-8),,"GOOD JUMPER by THOMPSON,ERBY",2
--,"ASSIST  by HERRING,CHAD",,,,,,,"ASSIST  by HERRING,CHAD",2
06:53,,,,,"MISS 3PTR by GARRETT,TRAVIS",,,"MISS 3PTR by GARRETT,TRAVIS",2
--,,,,,"REBOUND OFF by OGLE,JOHN",,,"REBOUND OFF by OGLE,JOHN",2
06:43,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",2
--,"REBOUND DEF by MCCLAHAN,KERRY",,,,,,,"REBOUND DEF by MCCLAHAN,KERRY",2
06:29,"GOOD LAYUP by HERRING,CHAD(in the paint)",63 (+10),,53,,ETBU 63-53 (-10),,"GOOD LAYUP by HERRING,CHAD(in the paint)",2
--,"ASSIST  by THOMPSON,ERBY",,,,,,,"ASSIST  by THOMPSON,ERBY",2
06:15,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:15,"SUB IN by GRAY,AHNRE",,,,,,,"SUB IN by GRAY,AHNRE",2
06:15,"SUB IN by MITCHELL,JUNIOR",,,,,,,"SUB IN by MITCHELL,JUNIOR",2
06:15,"SUB IN by AUGUSTINE,DYLAN",,,,,,,"SUB IN by AUGUSTINE,DYLAN",2
06:15,"SUB IN by FELICIA,JUSTIN",,,,,,,"SUB IN by FELICIA,JUSTIN",2
06:15,"SUB OUT by HERRING,CHAD",,,,,,,"SUB OUT by HERRING,CHAD",2
06:15,"SUB OUT by DAVIS,ANTHONY",,,,,,,"SUB OUT by DAVIS,ANTHONY",2
06:15,"SUB OUT by MCCLAHAN,KERRY",,,,,,,"SUB OUT by MCCLAHAN,KERRY",2
06:15,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",2
05:51,,,,,"MISS JUMPER by CONARD,ALEC",,,"MISS JUMPER by CONARD,ALEC",2
--,"REBOUND DEF by GRAY,AHNRE",,,,,,,"REBOUND DEF by GRAY,AHNRE",2
05:35,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",2
05:35,"GOOD FT by MITCHELL,JUNIOR",64 (+11),,53,,ETBU 64-53 (-11),,"GOOD FT by MITCHELL,JUNIOR",2
05:35,"GOOD FT by MITCHELL,JUNIOR",65 (+12),,53,,ETBU 65-53 (-12),,"GOOD FT by MITCHELL,JUNIOR",2
05:35,,,,,"SUB IN by GUMM,GABE",,,"SUB IN by GUMM,GABE",2
05:35,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",2
05:18,,65 (+10),,55,"GOOD JUMPER by ALDOUS,HANK",HC 65-55 (-10),,"GOOD JUMPER by ALDOUS,HANK",2
05:04,"GOOD LAYUP by ATKINS,BRET(in the paint)",67 (+12),,55,,ETBU 67-55 (-12),,"GOOD LAYUP by ATKINS,BRET(in the paint)",2
04:43,,67 (+10),,57,"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 67-57 (-10),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",2
04:43,"FOUL  by FELICIA,JUSTIN",,,,,,,"FOUL  by FELICIA,JUSTIN",2
04:43,,67 (+9),,58,"GOOD FT by ALDOUS,HANK",HC 67-58 (-9),,"GOOD FT by ALDOUS,HANK",2
04:43,"SUB IN by THOMPSON,ERBY",,,,,,,"SUB IN by THOMPSON,ERBY",2
04:43,"SUB IN by HERRING,CHAD",,,,,,,"SUB IN by HERRING,CHAD",2
04:43,"SUB OUT by ATKINS,BRET",,,,,,,"SUB OUT by ATKINS,BRET",2
04:43,"SUB OUT by FELICIA,JUSTIN",,,,,,,"SUB OUT by FELICIA,JUSTIN",2
04:43,,,,,"SUB IN by VANCE,LUKE",,,"SUB IN by VANCE,LUKE",2
04:43,,,,,"SUB OUT by OGLE,JOHN",,,"SUB OUT by OGLE,JOHN",2
04:25,,,,,"FOUL  by CONARD,ALEC",,,"FOUL  by CONARD,ALEC",2
04:25,"GOOD FT by THOMPSON,ERBY",68 (+10),,58,,ETBU 68-58 (-10),,"GOOD FT by THOMPSON,ERBY",2
04:25,"GOOD FT by THOMPSON,ERBY",69 (+11),,58,,ETBU 69-58 (-11),,"GOOD FT by THOMPSON,ERBY",2
04:25,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:59,,,,,"TURNOVER  by GARRETT,TRAVIS",,,"TURNOVER  by GARRETT,TRAVIS",2
03:37,"TURNOVER  by THOMPSON,ERBY",,,,,,,"TURNOVER  by THOMPSON,ERBY",2
03:20,,,,,"TURNOVER  by GUMM,GABE",,,"TURNOVER  by GUMM,GABE",2
03:18,"STEAL  by GRAY,AHNRE",,,,,,,"STEAL  by GRAY,AHNRE",2
02:52,"MISS JUMPER by MITCHELL,JUNIOR",,,,,,,"MISS JUMPER by MITCHELL,JUNIOR",2
--,"REBOUND OFF by THOMPSON,ERBY",,,,,,,"REBOUND OFF by THOMPSON,ERBY",2
02:44,"MISS JUMPER by THOMPSON,ERBY",,,,,,,"MISS JUMPER by THOMPSON,ERBY",2
--,"REBOUND OFF by GRAY,AHNRE",,,,,,,"REBOUND OFF by GRAY,AHNRE",2
02:41,"MISS 3PTR by AUGUSTINE,DYLAN",,,,,,,"MISS 3PTR by AUGUSTINE,DYLAN",2
--,,,,,"REBOUND DEF by GUMM,GABE",,,"REBOUND DEF by GUMM,GABE",2
02:35,,69 (+8),,61,"GOOD 3PTR by GARRETT,TRAVIS(fastbreak)",HC 69-61 (-8),,"GOOD 3PTR by GARRETT,TRAVIS(fastbreak)",2
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",2
02:04,"MISS LAYUP by HERRING,CHAD",,,,,,,"MISS LAYUP by HERRING,CHAD",2
--,"REBOUND OFF by THOMPSON,ERBY",,,,,,,"REBOUND OFF by THOMPSON,ERBY",2
01:59,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:35,"GOOD LAYUP by AUGUSTINE,DYLAN(in the paint)",71 (+10),,61,,ETBU 71-61 (-10),,"GOOD LAYUP by AUGUSTINE,DYLAN(in the paint)",2
--,"ASSIST  by MITCHELL,JUNIOR",,,,,,,"ASSIST  by MITCHELL,JUNIOR",2
01:20,"FOUL  by HERRING,CHAD",,,,,,,"FOUL  by HERRING,CHAD",2
01:20,,71 (+9),,62,"GOOD FT by VANCE,LUKE",HC 71-62 (-9),,"GOOD FT by VANCE,LUKE",2
01:20,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:20,,71 (+8),,63,"GOOD FT by VANCE,LUKE",HC 71-63 (-8),,"GOOD FT by VANCE,LUKE",2
01:20,"SUB IN by MCCLAHAN,KERRY",,,,,,,"SUB IN by MCCLAHAN,KERRY",2
01:20,"SUB OUT by HERRING,CHAD",,,,,,,"SUB OUT by HERRING,CHAD",2
01:20,,,,,"SUB IN by PARKER,BRYCE",,,"SUB IN by PARKER,BRYCE",2
01:20,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
01:20,,,,,"SUB OUT by GUMM,GABE",,,"SUB OUT by GUMM,GABE",2
01:16,,,,,"FOUL  by PARKER,BRYCE",,,"FOUL  by PARKER,BRYCE",2
01:16,"MISS FT by THOMPSON,ERBY",,,,,,,"MISS FT by THOMPSON,ERBY",2
--,,,,,"REBOUND DEF by GUMM,GABE",,,"REBOUND DEF by GUMM,GABE",2
01:16,,,,,"SUB IN by GUMM,GABE",,,"SUB IN by GUMM,GABE",2
01:16,,,,,"SUB OUT by PARKER,BRYCE",,,"SUB OUT by PARKER,BRYCE",2
01:09,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",2
--,"REBOUND DEF by GRAY,AHNRE",,,,,,,"REBOUND DEF by GRAY,AHNRE",2
01:05,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",2
01:05,"MISS FT by GRAY,AHNRE",,,,,,,"MISS FT by GRAY,AHNRE",2
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",2
01:05,,,,,"SUB IN by GARRETT,TRAVIS",,,"SUB IN by GARRETT,TRAVIS",2
01:05,,,,,"SUB OUT by STEELE,AARON",,,"SUB OUT by STEELE,AARON",2
00:54,,,,,"MISS 3PTR by CONARD,ALEC",,,"MISS 3PTR by CONARD,ALEC",2
--,"REBOUND DEF by GRAY,AHNRE",,,,,,,"REBOUND DEF by GRAY,AHNRE",2
00:50,,,,,"FOUL  by GUMM,GABE",,,"FOUL  by GUMM,GABE",2
00:50,"TURNOVER  by GRAY,AHNRE",,,,,,,"TURNOVER  by GRAY,AHNRE",2
00:50,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",2
00:50,,,,,"SUB OUT by GUMM,GABE",,,"SUB OUT by GUMM,GABE",2
00:42,,71 (+6),,65,"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 71-65 (-6),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
--,,,,,"ASSIST  by STEELE,AARON",,,"ASSIST  by STEELE,AARON",2
00:36,"MISS LAYUP by AUGUSTINE,DYLAN",,,,,,,"MISS LAYUP by AUGUSTINE,DYLAN",2
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",2
00:30,,71 (+4),,67,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",HC 71-67 (-4),,"GOOD LAYUP by ALDOUS,HANK(fastbreak)(in the paint)",2
00:22,,,,,"FOUL  by STEELE,AARON",,,"FOUL  by STEELE,AARON",2
00:22,"MISS FT by GRAY,AHNRE",,,,,,,"MISS FT by GRAY,AHNRE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:22,"GOOD FT by GRAY,AHNRE",72 (+5),,67,,ETBU 72-67 (-5),,"GOOD FT by GRAY,AHNRE",2
00:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:12,,,,,"TURNOVER  by CONARD,ALEC",,,"TURNOVER  by CONARD,ALEC",2
00:11,,,,,"FOUL  by ALDOUS,HANK",,,"FOUL  by ALDOUS,HANK",2
00:11,"GOOD FT by MITCHELL,JUNIOR",73 (+6),,67,,ETBU 73-67 (-6),,"GOOD FT by MITCHELL,JUNIOR",2
00:11,"GOOD FT by MITCHELL,JUNIOR",74 (+7),,67,,ETBU 74-67 (-7),,"GOOD FT by MITCHELL,JUNIOR",2
00:11,"SUB IN by ATKINS,BRET",,,,,,,"SUB IN by ATKINS,BRET",2
00:11,"SUB OUT by MCCLAHAN,KERRY",,,,,,,"SUB OUT by MCCLAHAN,KERRY",2
00:05,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",2
--,"REBOUND DEF by GRAY,AHNRE",,,,,,,"REBOUND DEF by GRAY,AHNRE",2
