Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
20:00,"SUB IN by WEAVER,BRADEN",,,,,,,"SUB IN by WEAVER,BRADEN",2
20:00,"SUB IN by TORRES,JADEN",,,,,,,"SUB IN by TORRES,JADEN",2
19:42,,,,,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",,,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",2
--,"REBOUND DEF by DEITHLOFF,TYLER",,,,,,,"REBOUND DEF by DEITHLOFF,TYLER",2
19:29,"GOOD JUMPER by TORRES,JADEN(in the paint)",34,,35 (+1),,Hend 34-35 (-1),,"GOOD JUMPER by TORRES,JADEN(in the paint)",2
19:09,"FOUL  by BERRY,COLTEN",,,,,,,"FOUL  by BERRY,COLTEN",2
19:05,,,,,"MISS FT by URSIN,AARON",,,"MISS FT by URSIN,AARON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
19:05,,34,,36 (+2),"GOOD FT by URSIN,AARON",Mill 34-36 (-2),,"GOOD FT by URSIN,AARON",2
18:41,,,,,"FOUL  by BONNECAZE,STEWART",,,"FOUL  by BONNECAZE,STEWART",2
18:41,"GOOD FT by DEITHLOFF,TYLER",35,,36 (+1),,Hend 35-36 (-1),,"GOOD FT by DEITHLOFF,TYLER",2
18:41,"MISS FT by DEITHLOFF,TYLER",,,,,,,"MISS FT by DEITHLOFF,TYLER",2
--,,,,,"REBOUND DEF by BUSH,RODREEKAS",,,"REBOUND DEF by BUSH,RODREEKAS",2
18:31,,35,,39 (+4),"GOOD 3PTR by BUSH,RODREEKAS",Mill 35-39 (-4),,"GOOD 3PTR by BUSH,RODREEKAS",2
--,,,,,"ASSIST  by WATSON,DOUG",,,"ASSIST  by WATSON,DOUG",2
18:16,"GOOD LAYUP by BERRY,COLTEN(in the paint)",37,,39 (+2),,Hend 37-39 (-2),,"GOOD LAYUP by BERRY,COLTEN(in the paint)",2
--,"ASSIST  by TORRES,JADEN",,,,,,,"ASSIST  by TORRES,JADEN",2
17:55,,37,,41 (+4),"GOOD JUMPER by GASCA,DAKOTA",Mill 37-41 (-4),,"GOOD JUMPER by GASCA,DAKOTA",2
17:40,"MISS JUMPER by WEAVER,BRADEN",,,,,,,"MISS JUMPER by WEAVER,BRADEN",2
--,,,,,"REBOUND DEF by BONNECAZE,STEWART",,,"REBOUND DEF by BONNECAZE,STEWART",2
17:30,,,,,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",,,"MISS JUMPER by BONNECAZE,STEWART(in the paint)",2
--,"REBOUND DEF by SQUIRES,CALEB",,,,,,,"REBOUND DEF by SQUIRES,CALEB",2
