Time Remaining,CRRDCO,Away Team Score,Play Team Indicator,Home Team Score,HNDXCO,Game Score,Team Indicator,Play,Period
15:50,,,,,"TURNOVER  by BERRY,COLTEN",,,"TURNOVER  by BERRY,COLTEN",2
15:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:40,"GOOD LAYUP by ROBERSON,BO",43 (+18),,25,,CRRDCO 43-25 (-18),,"GOOD LAYUP by ROBERSON,BO",2
--,"ASSIST  by SMITH,JD",,,,,,,"ASSIST  by SMITH,JD",2
15:29,,,,,"MISS LAYUP by COBB,DANIEL",,,"MISS LAYUP by COBB,DANIEL",2
--,,,,,"REBOUND OFF by MCMULLIN,COLTON",,,"REBOUND OFF by MCMULLIN,COLTON",2
15:09,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",2
--,"REBOUND DEF by JOHNSON,BJ",,,,,,,"REBOUND DEF by JOHNSON,BJ",2
14:59,"GOOD JUMPER by ROBERSON,BO",45 (+20),,25,,CRRDCO 45-25 (-20),,"GOOD JUMPER by ROBERSON,BO",2
--,"ASSIST  by SMITH,JD",,,,,,,"ASSIST  by SMITH,JD",2
14:46,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
14:46,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",2
14:46,,,,,"SUB OUT by TORRES,JADEN",,,"SUB OUT by TORRES,JADEN",2
14:46,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",2
14:46,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",2
14:46,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",2
14:46,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",2
14:46,,,,,"SUB IN by SCIFES,COLIN",,,"SUB IN by SCIFES,COLIN",2
14:46,,,,,"SUB IN by MAYO,DREW",,,"SUB IN by MAYO,DREW",2
14:46,"SUB OUT by COUSINS,BRAXTON",,,,,,,"SUB OUT by COUSINS,BRAXTON",2
14:46,"SUB IN by ROBERSON,KE",,,,,,,"SUB IN by ROBERSON,KE",2
14:35,,,,,"MISS 3PTR by MAYO,DREW",,,"MISS 3PTR by MAYO,DREW",2
--,,,,,"REBOUND OFF by WEAVER,BRADEN",,,"REBOUND OFF by WEAVER,BRADEN",2
14:28,,45 (+18),,27,"GOOD LAYUP by SCIFES,COLIN",HNDXCO 45-27 (-18),,"GOOD LAYUP by SCIFES,COLIN",2
14:21,,,,,"FOUL  by WEAVER,BRADEN",,,"FOUL  by WEAVER,BRADEN",2
14:10,"MISS 3PTR by SMITH,JD",,,,,,,"MISS 3PTR by SMITH,JD",2
--,,,,,"REBOUND DEF by SCIFES,COLIN",,,"REBOUND DEF by SCIFES,COLIN",2
13:52,,45 (+16),,29,"GOOD JUMPER by SQUIRES,CALEB",HNDXCO 45-29 (-16),,"GOOD JUMPER by SQUIRES,CALEB",2
13:33,"MISS JUMPER by SMITH,JD",,,,,,,"MISS JUMPER by SMITH,JD",2
--,"REBOUND OFF by ROBERSON,BO",,,,,,,"REBOUND OFF by ROBERSON,BO",2
13:16,"MISS 3PTR by ROBERSON,KE",,,,,,,"MISS 3PTR by ROBERSON,KE",2
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",2
13:02,,45 (+14),,31,"GOOD LAYUP by SCIFES,COLIN",HNDXCO 45-31 (-14),,"GOOD LAYUP by SCIFES,COLIN",2
--,,,,,"ASSIST  by WEAVER,BRADEN",,,"ASSIST  by WEAVER,BRADEN",2
12:32,"MISS 3PTR by BOZEMAN,JAYLEN",,,,,,,"MISS 3PTR by BOZEMAN,JAYLEN",2
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",2
12:23,,45 (+12),,33,"GOOD JUMPER by MAYO,DREW",HNDXCO 45-33 (-12),,"GOOD JUMPER by MAYO,DREW",2
12:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:18,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
12:18,,,,,"SUB IN by KRONENBERGER,BEAU",,,"SUB IN by KRONENBERGER,BEAU",2
11:58,"GOOD LAYUP by JOHNSON,BJ",47 (+14),,33,,CRRDCO 47-33 (-14),,"GOOD LAYUP by JOHNSON,BJ",2
11:58,,,,,"FOUL  by MAYO,DREW",,,"FOUL  by MAYO,DREW",2
11:58,"SUB OUT by ROBERSON,KE",,,,,,,"SUB OUT by ROBERSON,KE",2
11:58,"SUB IN by COUSINS,BRAXTON",,,,,,,"SUB IN by COUSINS,BRAXTON",2
11:58,"MISS FT by JOHNSON,BJ",,,,,,,"MISS FT by JOHNSON,BJ",2
--,,,,,"REBOUND DEF by SCIFES,COLIN",,,"REBOUND DEF by SCIFES,COLIN",2
11:55,,47 (+12),,35,"GOOD LAYUP by WEAVER,BRADEN(fastbreak)",HNDXCO 47-35 (-12),,"GOOD LAYUP by WEAVER,BRADEN(fastbreak)",2
11:44,"GOOD JUMPER by BOZEMAN,JAYLEN",49 (+14),,35,,CRRDCO 49-35 (-14),,"GOOD JUMPER by BOZEMAN,JAYLEN",2
11:29,,49 (+11),,38,"GOOD 3PTR by WEAVER,BRADEN",HNDXCO 49-38 (-11),,"GOOD 3PTR by WEAVER,BRADEN",2
--,,,,,"ASSIST  by SCIFES,COLIN",,,"ASSIST  by SCIFES,COLIN",2
11:10,,,,,"FOUL  by SCIFES,COLIN",,,"FOUL  by SCIFES,COLIN",2
11:10,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:10,"GOOD FT by COUSINS,BRAXTON",50 (+12),,38,,CRRDCO 50-38 (-12),,"GOOD FT by COUSINS,BRAXTON",2
11:10,"MISS FT by COUSINS,BRAXTON",,,,,,,"MISS FT by COUSINS,BRAXTON",2
--,"REBOUND OFF by JOHNSON,BJ",,,,,,,"REBOUND OFF by JOHNSON,BJ",2
11:10,"GOOD LAYUP by JOHNSON,BJ",52 (+14),,38,,CRRDCO 52-38 (-14),,"GOOD LAYUP by JOHNSON,BJ",2
10:52,"FOUL  by COUSINS,BRAXTON",,,,,,,"FOUL  by COUSINS,BRAXTON",2
10:52,,,,,"SUB OUT by KRONENBERGER,BEAU",,,"SUB OUT by KRONENBERGER,BEAU",2
10:52,,,,,"SUB IN by DEITHLOFF,TYLER",,,"SUB IN by DEITHLOFF,TYLER",2
10:52,"SUB OUT by COUSINS,BRAXTON",,,,,,,"SUB OUT by COUSINS,BRAXTON",2
10:52,"SUB IN by ROBINSON,HAYDEN",,,,,,,"SUB IN by ROBINSON,HAYDEN",2
10:42,,52 (+11),,41,"GOOD 3PTR by SQUIRES,CALEB",HNDXCO 52-41 (-11),,"GOOD 3PTR by SQUIRES,CALEB",2
--,,,,,"ASSIST  by WEAVER,BRADEN",,,"ASSIST  by WEAVER,BRADEN",2
10:15,"GOOD JUMPER by SMITH,JD",54 (+13),,41,,CRRDCO 54-41 (-13),,"GOOD JUMPER by SMITH,JD",2
09:55,,54 (+10),,44,"GOOD 3PTR by DEITHLOFF,TYLER",HNDXCO 54-44 (-10),,"GOOD 3PTR by DEITHLOFF,TYLER",2
--,,,,,"ASSIST  by WEAVER,BRADEN",,,"ASSIST  by WEAVER,BRADEN",2
09:31,"MISS LAYUP by JOHNSON,BJ",,,,,,,"MISS LAYUP by JOHNSON,BJ",2
--,"REBOUND OFF by ROBINSON,HAYDEN",,,,,,,"REBOUND OFF by ROBINSON,HAYDEN",2
09:24,"GOOD LAYUP by ROBINSON,HAYDEN",56 (+12),,44,,CRRDCO 56-44 (-12),,"GOOD LAYUP by ROBINSON,HAYDEN",2
09:08,,,,,"TURNOVER  by WEAVER,BRADEN",,,"TURNOVER  by WEAVER,BRADEN",2
09:08,"STEAL  by ROBERSON,BO",,,,,,,"STEAL  by ROBERSON,BO",2
09:01,"GOOD LAYUP by JOHNSON,BJ(fastbreak)",58 (+14),,44,,CRRDCO 58-44 (-14),,"GOOD LAYUP by JOHNSON,BJ(fastbreak)",2
--,"ASSIST  by ROBERSON,BO",,,,,,,"ASSIST  by ROBERSON,BO",2
08:52,,,,,"TURNOVER  by DEITHLOFF,TYLER",,,"TURNOVER  by DEITHLOFF,TYLER",2
08:52,"STEAL  by BOZEMAN,JAYLEN",,,,,,,"STEAL  by BOZEMAN,JAYLEN",2
08:43,"MISS JUMPER by BOZEMAN,JAYLEN",,,,,,,"MISS JUMPER by BOZEMAN,JAYLEN",2
--,,,,,"REBOUND DEF by SCIFES,COLIN",,,"REBOUND DEF by SCIFES,COLIN",2
08:33,,,,,"MISS 3PTR by MAYO,DREW",,,"MISS 3PTR by MAYO,DREW",2
--,"REBOUND DEF by JOHNSON,BJ",,,,,,,"REBOUND DEF by JOHNSON,BJ",2
08:01,"MISS 3PTR by BOZEMAN,JAYLEN",,,,,,,"MISS 3PTR by BOZEMAN,JAYLEN",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
07:51,,58 (+12),,46,"GOOD JUMPER by SQUIRES,CALEB",HNDXCO 58-46 (-12),,"GOOD JUMPER by SQUIRES,CALEB",2
07:46,,,,,"FOUL  by DEITHLOFF,TYLER",,,"FOUL  by DEITHLOFF,TYLER",2
07:46,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:46,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",2
07:46,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
07:46,,,,,"SUB OUT by SCIFES,COLIN",,,"SUB OUT by SCIFES,COLIN",2
07:46,,,,,"SUB OUT by MAYO,DREW",,,"SUB OUT by MAYO,DREW",2
07:46,,,,,"SUB IN by COBB,DANIEL",,,"SUB IN by COBB,DANIEL",2
07:46,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",2
07:46,,,,,"SUB IN by MCMULLIN,COLTON",,,"SUB IN by MCMULLIN,COLTON",2
07:46,,,,,"SUB IN by BERRY,COLTEN",,,"SUB IN by BERRY,COLTEN",2
07:46,"GOOD FT by ROBERSON,BO(fastbreak)",59 (+13),,46,,CRRDCO 59-46 (-13),,"GOOD FT by ROBERSON,BO(fastbreak)",2
07:46,"GOOD FT by ROBERSON,BO(fastbreak)",60 (+14),,46,,CRRDCO 60-46 (-14),,"GOOD FT by ROBERSON,BO(fastbreak)",2
07:27,"FOUL  by ROBINSON,HAYDEN",,,,,,,"FOUL  by ROBINSON,HAYDEN",2
07:10,,,,,"MISS 3PTR by DEITHLOFF,TYLER",,,"MISS 3PTR by DEITHLOFF,TYLER",2
--,"REBOUND DEF by BOZEMAN,JAYLEN",,,,,,,"REBOUND DEF by BOZEMAN,JAYLEN",2
07:10,"GOOD LAYUP by ROBERSON,BO(fastbreak)",62 (+16),,46,,CRRDCO 62-46 (-16),,"GOOD LAYUP by ROBERSON,BO(fastbreak)",2
07:10,,62 (+14),,48,"GOOD LAYUP by BERRY,COLTEN",HNDXCO 62-48 (-14),,"GOOD LAYUP by BERRY,COLTEN",2
--,,,,,"ASSIST  by MCMULLIN,COLTON",,,"ASSIST  by MCMULLIN,COLTON",2
07:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
06:52,"GOOD LAYUP by ROBERSON,BO",64 (+16),,48,,CRRDCO 64-48 (-16),,"GOOD LAYUP by ROBERSON,BO",2
06:41,"FOUL  by JOHNSON,BJ",,,,,,,"FOUL  by JOHNSON,BJ",2
06:41,,,,,"MISS FT by DEITHLOFF,TYLER",,,"MISS FT by DEITHLOFF,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:41,,,,,"MISS FT by DEITHLOFF,TYLER",,,"MISS FT by DEITHLOFF,TYLER",2
--,"REBOUND DEF by ROBINSON,HAYDEN",,,,,,,"REBOUND DEF by ROBINSON,HAYDEN",2
06:18,"GOOD 3PTR by ROBINSON,HAYDEN",67 (+19),,48,,CRRDCO 67-48 (-19),,"GOOD 3PTR by ROBINSON,HAYDEN",2
--,"ASSIST  by ROBERSON,BO",,,,,,,"ASSIST  by ROBERSON,BO",2
06:02,,,,,"MISS 3PTR by MCMULLIN,COLTON",,,"MISS 3PTR by MCMULLIN,COLTON",2
--,,,,,"REBOUND OFF by MCMULLIN,COLTON",,,"REBOUND OFF by MCMULLIN,COLTON",2
05:55,,,,,"MISS 3PTR by COBB,DANIEL",,,"MISS 3PTR by COBB,DANIEL",2
--,"REBOUND DEF by ROBERSON,BO",,,,,,,"REBOUND DEF by ROBERSON,BO",2
05:44,"GOOD LAYUP by ROBINSON,HAYDEN",69 (+21),,48,,CRRDCO 69-48 (-21),,"GOOD LAYUP by ROBINSON,HAYDEN",2
05:33,,69 (+19),,50,"GOOD LAYUP by BERRY,COLTEN",HNDXCO 69-50 (-19),,"GOOD LAYUP by BERRY,COLTEN",2
05:20,"MISS JUMPER by ROBINSON,HAYDEN",,,,,,,"MISS JUMPER by ROBINSON,HAYDEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:20,,,,,"FOUL  by COBB,DANIEL",,,"FOUL  by COBB,DANIEL",2
05:20,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",2
05:20,,,,,"SUB OUT by TORRES,JADEN",,,"SUB OUT by TORRES,JADEN",2
05:20,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",2
05:20,,,,,"SUB OUT by BERRY,COLTEN",,,"SUB OUT by BERRY,COLTEN",2
05:20,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",2
05:20,,,,,"SUB IN by SQUIRES,CALEB",,,"SUB IN by SQUIRES,CALEB",2
05:20,,,,,"SUB IN by SCIFES,COLIN",,,"SUB IN by SCIFES,COLIN",2
05:20,,,,,"SUB IN by MAYO,DREW",,,"SUB IN by MAYO,DREW",2
05:20,"GOOD FT by BOZEMAN,JAYLEN",70 (+20),,50,,CRRDCO 70-50 (-20),,"GOOD FT by BOZEMAN,JAYLEN",2
05:20,"MISS FT by BOZEMAN,JAYLEN",,,,,,,"MISS FT by BOZEMAN,JAYLEN",2
--,"REBOUND OFF by JOHNSON,BJ",,,,,,,"REBOUND OFF by JOHNSON,BJ",2
05:20,"MISS JUMPER by JOHNSON,BJ",,,,,,,"MISS JUMPER by JOHNSON,BJ",2
--,"REBOUND OFF by BOZEMAN,JAYLEN",,,,,,,"REBOUND OFF by BOZEMAN,JAYLEN",2
05:20,"MISS JUMPER by BOZEMAN,JAYLEN",,,,,,,"MISS JUMPER by BOZEMAN,JAYLEN",2
--,,,,,"REBOUND DEF by SQUIRES,CALEB",,,"REBOUND DEF by SQUIRES,CALEB",2
05:17,"SUB OUT by BOZEMAN,JAYLEN",,,,,,,"SUB OUT by BOZEMAN,JAYLEN",2
05:17,"SUB IN by THOMPSON,ARDELL",,,,,,,"SUB IN by THOMPSON,ARDELL",2
05:05,,,,,"MISS LAYUP by SCIFES,COLIN",,,"MISS LAYUP by SCIFES,COLIN",2
--,"REBOUND DEF by ROBINSON,HAYDEN",,,,,,,"REBOUND DEF by ROBINSON,HAYDEN",2
04:46,"GOOD JUMPER by THOMPSON,ARDELL",72 (+22),,50,,CRRDCO 72-50 (-22),,"GOOD JUMPER by THOMPSON,ARDELL",2
--,"ASSIST  by ROBERSON,BO",,,,,,,"ASSIST  by ROBERSON,BO",2
04:30,,,,,"MISS 3PTR by SQUIRES,CALEB",,,"MISS 3PTR by SQUIRES,CALEB",2
--,"REBOUND DEF by JOHNSON,BJ",,,,,,,"REBOUND DEF by JOHNSON,BJ",2
04:20,"SUB OUT by ROBERSON,BO",,,,,,,"SUB OUT by ROBERSON,BO",2
04:20,"SUB IN by DUNCAN,MICAH",,,,,,,"SUB IN by DUNCAN,MICAH",2
04:13,"MISS JUMPER by JOHNSON,BJ",,,,,,,"MISS JUMPER by JOHNSON,BJ",2
--,"REBOUND OFF by ROBINSON,HAYDEN",,,,,,,"REBOUND OFF by ROBINSON,HAYDEN",2
04:03,"MISS 3PTR by ROBINSON,HAYDEN",,,,,,,"MISS 3PTR by ROBINSON,HAYDEN",2
--,,,,,"REBOUND DEF by DEITHLOFF,TYLER",,,"REBOUND DEF by DEITHLOFF,TYLER",2
03:50,,,,,"MISS 3PTR by WEAVER,BRADEN",,,"MISS 3PTR by WEAVER,BRADEN",2
--,,,,,"REBOUND OFF by SCIFES,COLIN",,,"REBOUND OFF by SCIFES,COLIN",2
03:43,"FOUL  by THOMPSON,ARDELL",,,,,,,"FOUL  by THOMPSON,ARDELL",2
03:43,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:43,,,,,"MISS FT by DEITHLOFF,TYLER",,,"MISS FT by DEITHLOFF,TYLER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:43,,,,,"SUB OUT by WEAVER,BRADEN",,,"SUB OUT by WEAVER,BRADEN",2
03:43,,,,,"SUB OUT by SQUIRES,CALEB",,,"SUB OUT by SQUIRES,CALEB",2
03:43,,,,,"SUB OUT by SCIFES,COLIN",,,"SUB OUT by SCIFES,COLIN",2
03:43,,,,,"SUB OUT by MAYO,DREW",,,"SUB OUT by MAYO,DREW",2
03:43,,,,,"SUB IN by BOWER,CARSON",,,"SUB IN by BOWER,CARSON",2
03:43,,,,,"SUB IN by RYAN,GRAYSON",,,"SUB IN by RYAN,GRAYSON",2
03:43,,,,,"SUB IN by SAVARIO,JACK",,,"SUB IN by SAVARIO,JACK",2
03:43,,,,,"SUB IN by PATTON,LUKE",,,"SUB IN by PATTON,LUKE",2
03:43,,,,,"MISS FT by DEITHLOFF,TYLER",,,"MISS FT by DEITHLOFF,TYLER",2
--,"REBOUND DEF by ROBINSON,HAYDEN",,,,,,,"REBOUND DEF by ROBINSON,HAYDEN",2
03:43,"MISS LAYUP by DUNCAN,MICAH",,,,,,,"MISS LAYUP by DUNCAN,MICAH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:38,,,,,"SUB OUT by DEITHLOFF,TYLER",,,"SUB OUT by DEITHLOFF,TYLER",2
03:38,,,,,"SUB IN by GIBSON,JASON",,,"SUB IN by GIBSON,JASON",2
03:06,,72 (+19),,53,"GOOD 3PTR by RYAN,GRAYSON",HNDXCO 72-53 (-19),,"GOOD 3PTR by RYAN,GRAYSON",2
--,,,,,"ASSIST  by SAVARIO,JACK",,,"ASSIST  by SAVARIO,JACK",2
02:54,"GOOD JUMPER by THOMPSON,ARDELL",74 (+21),,53,,CRRDCO 74-53 (-21),,"GOOD JUMPER by THOMPSON,ARDELL",2
--,"ASSIST  by DUNCAN,MICAH",,,,,,,"ASSIST  by DUNCAN,MICAH",2
02:36,,74 (+19),,55,"GOOD JUMPER by RYAN,GRAYSON",HNDXCO 74-55 (-19),,"GOOD JUMPER by RYAN,GRAYSON",2
02:33,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
02:33,"SUB OUT by JOHNSON,BJ",,,,,,,"SUB OUT by JOHNSON,BJ",2
02:33,"SUB OUT by SMITH,JD",,,,,,,"SUB OUT by SMITH,JD",2
02:33,"SUB OUT by THOMPSON,ARDELL",,,,,,,"SUB OUT by THOMPSON,ARDELL",2
02:33,"SUB IN by PERKINS,AVERY",,,,,,,"SUB IN by PERKINS,AVERY",2
02:33,"SUB IN by WILKERSON,HUNTER",,,,,,,"SUB IN by WILKERSON,HUNTER",2
02:33,"SUB IN by LAZZARINO,JOSH",,,,,,,"SUB IN by LAZZARINO,JOSH",2
02:16,"MISS LAYUP by ROBINSON,HAYDEN",,,,,,,"MISS LAYUP by ROBINSON,HAYDEN",2
--,,,,,"REBOUND DEF by PATTON,LUKE",,,"REBOUND DEF by PATTON,LUKE",2
01:59,,,,,"MISS 3PTR by SAVARIO,JACK",,,"MISS 3PTR by SAVARIO,JACK",2
--,"REBOUND DEF by ROBINSON,HAYDEN",,,,,,,"REBOUND DEF by ROBINSON,HAYDEN",2
01:42,"MISS 3PTR by LAZZARINO,JOSH",,,,,,,"MISS 3PTR by LAZZARINO,JOSH",2
--,,,,,"REBOUND DEF by BOWER,CARSON",,,"REBOUND DEF by BOWER,CARSON",2
01:37,"FOUL  by LAZZARINO,JOSH",,,,,,,"FOUL  by LAZZARINO,JOSH",2
01:34,,74 (+17),,57,"GOOD JUMPER by GIBSON,JASON",HNDXCO 74-57 (-17),,"GOOD JUMPER by GIBSON,JASON",2
01:21,"MISS 3PTR by PERKINS,AVERY",,,,,,,"MISS 3PTR by PERKINS,AVERY",2
--,,,,,"REBOUND DEF by GIBSON,JASON",,,"REBOUND DEF by GIBSON,JASON",2
01:14,,,,,"MISS LAYUP by GIBSON,JASON",,,"MISS LAYUP by GIBSON,JASON",2
--,,,,,"REBOUND OFF by SAVARIO,JACK",,,"REBOUND OFF by SAVARIO,JACK",2
01:04,"FOUL  by DUNCAN,MICAH",,,,,,,"FOUL  by DUNCAN,MICAH",2
01:04,,,,,"MISS FT by PATTON,LUKE",,,"MISS FT by PATTON,LUKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:04,,74 (+16),,58,"GOOD FT by PATTON,LUKE",HNDXCO 74-58 (-16),,"GOOD FT by PATTON,LUKE",2
00:34,"TURNOVER  by PERKINS,AVERY",,,,,,,"TURNOVER  by PERKINS,AVERY",2
00:34,,,,,"STEAL  by RYAN,GRAYSON",,,"STEAL  by RYAN,GRAYSON",2
00:27,,,,,"MISS DUNK by RYAN,GRAYSON",,,"MISS DUNK by RYAN,GRAYSON",2
--,,,,,"REBOUND OFF by SAVARIO,JACK",,,"REBOUND OFF by SAVARIO,JACK",2
00:20,,74 (+14),,60,"GOOD LAYUP by PATTON,LUKE",HNDXCO 74-60 (-14),,"GOOD LAYUP by PATTON,LUKE",2
