Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
00:52,,,,,"SUB IN by BOWER,CARSON",,,"SUB IN by BOWER,CARSON",2
00:52,,,,,"SUB IN by SAVARIO,JACK",,,"SUB IN by SAVARIO,JACK",2
00:52,,,,,"SUB IN by LIKENS,HOUSTON",,,"SUB IN by LIKENS,HOUSTON",2
00:52,,,,,"SUB IN by EDWARDS,LANDON",,,"SUB IN by EDWARDS,LANDON",2
00:52,,,,,"SUB IN by GIBSON,JASON",,,"SUB IN by GIBSON,JASON",2
00:43,,,,,"MISS JUMPER by EDWARDS,LANDON(in the paint)",,,"MISS JUMPER by EDWARDS,LANDON(in the paint)",2
--,"REBOUND DEF by GORTON,MACK",,,,,,,"REBOUND DEF by GORTON,MACK",2
00:32,"MISS 3PTR by HOGAN,TJ",,,,,,,"MISS 3PTR by HOGAN,TJ",2
--,"REBOUND OFF by HAUPT,KYLE",,,,,,,"REBOUND OFF by HAUPT,KYLE",2
00:21,"TURNOVER  by HAUPT,KYLE",,,,,,,"TURNOVER  by HAUPT,KYLE",2
00:21,,,,,"SUB OUT by SAVARIO,JACK",,,"SUB OUT by SAVARIO,JACK",2
00:21,,,,,"SUB IN by TSCHURR,SKY",,,"SUB IN by TSCHURR,SKY",2
