Time Remaining,Hend,Away Team Score,Play Team Indicator,Home Team Score,TLU,Game Score,Team Indicator,Play,Period
17:28,"TURNOVER  by WEAVER,BRADEN",,,,,,,"TURNOVER  by WEAVER,BRADEN",2
17:15,,,,,"MISS JUMPER by GREEN,MASON(in the paint)",,,"MISS JUMPER by GREEN,MASON(in the paint)",2
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",2
17:01,"MISS JUMPER by INGRAM,KYLE(in the paint)",,,,,,,"MISS JUMPER by INGRAM,KYLE(in the paint)",2
--,,,,,"REBOUND DEF by GREEN,MASON",,,"REBOUND DEF by GREEN,MASON",2
16:39,,43 (+15),,28,"GOOD JUMPER by GREEN,MASON(in the paint)",TLU 43-28 (+15),,"GOOD JUMPER by GREEN,MASON(in the paint)",2
--,,,,,"ASSIST  by WALLACE,MASON",,,"ASSIST  by WALLACE,MASON",2
16:08,"GOOD JUMPER by WEAVER,BRADEN",43 (+13),,30,,Hend 43-30 (+13),,"GOOD JUMPER by WEAVER,BRADEN",2
15:49,,,,,"MISS 3PTR by PHILLIPS,XAVIER",,,"MISS 3PTR by PHILLIPS,XAVIER",2
--,,,,,"REBOUND OFF by GREEN,MASON",,,"REBOUND OFF by GREEN,MASON",2
15:42,,45 (+15),,30,"GOOD JUMPER by FORNERETTE,RILEY(in the paint)",TLU 45-30 (+15),,"GOOD JUMPER by FORNERETTE,RILEY(in the paint)",2
15:26,"MISS JUMPER by RYAN,JONATHAN(in the paint)",,,,,,,"MISS JUMPER by RYAN,JONATHAN(in the paint)",2
--,"REBOUND OFF by RYAN,JONATHAN",,,,,,,"REBOUND OFF by RYAN,JONATHAN",2
15:18,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",2
15:18,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:18,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",2
15:18,"SUB IN by TORRES,JADEN",,,,,,,"SUB IN by TORRES,JADEN",2
15:18,,,,,"SUB OUT by FORNERETTE,RILEY",,,"SUB OUT by FORNERETTE,RILEY",2
15:18,,,,,"SUB IN by OROZCO,ISAAC",,,"SUB IN by OROZCO,ISAAC",2
15:06,,,,,"MISS LAYUP by WALLACE,MASON(in the paint)",,,"MISS LAYUP by WALLACE,MASON(in the paint)",2
--,"REBOUND DEF by INGRAM,KYLE",,,,,,,"REBOUND DEF by INGRAM,KYLE",2
14:48,,,,,"FOUL  by WALLACE,MASON",,,"FOUL  by WALLACE,MASON",2
14:44,"GOOD FT by INGRAM,KYLE",45 (+14),,31,,Hend 45-31 (+14),,"GOOD FT by INGRAM,KYLE",2
14:43,,,,,"SUB OUT by ALLEN,EASTON",,,"SUB OUT by ALLEN,EASTON",2
14:43,,,,,"SUB IN by WATSON,JT",,,"SUB IN by WATSON,JT",2
14:37,"MISS FT by INGRAM,KYLE",,,,,,,"MISS FT by INGRAM,KYLE",2
--,"REBOUND OFF by INGRAM,KYLE",,,,,,,"REBOUND OFF by INGRAM,KYLE",2
14:37,"MISS 3PTR by MAYO,DREW",,,,,,,"MISS 3PTR by MAYO,DREW",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:11,"FOUL  by INGRAM,KYLE",,,,,,,"FOUL  by INGRAM,KYLE",2
14:11,,46 (+15),,31,"GOOD FT by PHILLIPS,XAVIER",TLU 46-31 (+15),,"GOOD FT by PHILLIPS,XAVIER",2
14:11,,47 (+16),,31,"GOOD FT by PHILLIPS,XAVIER",TLU 47-31 (+16),,"GOOD FT by PHILLIPS,XAVIER",2
14:01,,,,,"FOUL  by PHILLIPS,XAVIER",,,"FOUL  by PHILLIPS,XAVIER",2
13:59,"GOOD FT by MCMULLIN,COLTON",47 (+15),,32,,Hend 47-32 (+15),,"GOOD FT by MCMULLIN,COLTON",2
13:59,"GOOD FT by MCMULLIN,COLTON",47 (+14),,33,,Hend 47-33 (+14),,"GOOD FT by MCMULLIN,COLTON",2
13:59,"GOOD FT by MCMULLIN,COLTON",47 (+13),,34,,Hend 47-34 (+13),,"GOOD FT by MCMULLIN,COLTON",2
13:34,,,,,"MISS 3PTR by WALLACE,MASON",,,"MISS 3PTR by WALLACE,MASON",2
--,"REBOUND DEF by TORRES,JADEN",,,,,,,"REBOUND DEF by TORRES,JADEN",2
13:20,"MISS JUMPER by RYAN,JONATHAN(in the paint)",,,,,,,"MISS JUMPER by RYAN,JONATHAN(in the paint)",2
--,,,,,"REBOUND DEF by GREEN,MASON",,,"REBOUND DEF by GREEN,MASON",2
13:05,,,,,"MISS 3PTR by PHILLIPS,XAVIER",,,"MISS 3PTR by PHILLIPS,XAVIER",2
--,"REBOUND DEF by MCMULLIN,COLTON",,,,,,,"REBOUND DEF by MCMULLIN,COLTON",2
12:59,"TURNOVER  by MCMULLIN,COLTON",,,,,,,"TURNOVER  by MCMULLIN,COLTON",2
12:59,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",2
12:59,"SUB IN by COLLIER II,CRAIG",,,,,,,"SUB IN by COLLIER II,CRAIG",2
12:59,,,,,"SUB OUT by PHILLIPS,XAVIER",,,"SUB OUT by PHILLIPS,XAVIER",2
12:59,,,,,"SUB IN by FORNERETTE,RILEY",,,"SUB IN by FORNERETTE,RILEY",2
12:47,"FOUL  by MAYO,DREW",,,,,,,"FOUL  by MAYO,DREW",2
12:45,,49 (+15),,34,"GOOD JUMPER by WALLACE,MASON",TLU 49-34 (+15),,"GOOD JUMPER by WALLACE,MASON",2
--,,,,,"ASSIST  by OROZCO,ISAAC",,,"ASSIST  by OROZCO,ISAAC",2
12:34,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",49 (+13),,36,,Hend 49-36 (+13),,"GOOD JUMPER by RYAN,JONATHAN(in the paint)",2
12:11,,,,,"MISS 3PTR by GREEN,MASON",,,"MISS 3PTR by GREEN,MASON",2
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",2
12:04,,,,,"FOUL  by FORNERETTE,RILEY",,,"FOUL  by FORNERETTE,RILEY",2
12:04,"MISS JUMPER by MAYO,DREW",,,,,,,"MISS JUMPER by MAYO,DREW",2
--,,,,,"REBOUND DEF by GREEN,MASON",,,"REBOUND DEF by GREEN,MASON",2
12:04,,,,,"TURNOVER  by WATSON,JT",,,"TURNOVER  by WATSON,JT",2
12:04,"STEAL  by MAYO,DREW",,,,,,,"STEAL  by MAYO,DREW",2
12:04,"GOOD JUMPER by RYAN,JONATHAN",49 (+11),,38,,Hend 49-38 (+11),,"GOOD JUMPER by RYAN,JONATHAN",2
11:50,,,,,"TURNOVER  by FORNERETTE,RILEY",,,"TURNOVER  by FORNERETTE,RILEY",2
11:50,"STEAL  by RYAN,JONATHAN",,,,,,,"STEAL  by RYAN,JONATHAN",2
11:45,"MISS JUMPER by COLLIER II,CRAIG(in the paint)",,,,,,,"MISS JUMPER by COLLIER II,CRAIG(in the paint)",2
--,,,,,"REBOUND DEF by OROZCO,ISAAC",,,"REBOUND DEF by OROZCO,ISAAC",2
11:28,,51 (+13),,38,"GOOD JUMPER by WALLACE,MASON",TLU 51-38 (+13),,"GOOD JUMPER by WALLACE,MASON",2
11:15,,,,,"FOUL  by OROZCO,ISAAC",,,"FOUL  by OROZCO,ISAAC",2
11:15,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
10:31,"SUB OUT by MAYO,DREW",,,,,,,"SUB OUT by MAYO,DREW",2
10:31,"SUB OUT by INGRAM,KYLE",,,,,,,"SUB OUT by INGRAM,KYLE",2
10:31,"SUB IN by KRONENBERGER,BEAU",,,,,,,"SUB IN by KRONENBERGER,BEAU",2
10:31,"SUB IN by SCIFES,COLIN",,,,,,,"SUB IN by SCIFES,COLIN",2
10:20,"FOUL  by KRONENBERGER,BEAU",,,,,,,"FOUL  by KRONENBERGER,BEAU",2
10:20,"TURNOVER  by KRONENBERGER,BEAU",,,,,,,"TURNOVER  by KRONENBERGER,BEAU",2
10:05,,,,,"FOUL  by WALLACE,MASON",,,"FOUL  by WALLACE,MASON",2
10:05,,,,,"TURNOVER  by WALLACE,MASON",,,"TURNOVER  by WALLACE,MASON",2
09:48,"MISS 3PTR by KRONENBERGER,BEAU",,,,,,,"MISS 3PTR by KRONENBERGER,BEAU",2
--,,,,,"REBOUND DEF by OROZCO,ISAAC",,,"REBOUND DEF by OROZCO,ISAAC",2
09:42,,,,,"FOUL  by WALLACE,MASON",,,"FOUL  by WALLACE,MASON",2
09:42,,,,,"TURNOVER  by WALLACE,MASON",,,"TURNOVER  by WALLACE,MASON",2
09:42,,,,,"SUB OUT by WALLACE,MASON",,,"SUB OUT by WALLACE,MASON",2
09:42,,,,,"SUB IN by PHILLIPS,XAVIER",,,"SUB IN by PHILLIPS,XAVIER",2
09:26,"MISS JUMPER by COLLIER II,CRAIG(in the paint)",,,,,,,"MISS JUMPER by COLLIER II,CRAIG(in the paint)",2
--,,,,,"REBOUND DEF by PHILLIPS,XAVIER",,,"REBOUND DEF by PHILLIPS,XAVIER",2
09:22,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",2
09:22,"SUB IN by SQUIRES,CALEB",,,,,,,"SUB IN by SQUIRES,CALEB",2
09:22,"SUB OUT by TORRES,JADEN",,,,,,,"SUB OUT by TORRES,JADEN",2
09:22,"SUB IN by WEAVER,BRADEN",,,,,,,"SUB IN by WEAVER,BRADEN",2
09:07,,53 (+15),,38,"GOOD JUMPER by WATSON,JT(in the paint)",TLU 53-38 (+15),,"GOOD JUMPER by WATSON,JT(in the paint)",2
--,,,,,"ASSIST  by GREEN,MASON",,,"ASSIST  by GREEN,MASON",2
08:56,"SUB OUT by COLLIER II,CRAIG",,,,,,,"SUB OUT by COLLIER II,CRAIG",2
08:56,"SUB IN by RYAN,GRAYSON",,,,,,,"SUB IN by RYAN,GRAYSON",2
08:54,"MISS 3PTR by SQUIRES,CALEB",,,,,,,"MISS 3PTR by SQUIRES,CALEB",2
--,,,,,"REBOUND DEF by GREEN,MASON",,,"REBOUND DEF by GREEN,MASON",2
08:41,,,,,"TURNOVER  by WATSON,JT",,,"TURNOVER  by WATSON,JT",2
08:41,"STEAL  by SQUIRES,CALEB",,,,,,,"STEAL  by SQUIRES,CALEB",2
08:36,,,,,"FOUL  by FORNERETTE,RILEY",,,"FOUL  by FORNERETTE,RILEY",2
08:35,"GOOD FT by SQUIRES,CALEB(fastbreak)",53 (+14),,39,,Hend 53-39 (+14),,"GOOD FT by SQUIRES,CALEB(fastbreak)",2
08:35,"GOOD FT by SQUIRES,CALEB(fastbreak)",53 (+13),,40,,Hend 53-40 (+13),,"GOOD FT by SQUIRES,CALEB(fastbreak)",2
08:19,,55 (+15),,40,"GOOD JUMPER by GREEN,MASON(in the paint)",TLU 55-40 (+15),,"GOOD JUMPER by GREEN,MASON(in the paint)",2
08:06,"MISS JUMPER by WEAVER,BRADEN(in the paint)",,,,,,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",2
--,,,,,"REBOUND DEF by GREEN,MASON",,,"REBOUND DEF by GREEN,MASON",2
07:53,,57 (+17),,40,"GOOD JUMPER by PHILLIPS,XAVIER(in the paint)",TLU 57-40 (+17),,"GOOD JUMPER by PHILLIPS,XAVIER(in the paint)",2
--,,,,,"ASSIST  by FORNERETTE,RILEY",,,"ASSIST  by FORNERETTE,RILEY",2
07:46,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:36,"MISS JUMPER by SQUIRES,CALEB(in the paint)",,,,,,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:36,,,,,"BLOCK  by WATSON,JT",,,"BLOCK  by WATSON,JT",2
07:31,"GOOD JUMPER by KRONENBERGER,BEAU(in the paint)",57 (+15),,42,,Hend 57-42 (+15),,"GOOD JUMPER by KRONENBERGER,BEAU(in the paint)",2
07:17,,,,,"MISS JUMPER by PHILLIPS,XAVIER",,,"MISS JUMPER by PHILLIPS,XAVIER",2
--,,,,,"REBOUND OFF by PHILLIPS,XAVIER",,,"REBOUND OFF by PHILLIPS,XAVIER",2
07:17,,,,,"MISS JUMPER by PHILLIPS,XAVIER(in the paint)",,,"MISS JUMPER by PHILLIPS,XAVIER(in the paint)",2
07:17,"BLOCK  by SQUIRES,CALEB",,,,,,,"BLOCK  by SQUIRES,CALEB",2
--,,,,,"REBOUND OFF by GREEN,MASON",,,"REBOUND OFF by GREEN,MASON",2
07:17,,,,,"MISS JUMPER by GREEN,MASON(in the paint)",,,"MISS JUMPER by GREEN,MASON(in the paint)",2
07:17,"BLOCK  by SCIFES,COLIN",,,,,,,"BLOCK  by SCIFES,COLIN",2
--,,,,,"REBOUND OFF by OROZCO,ISAAC",,,"REBOUND OFF by OROZCO,ISAAC",2
06:52,,,,,"MISS 3PTR by FORNERETTE,RILEY",,,"MISS 3PTR by FORNERETTE,RILEY",2
--,"REBOUND DEF by RYAN,GRAYSON",,,,,,,"REBOUND DEF by RYAN,GRAYSON",2
06:51,,,,,"FOUL  by OROZCO,ISAAC",,,"FOUL  by OROZCO,ISAAC",2
06:29,,,,,"SUB OUT by OROZCO,ISAAC",,,"SUB OUT by OROZCO,ISAAC",2
06:29,,,,,"SUB IN by WALLACE,MASON",,,"SUB IN by WALLACE,MASON",2
06:29,"GOOD FT by SCIFES,COLIN(fastbreak)",57 (+14),,43,,Hend 57-43 (+14),,"GOOD FT by SCIFES,COLIN(fastbreak)",2
06:29,"MISS FT by SCIFES,COLIN(fastbreak)",,,,,,,"MISS FT by SCIFES,COLIN(fastbreak)",2
--,"REBOUND OFF by KRONENBERGER,BEAU",,,,,,,"REBOUND OFF by KRONENBERGER,BEAU",2
06:29,,60 (+17),,43,"GOOD 3PTR by WALLACE,MASON",TLU 60-43 (+17),,"GOOD 3PTR by WALLACE,MASON",2
--,,,,,"ASSIST  by FORNERETTE,RILEY",,,"ASSIST  by FORNERETTE,RILEY",2
06:19,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",60 (+15),,45,,Hend 60-45 (+15),,"GOOD JUMPER by SQUIRES,CALEB(in the paint)",2
06:01,,,,,"TURNOVER  by WALLACE,MASON",,,"TURNOVER  by WALLACE,MASON",2
06:01,"STEAL  by RYAN,GRAYSON",,,,,,,"STEAL  by RYAN,GRAYSON",2
05:56,"MISS JUMPER by WEAVER,BRADEN(in the paint)",,,,,,,"MISS JUMPER by WEAVER,BRADEN(in the paint)",2
05:56,,,,,"BLOCK  by WALLACE,MASON",,,"BLOCK  by WALLACE,MASON",2
--,"REBOUND OFF by SCIFES,COLIN",,,,,,,"REBOUND OFF by SCIFES,COLIN",2
05:49,"GOOD LAYUP by SCIFES,COLIN(in the paint)",60 (+13),,47,,Hend 60-47 (+13),,"GOOD LAYUP by SCIFES,COLIN(in the paint)",2
05:38,,63 (+16),,47,"GOOD 3PTR by WALLACE,MASON",TLU 63-47 (+16),,"GOOD 3PTR by WALLACE,MASON",2
--,,,,,"ASSIST  by GREEN,MASON",,,"ASSIST  by GREEN,MASON",2
05:21,"MISS JUMPER by SQUIRES,CALEB(in the paint)",,,,,,,"MISS JUMPER by SQUIRES,CALEB(in the paint)",2
--,,,,,"REBOUND DEF by GREEN,MASON",,,"REBOUND DEF by GREEN,MASON",2
05:15,,65 (+18),,47,"GOOD JUMPER by PHILLIPS,XAVIER(in the paint)",TLU 65-47 (+18),,"GOOD JUMPER by PHILLIPS,XAVIER(in the paint)",2
05:15,"FOUL  by KRONENBERGER,BEAU",,,,,,,"FOUL  by KRONENBERGER,BEAU",2
05:15,,66 (+19),,47,"GOOD FT by PHILLIPS,XAVIER",TLU 66-47 (+19),,"GOOD FT by PHILLIPS,XAVIER",2
05:02,,,,,"FOUL  by FORNERETTE,RILEY",,,"FOUL  by FORNERETTE,RILEY",2
05:02,"SUB OUT by SQUIRES,CALEB",,,,,,,"SUB OUT by SQUIRES,CALEB",2
05:02,"SUB OUT by SCIFES,COLIN",,,,,,,"SUB OUT by SCIFES,COLIN",2
05:02,"SUB IN by RYAN,JONATHAN",,,,,,,"SUB IN by RYAN,JONATHAN",2
05:02,"SUB IN by BERRY,COLTEN",,,,,,,"SUB IN by BERRY,COLTEN",2
05:02,,,,,"SUB OUT by WATSON,JT",,,"SUB OUT by WATSON,JT",2
05:02,,,,,"SUB IN by ALLEN,EASTON",,,"SUB IN by ALLEN,EASTON",2
05:02,"GOOD FT by WEAVER,BRADEN",66 (+18),,48,,Hend 66-48 (+18),,"GOOD FT by WEAVER,BRADEN",2
05:02,"MISS FT by WEAVER,BRADEN",,,,,,,"MISS FT by WEAVER,BRADEN",2
--,,,,,"REBOUND DEF by GREEN,MASON",,,"REBOUND DEF by GREEN,MASON",2
04:48,"FOUL  by BERRY,COLTEN",,,,,,,"FOUL  by BERRY,COLTEN",2
04:48,"SUB OUT by BERRY,COLTEN",,,,,,,"SUB OUT by BERRY,COLTEN",2
04:48,,67 (+19),,48,"GOOD FT by FORNERETTE,RILEY",TLU 67-48 (+19),,"GOOD FT by FORNERETTE,RILEY",2
04:48,,,,,"MISS FT by FORNERETTE,RILEY",,,"MISS FT by FORNERETTE,RILEY",2
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",2
04:48,"SUB IN by PATTON,LUKE",,,,,,,"SUB IN by PATTON,LUKE",2
04:25,"GOOD JUMPER by RYAN,JONATHAN",67 (+17),,50,,Hend 67-50 (+17),,"GOOD JUMPER by RYAN,JONATHAN",2
--,"ASSIST  by KRONENBERGER,BEAU",,,,,,,"ASSIST  by KRONENBERGER,BEAU",2
04:08,,,,,"MISS JUMPER by FORNERETTE,RILEY",,,"MISS JUMPER by FORNERETTE,RILEY",2
--,,,,,"REBOUND OFF by FORNERETTE,RILEY",,,"REBOUND OFF by FORNERETTE,RILEY",2
04:03,,69 (+19),,50,"GOOD JUMPER by FORNERETTE,RILEY(in the paint)",TLU 69-50 (+19),,"GOOD JUMPER by FORNERETTE,RILEY(in the paint)",2
03:53,"TURNOVER  by WEAVER,BRADEN",,,,,,,"TURNOVER  by WEAVER,BRADEN",2
03:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:53,"SUB OUT by WEAVER,BRADEN",,,,,,,"SUB OUT by WEAVER,BRADEN",2
03:53,"SUB IN by MCMULLIN,COLTON",,,,,,,"SUB IN by MCMULLIN,COLTON",2
03:27,,,,,"TURNOVER  by PHILLIPS,XAVIER",,,"TURNOVER  by PHILLIPS,XAVIER",2
03:27,"STEAL  by KRONENBERGER,BEAU",,,,,,,"STEAL  by KRONENBERGER,BEAU",2
03:17,"MISS 3PTR by RYAN,GRAYSON",,,,,,,"MISS 3PTR by RYAN,GRAYSON",2
--,"REBOUND OFF by PATTON,LUKE",,,,,,,"REBOUND OFF by PATTON,LUKE",2
03:11,"GOOD LAYUP by PATTON,LUKE(in the paint)",69 (+17),,52,,Hend 69-52 (+17),,"GOOD LAYUP by PATTON,LUKE(in the paint)",2
03:07,,,,,"FOUL TECH by PHILLIPS,XAVIER",,,"FOUL TECH by PHILLIPS,XAVIER",2
03:07,,,,,"TURNOVER  by PHILLIPS,XAVIER",,,"TURNOVER  by PHILLIPS,XAVIER",2
03:07,"MISS FT by MCMULLIN,COLTON",,,,,,,"MISS FT by MCMULLIN,COLTON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:50,"FOUL  by RYAN,JONATHAN",,,,,,,"FOUL  by RYAN,JONATHAN",2
02:39,,70 (+18),,52,"GOOD FT by PHILLIPS,XAVIER",TLU 70-52 (+18),,"GOOD FT by PHILLIPS,XAVIER",2
02:39,,,,,"MISS FT by PHILLIPS,XAVIER",,,"MISS FT by PHILLIPS,XAVIER",2
--,"REBOUND DEF by MCMULLIN,COLTON",,,,,,,"REBOUND DEF by MCMULLIN,COLTON",2
02:30,"TURNOVER  by RYAN,JONATHAN",,,,,,,"TURNOVER  by RYAN,JONATHAN",2
02:25,,,,,"SUB OUT by FORNERETTE,RILEY",,,"SUB OUT by FORNERETTE,RILEY",2
02:25,,,,,"SUB IN by REYES,CESAR",,,"SUB IN by REYES,CESAR",2
02:03,,,,,"MISS JUMPER by REYES,CESAR",,,"MISS JUMPER by REYES,CESAR",2
--,"REBOUND DEF by RYAN,JONATHAN",,,,,,,"REBOUND DEF by RYAN,JONATHAN",2
01:48,"MISS 3PTR by MCMULLIN,COLTON",,,,,,,"MISS 3PTR by MCMULLIN,COLTON",2
01:48,,,,,"BLOCK  by GREEN,MASON",,,"BLOCK  by GREEN,MASON",2
--,"REBOUND OFF by KRONENBERGER,BEAU",,,,,,,"REBOUND OFF by KRONENBERGER,BEAU",2
01:37,,,,,"FOUL  by REYES,CESAR",,,"FOUL  by REYES,CESAR",2
01:37,"MISS FT by RYAN,JONATHAN",,,,,,,"MISS FT by RYAN,JONATHAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:37,,,,,"SUB OUT by ALLEN,EASTON",,,"SUB OUT by ALLEN,EASTON",2
01:37,,,,,"SUB OUT by WALLACE,MASON",,,"SUB OUT by WALLACE,MASON",2
01:37,,,,,"SUB OUT by PHILLIPS,XAVIER",,,"SUB OUT by PHILLIPS,XAVIER",2
01:37,,,,,"SUB OUT by GREEN,MASON",,,"SUB OUT by GREEN,MASON",2
01:37,,,,,"SUB IN by FRANCIS,JOEMORI",,,"SUB IN by FRANCIS,JOEMORI",2
01:37,,,,,"SUB IN by WATSON,JT",,,"SUB IN by WATSON,JT",2
01:37,,,,,"SUB IN by AUTRY,RYKEN",,,"SUB IN by AUTRY,RYKEN",2
01:37,,,,,"SUB IN by HORTON,DARNELL",,,"SUB IN by HORTON,DARNELL",2
01:37,"SUB OUT by KRONENBERGER,BEAU",,,,,,,"SUB OUT by KRONENBERGER,BEAU",2
01:37,"SUB OUT by RYAN,GRAYSON",,,,,,,"SUB OUT by RYAN,GRAYSON",2
01:37,"SUB OUT by MCMULLIN,COLTON",,,,,,,"SUB OUT by MCMULLIN,COLTON",2
01:37,"SUB OUT by PATTON,LUKE",,,,,,,"SUB OUT by PATTON,LUKE",2
01:37,"SUB IN by SAVARIO,JACK",,,,,,,"SUB IN by SAVARIO,JACK",2
01:37,"SUB IN by TORRES,JADEN",,,,,,,"SUB IN by TORRES,JADEN",2
01:37,"SUB IN by EDWARDS,LANDON",,,,,,,"SUB IN by EDWARDS,LANDON",2
01:37,"SUB IN by GIBSON,JASON",,,,,,,"SUB IN by GIBSON,JASON",2
01:37,"SUB OUT by TORRES,JADEN",,,,,,,"SUB OUT by TORRES,JADEN",2
01:37,"SUB IN by PATTON,LUKE",,,,,,,"SUB IN by PATTON,LUKE",2
01:37,"GOOD FT by RYAN,JONATHAN",70 (+17),,53,,Hend 70-53 (+17),,"GOOD FT by RYAN,JONATHAN",2
01:37,"SUB OUT by RYAN,JONATHAN",,,,,,,"SUB OUT by RYAN,JONATHAN",2
01:37,"SUB IN by TORRES,JADEN",,,,,,,"SUB IN by TORRES,JADEN",2
01:24,,,,,"TURNOVER  by REYES,CESAR",,,"TURNOVER  by REYES,CESAR",2
01:07,"MISS JUMPER by GIBSON,JASON(in the paint)",,,,,,,"MISS JUMPER by GIBSON,JASON(in the paint)",2
--,,,,,"REBOUND DEF by AUTRY,RYKEN",,,"REBOUND DEF by AUTRY,RYKEN",2
00:49,,72 (+19),,53,"GOOD LAYUP by FRANCIS,JOEMORI(in the paint)",TLU 72-53 (+19),,"GOOD LAYUP by FRANCIS,JOEMORI(in the paint)",2
--,,,,,"ASSIST  by REYES,CESAR",,,"ASSIST  by REYES,CESAR",2
00:34,"MISS 3PTR by EDWARDS,LANDON",,,,,,,"MISS 3PTR by EDWARDS,LANDON",2
--,,,,,"REBOUND DEF by HORTON,DARNELL",,,"REBOUND DEF by HORTON,DARNELL",2
00:09,,,,,"MISS JUMPER by FRANCIS,JOEMORI",,,"MISS JUMPER by FRANCIS,JOEMORI",2
00:09,"BLOCK  by PATTON,LUKE",,,,,,,"BLOCK  by PATTON,LUKE",2
--,"REBOUND DEF by EDWARDS,LANDON",,,,,,,"REBOUND DEF by EDWARDS,LANDON",2
00:00,"MISS 3PTR by GIBSON,JASON",,,,,,,"MISS 3PTR by GIBSON,JASON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
