Time Remaining,Boyce,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
02:56,,,,,"SUB IN by BREWER,KEEGAN",,,"SUB IN by BREWER,KEEGAN",1
02:56,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
02:32,,,,,"FOUL  by KNOCHELMANN,PETE",,,"FOUL  by KNOCHELMANN,PETE",1
02:32,"GOOD FT by BENHAM,BAILEY",25,,46 (+21),,Boyce 25-46 (+21),,"GOOD FT by BENHAM,BAILEY",1
02:32,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
02:32,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
02:32,"MISS FT by BENHAM,BAILEY",,,,,,,"MISS FT by BENHAM,BAILEY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:17,,25,,48 (+23),"GOOD JUMPER by SPITZER,JAKOB(in the paint)",Centre 25-48 (+23),,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",1
02:04,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",1
02:04,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
02:04,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
02:04,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
02:04,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
02:04,"SUB OUT by KIRBY,KEVIN",,,,,,,"SUB OUT by KIRBY,KEVIN",1
02:04,"SUB IN by ALEXAKOS,LEONIDAS",,,,,,,"SUB IN by ALEXAKOS,LEONIDAS",1
02:04,"GOOD FT by NAUERT,TYLER",26,,48 (+22),,Boyce 26-48 (+22),,"GOOD FT by NAUERT,TYLER",1
02:04,"GOOD FT by NAUERT,TYLER",27,,48 (+21),,Boyce 27-48 (+21),,"GOOD FT by NAUERT,TYLER",1
01:51,"FOUL  by ALEXAKOS,LEONIDAS",,,,,,,"FOUL  by ALEXAKOS,LEONIDAS",1
01:51,,,,,"MISS FT by SPITZER,JAKOB",,,"MISS FT by SPITZER,JAKOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:51,,27,,49 (+22),"GOOD FT by SPITZER,JAKOB",Centre 27-49 (+22),,"GOOD FT by SPITZER,JAKOB",1
01:40,"GOOD LAYUP by BENHAM,BAILEY(in the paint)",29,,49 (+20),,Boyce 29-49 (+20),,"GOOD LAYUP by BENHAM,BAILEY(in the paint)",1
01:40,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
01:40,"GOOD FT by BENHAM,BAILEY",30,,49 (+19),,Boyce 30-49 (+19),,"GOOD FT by BENHAM,BAILEY",1
01:40,,30,,51 (+21),"GOOD DUNK by SMITH,RJ(in the paint)",Centre 30-51 (+21),,"GOOD DUNK by SMITH,RJ(in the paint)",1
01:40,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
01:40,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
01:40,"SUB OUT by GIBSON,ISAAC",,,,,,,"SUB OUT by GIBSON,ISAAC",1
01:40,"SUB IN by III,KENNETH",,,,,,,"SUB IN by III,KENNETH",1
01:00,"MISS JUMPER by TURNER,NICKOLAS(in the paint)",,,,,,,"MISS JUMPER by TURNER,NICKOLAS(in the paint)",1
--,,,,,"REBOUND DEF by BREWER,KEEGAN",,,"REBOUND DEF by BREWER,KEEGAN",1
00:51,,30,,54 (+24),"GOOD 3PTR by SMITH,RJ",Centre 30-54 (+24),,"GOOD 3PTR by SMITH,RJ",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
00:32,"GOOD JUMPER by ALEXAKOS,LEONIDAS(in the paint)",32,,54 (+22),,Boyce 32-54 (+22),,"GOOD JUMPER by ALEXAKOS,LEONIDAS(in the paint)",1
00:02,,,,,"MISS JUMPER by BATES,JACOB(in the paint)",,,"MISS JUMPER by BATES,JACOB(in the paint)",1
--,"REBOUND DEF by ALEXAKOS,LEONIDAS",,,,,,,"REBOUND DEF by ALEXAKOS,LEONIDAS",1
19:54,,,,,"SUB OUT by BREWER,KEEGAN",,,"SUB OUT by BREWER,KEEGAN",2
19:54,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
19:54,"SUB OUT by TURNER,NICKOLAS",,,,,,,"SUB OUT by TURNER,NICKOLAS",2
19:54,"SUB OUT by III,KENNETH",,,,,,,"SUB OUT by III,KENNETH",2
19:54,"SUB IN by QUINLEY,AARON",,,,,,,"SUB IN by QUINLEY,AARON",2
19:54,"SUB IN by KIRBY,KEVIN",,,,,,,"SUB IN by KIRBY,KEVIN",2
19:53,,32,,57 (+25),"GOOD 3PTR by WALKER,ART",Centre 32-57 (+25),,"GOOD 3PTR by WALKER,ART",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
19:33,"MISS JUMPER by KIRBY,KEVIN(in the paint)",,,,,,,"MISS JUMPER by KIRBY,KEVIN(in the paint)",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
19:11,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",2
--,"REBOUND DEF by KIRBY,KEVIN",,,,,,,"REBOUND DEF by KIRBY,KEVIN",2
18:53,"MISS LAYUP by ALEXAKOS,LEONIDAS(in the paint)",,,,,,,"MISS LAYUP by ALEXAKOS,LEONIDAS(in the paint)",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
18:45,,32,,59 (+27),"GOOD LAYUP by RAKES,BAILEY(in the paint)",Centre 32-59 (+27),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",2
18:21,"GOOD JUMPER by BENHAM,BAILEY(in the paint)",34,,59 (+25),,Boyce 34-59 (+25),,"GOOD JUMPER by BENHAM,BAILEY(in the paint)",2
17:57,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",2
17:57,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",2
17:38,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",2
17:38,"GOOD FT by KIRBY,KEVIN",35,,59 (+24),,Boyce 35-59 (+24),,"GOOD FT by KIRBY,KEVIN",2
17:38,"MISS FT by KIRBY,KEVIN",,,,,,,"MISS FT by KIRBY,KEVIN",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
17:34,,,,,"MISS JUMPER by BATES,JACOB(in the paint)",,,"MISS JUMPER by BATES,JACOB(in the paint)",2
--,"REBOUND DEF by KIRBY,KEVIN",,,,,,,"REBOUND DEF by KIRBY,KEVIN",2
17:16,"MISS LAYUP by QUINLEY,AARON(in the paint)",,,,,,,"MISS LAYUP by QUINLEY,AARON(in the paint)",2
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",2
17:12,"FOUL  by BENHAM,BAILEY",,,,,,,"FOUL  by BENHAM,BAILEY",2
17:12,,35,,60 (+25),"GOOD FT by WALKER,ART(fastbreak)",Centre 35-60 (+25),,"GOOD FT by WALKER,ART(fastbreak)",2
17:12,,35,,61 (+26),"GOOD FT by WALKER,ART(fastbreak)",Centre 35-61 (+26),,"GOOD FT by WALKER,ART(fastbreak)",2
17:12,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
17:12,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
16:54,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",2
16:54,"GOOD FT by NAUERT,TYLER",36,,61 (+25),,Boyce 36-61 (+25),,"GOOD FT by NAUERT,TYLER",2
16:54,"GOOD FT by NAUERT,TYLER",37,,61 (+24),,Boyce 37-61 (+24),,"GOOD FT by NAUERT,TYLER",2
16:54,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",2
16:54,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
16:54,"GOOD FT by NAUERT,TYLER",38,,61 (+23),,Boyce 38-61 (+23),,"GOOD FT by NAUERT,TYLER",2
16:36,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:32,"FOUL  by NAUERT,TYLER",,,,,,,"FOUL  by NAUERT,TYLER",2
16:24,,38,,64 (+26),"GOOD 3PTR by RAKES,BAILEY",Centre 38-64 (+26),,"GOOD 3PTR by RAKES,BAILEY",2
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",2
16:04,"SUB OUT by ALEXAKOS,LEONIDAS",,,,,,,"SUB OUT by ALEXAKOS,LEONIDAS",2
16:04,"SUB IN by KAYS,SAM",,,,,,,"SUB IN by KAYS,SAM",2
16:04,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",2
16:04,"GOOD FT by KAYS,SAM",39,,64 (+25),,Boyce 39-64 (+25),,"GOOD FT by KAYS,SAM",2
16:04,"MISS FT by KAYS,SAM",,,,,,,"MISS FT by KAYS,SAM",2
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",2
15:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:55,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
15:55,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
15:55,"SUB OUT by QUINLEY,AARON",,,,,,,"SUB OUT by QUINLEY,AARON",2
15:55,"SUB IN by GIBSON,JAMES",,,,,,,"SUB IN by GIBSON,JAMES",2
15:41,"MISS LAYUP by KIRBY,KEVIN(in the paint)",,,,,,,"MISS LAYUP by KIRBY,KEVIN(in the paint)",2
--,"REBOUND OFF by KIRBY,KEVIN",,,,,,,"REBOUND OFF by KIRBY,KEVIN",2
15:35,"MISS LAYUP by KIRBY,KEVIN(in the paint)",,,,,,,"MISS LAYUP by KIRBY,KEVIN(in the paint)",2
--,"REBOUND OFF by KIRBY,KEVIN",,,,,,,"REBOUND OFF by KIRBY,KEVIN",2
15:34,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",2
15:34,"GOOD FT by KIRBY,KEVIN",40,,64 (+24),,Boyce 40-64 (+24),,"GOOD FT by KIRBY,KEVIN",2
15:34,"GOOD FT by KIRBY,KEVIN",41,,64 (+23),,Boyce 41-64 (+23),,"GOOD FT by KIRBY,KEVIN",2
15:21,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND DEF by KIRBY,KEVIN",,,,,,,"REBOUND DEF by KIRBY,KEVIN",2
15:10,"GOOD LAYUP by KIRBY,KEVIN(in the paint)",43,,64 (+21),,Boyce 43-64 (+21),,"GOOD LAYUP by KIRBY,KEVIN(in the paint)",2
15:10,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",2
15:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
15:10,"MISS FT by KIRBY,KEVIN",,,,,,,"MISS FT by KIRBY,KEVIN",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
14:56,,,,,"MISS DUNK by SMITH,RJ(in the paint)",,,"MISS DUNK by SMITH,RJ(in the paint)",2
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",2
14:48,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,"REBOUND DEF by GIBSON,JAMES",,,,,,,"REBOUND DEF by GIBSON,JAMES",2
14:32,"GOOD JUMPER by GIBSON,JAMES(in the paint)",45,,64 (+19),,Boyce 45-64 (+19),,"GOOD JUMPER by GIBSON,JAMES(in the paint)",2
14:09,,45,,67 (+22),"GOOD 3PTR by RAKES,BAILEY",Centre 45-67 (+22),,"GOOD 3PTR by RAKES,BAILEY",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
13:42,"TURNOVER  by BENHAM,BAILEY",,,,,,,"TURNOVER  by BENHAM,BAILEY",2
13:32,"FOUL TECH by BENHAM,BAILEY",,,,,,,"FOUL TECH by BENHAM,BAILEY",2
13:32,,45,,68 (+23),"GOOD FT by RAKES,BAILEY",Centre 45-68 (+23),,"GOOD FT by RAKES,BAILEY",2
13:32,,45,,69 (+24),"GOOD FT by RAKES,BAILEY",Centre 45-69 (+24),,"GOOD FT by RAKES,BAILEY",2
13:32,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",2
13:32,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",2
13:32,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
13:32,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
13:32,"SUB OUT by BENHAM,BAILEY",,,,,,,"SUB OUT by BENHAM,BAILEY",2
13:32,"SUB IN by GIBSON,ISAAC",,,,,,,"SUB IN by GIBSON,ISAAC",2
13:29,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",2
--,"REBOUND DEF by KIRBY,KEVIN",,,,,,,"REBOUND DEF by KIRBY,KEVIN",2
13:17,"MISS 3PTR by NAUERT,TYLER",,,,,,,"MISS 3PTR by NAUERT,TYLER",2
--,"REBOUND OFF by KAYS,SAM",,,,,,,"REBOUND OFF by KAYS,SAM",2
13:10,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
13:10,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
13:08,"MISS LAYUP by KIRBY,KEVIN(in the paint)",,,,,,,"MISS LAYUP by KIRBY,KEVIN(in the paint)",2
--,"REBOUND OFF by KAYS,SAM",,,,,,,"REBOUND OFF by KAYS,SAM",2
13:08,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",2
13:08,"MISS FT by KAYS,SAM",,,,,,,"MISS FT by KAYS,SAM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:08,"MISS FT by KAYS,SAM",,,,,,,"MISS FT by KAYS,SAM",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
13:02,,,,,"MISS LAYUP by PURVIS,KC(in the paint)",,,"MISS LAYUP by PURVIS,KC(in the paint)",2
--,"REBOUND DEF by KIRBY,KEVIN",,,,,,,"REBOUND DEF by KIRBY,KEVIN",2
12:44,"GOOD JUMPER by KAYS,SAM(in the paint)",47,,69 (+22),,Boyce 47-69 (+22),,"GOOD JUMPER by KAYS,SAM(in the paint)",2
12:21,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",2
12:21,,,,,"TURNOVER  by WILLIAMS,JALEN",,,"TURNOVER  by WILLIAMS,JALEN",2
12:21,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",2
12:21,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",2
12:21,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",2
12:21,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",2
12:10,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",2
11:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
11:58,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
11:58,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
11:58,"GOOD FT by GIBSON,JAMES",48,,69 (+21),,Boyce 48-69 (+21),,"GOOD FT by GIBSON,JAMES",2
11:58,"GOOD FT by GIBSON,JAMES",49,,69 (+20),,Boyce 49-69 (+20),,"GOOD FT by GIBSON,JAMES",2
11:38,,49,,72 (+23),"GOOD 3PTR by BAUGHMAN,CARTER",Centre 49-72 (+23),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
11:27,"GOOD 3PTR by GIBSON,JAMES",52,,72 (+20),,Boyce 52-72 (+20),,"GOOD 3PTR by GIBSON,JAMES",2
11:18,"FOUL  by GIBSON,ISAAC",,,,,,,"FOUL  by GIBSON,ISAAC",2
11:14,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",2
10:58,"TURNOVER  by NAUERT,TYLER",,,,,,,"TURNOVER  by NAUERT,TYLER",2
10:58,,,,,"STEAL  by RAKES,BAILEY",,,"STEAL  by RAKES,BAILEY",2
10:54,,,,,"TURNOVER  by RAKES,BAILEY",,,"TURNOVER  by RAKES,BAILEY",2
10:54,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
10:54,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",2
10:48,"TURNOVER  by GIBSON,JAMES",,,,,,,"TURNOVER  by GIBSON,JAMES",2
10:48,,,,,"STEAL  by WALKER,ART",,,"STEAL  by WALKER,ART",2
10:34,,,,,"TURNOVER  by RAKES,BAILEY",,,"TURNOVER  by RAKES,BAILEY",2
10:34,"STEAL  by NAUERT,TYLER",,,,,,,"STEAL  by NAUERT,TYLER",2
10:34,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",2
10:34,"GOOD FT by NAUERT,TYLER",53,,72 (+19),,Boyce 53-72 (+19),,"GOOD FT by NAUERT,TYLER",2
10:34,"SUB OUT by KIRBY,KEVIN",,,,,,,"SUB OUT by KIRBY,KEVIN",2
10:34,"SUB IN by ALEXAKOS,LEONIDAS",,,,,,,"SUB IN by ALEXAKOS,LEONIDAS",2
10:34,"MISS FT by NAUERT,TYLER",,,,,,,"MISS FT by NAUERT,TYLER",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
10:16,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",2
10:14,"FOUL  by NAUERT,TYLER",,,,,,,"FOUL  by NAUERT,TYLER",2
10:14,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
10:14,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
10:14,"SUB OUT by NAUERT,TYLER",,,,,,,"SUB OUT by NAUERT,TYLER",2
10:14,"SUB IN by III,KENNETH",,,,,,,"SUB IN by III,KENNETH",2
10:12,"FOUL  by GIBSON,ISAAC",,,,,,,"FOUL  by GIBSON,ISAAC",2
10:09,,53,,74 (+21),"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 53-74 (+21),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
10:09,"FOUL  by GIBSON,ISAAC",,,,,,,"FOUL  by GIBSON,ISAAC",2
10:09,"SUB OUT by GIBSON,ISAAC",,,,,,,"SUB OUT by GIBSON,ISAAC",2
10:09,"SUB IN by BENHAM,BAILEY",,,,,,,"SUB IN by BENHAM,BAILEY",2
10:09,,,,,"MISS FT by SMITH,RJ",,,"MISS FT by SMITH,RJ",2
--,"REBOUND DEF by GIBSON,JAMES",,,,,,,"REBOUND DEF by GIBSON,JAMES",2
10:04,"FOUL  by GIBSON,JAMES",,,,,,,"FOUL  by GIBSON,JAMES",2
10:04,"TURNOVER  by GIBSON,JAMES",,,,,,,"TURNOVER  by GIBSON,JAMES",2
10:04,"SUB OUT by GIBSON,JAMES",,,,,,,"SUB OUT by GIBSON,JAMES",2
10:04,"SUB IN by TURNER,NICKOLAS",,,,,,,"SUB IN by TURNER,NICKOLAS",2
09:44,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",2
09:31,"MISS JUMPER by III,KENNETH",,,,,,,"MISS JUMPER by III,KENNETH",2
--,,,,,"REBOUND DEF by KNOCHELMANN,PETE",,,"REBOUND DEF by KNOCHELMANN,PETE",2
09:23,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,"REBOUND DEF by TURNER,NICKOLAS",,,,,,,"REBOUND DEF by TURNER,NICKOLAS",2
09:23,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
09:14,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",2
09:14,"GOOD FT by TURNER,NICKOLAS",54,,74 (+20),,Boyce 54-74 (+20),,"GOOD FT by TURNER,NICKOLAS",2
09:14,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",2
09:14,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
09:14,"GOOD FT by TURNER,NICKOLAS",55,,74 (+19),,Boyce 55-74 (+19),,"GOOD FT by TURNER,NICKOLAS",2
08:57,,,,,"MISS LAYUP by BATES,JACOB(in the paint)",,,"MISS LAYUP by BATES,JACOB(in the paint)",2
--,"REBOUND DEF by ALEXAKOS,LEONIDAS",,,,,,,"REBOUND DEF by ALEXAKOS,LEONIDAS",2
08:53,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",2
08:53,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
08:53,"SUB OUT by KAYS,SAM",,,,,,,"SUB OUT by KAYS,SAM",2
08:53,"SUB IN by KIRBY,KEVIN",,,,,,,"SUB IN by KIRBY,KEVIN",2
08:40,"MISS JUMPER by KIRBY,KEVIN(in the paint)",,,,,,,"MISS JUMPER by KIRBY,KEVIN(in the paint)",2
--,"REBOUND OFF by KIRBY,KEVIN",,,,,,,"REBOUND OFF by KIRBY,KEVIN",2
08:24,"MISS JUMPER by ALEXAKOS,LEONIDAS",,,,,,,"MISS JUMPER by ALEXAKOS,LEONIDAS",2
--,"REBOUND OFF by III,KENNETH",,,,,,,"REBOUND OFF by III,KENNETH",2
08:18,"MISS JUMPER by III,KENNETH(in the paint)",,,,,,,"MISS JUMPER by III,KENNETH(in the paint)",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
08:07,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",2
08:07,"STEAL  by TURNER,NICKOLAS",,,,,,,"STEAL  by TURNER,NICKOLAS",2
08:02,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",2
08:02,"MISS FT by TURNER,NICKOLAS(fastbreak)",,,,,,,"MISS FT by TURNER,NICKOLAS(fastbreak)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:02,"GOOD FT by TURNER,NICKOLAS(fastbreak)",56,,74 (+18),,Boyce 56-74 (+18),,"GOOD FT by TURNER,NICKOLAS(fastbreak)",2
07:44,"FOUL  by TURNER,NICKOLAS",,,,,,,"FOUL  by TURNER,NICKOLAS",2
07:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:44,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
07:44,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",2
07:44,,56,,75 (+19),"GOOD FT by BATES,JACOB",Centre 56-75 (+19),,"GOOD FT by BATES,JACOB",2
07:44,,56,,76 (+20),"GOOD FT by BATES,JACOB",Centre 56-76 (+20),,"GOOD FT by BATES,JACOB",2
07:23,"MISS LAYUP by TURNER,NICKOLAS(in the paint)",,,,,,,"MISS LAYUP by TURNER,NICKOLAS(in the paint)",2
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",2
06:56,,56,,78 (+22),"GOOD JUMPER by BATES,JACOB(in the paint)",Centre 56-78 (+22),,"GOOD JUMPER by BATES,JACOB(in the paint)",2
06:41,"MISS JUMPER by KIRBY,KEVIN",,,,,,,"MISS JUMPER by KIRBY,KEVIN",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
06:32,,56,,81 (+25),"GOOD 3PTR by WILLIAMS,JALEN",Centre 56-81 (+25),,"GOOD 3PTR by WILLIAMS,JALEN",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
06:22,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:22,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
06:22,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
06:22,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",2
06:22,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
06:22,"SUB OUT by ALEXAKOS,LEONIDAS",,,,,,,"SUB OUT by ALEXAKOS,LEONIDAS",2
06:22,"SUB IN by GIBSON,JAMES",,,,,,,"SUB IN by GIBSON,JAMES",2
06:03,"MISS LAYUP by KIRBY,KEVIN(in the paint)",,,,,,,"MISS LAYUP by KIRBY,KEVIN(in the paint)",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
05:49,,,,,"TURNOVER  by RAKES,BAILEY",,,"TURNOVER  by RAKES,BAILEY",2
05:49,"STEAL  by TURNER,NICKOLAS",,,,,,,"STEAL  by TURNER,NICKOLAS",2
05:42,"MISS LAYUP by TURNER,NICKOLAS(in the paint)",,,,,,,"MISS LAYUP by TURNER,NICKOLAS(in the paint)",2
05:42,,,,,"BLOCK  by SMITH,RJ",,,"BLOCK  by SMITH,RJ",2
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",2
05:29,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",2
05:29,"STEAL  by III,KENNETH",,,,,,,"STEAL  by III,KENNETH",2
05:16,"GOOD JUMPER by GIBSON,JAMES(in the paint)",58,,81 (+23),,Boyce 58-81 (+23),,"GOOD JUMPER by GIBSON,JAMES(in the paint)",2
05:05,"FOUL  by TURNER,NICKOLAS",,,,,,,"FOUL  by TURNER,NICKOLAS",2
05:05,,58,,82 (+24),"GOOD FT by RAKES,BAILEY",Centre 58-82 (+24),,"GOOD FT by RAKES,BAILEY",2
05:05,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",2
05:05,,,,,"SUB IN by BREWER,KEEGAN",,,"SUB IN by BREWER,KEEGAN",2
05:05,"SUB OUT by III,KENNETH",,,,,,,"SUB OUT by III,KENNETH",2
