Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,MARYMO~1,Game Score,Team Indicator,Play,Period
17:15,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",2
17:15,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
17:15,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
17:15,,,,,"SUB IN by MCCORD,LADARIUS",,,"SUB IN by MCCORD,LADARIUS",2
17:15,,,,,"SUB OUT by GIARDINA,JOSH",,,"SUB OUT by GIARDINA,JOSH",2
17:06,,,,,"TURNOVER  by MCCORD,LADARIUS",,,"TURNOVER  by MCCORD,LADARIUS",2
17:05,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",2
16:49,"MISS LAYUP by WALKER,ART",,,,,,,"MISS LAYUP by WALKER,ART",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:42,"MISS LAYUP by CRUMP,DAWSON",,,,,,,"MISS LAYUP by CRUMP,DAWSON",2
16:42,,,,,"BLOCK  by REAVES,XAVIER",,,"BLOCK  by REAVES,XAVIER",2
--,,,,,"REBOUND DEF by MCCORD,LADARIUS",,,"REBOUND DEF by MCCORD,LADARIUS",2
16:35,,,,,"MISS LAYUP by MCCORD,LADARIUS",,,"MISS LAYUP by MCCORD,LADARIUS",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
16:04,"GOOD LAYUP by BATES,JACOB(in the paint)",42 (+9),,33,,CENTRE-M 42-33 (+9),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",2
15:43,,,,,"MISS 3PTR by REAVES,XAVIER",,,"MISS 3PTR by REAVES,XAVIER",2
--,,,,,"REBOUND OFF by WALKER,TAIGA",,,"REBOUND OFF by WALKER,TAIGA",2
15:36,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
15:36,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
15:36,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
15:36,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
15:24,,42 (+7),,35,"GOOD LAYUP by ETIENNE,STEVE(in the paint)",MARYMO~1 42-35 (+7),,"GOOD LAYUP by ETIENNE,STEVE(in the paint)",2
14:55,"GOOD 3PTR by CRUMP,DAWSON",45 (+10),,35,,CENTRE-M 45-35 (+10),,"GOOD 3PTR by CRUMP,DAWSON",2
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",2
14:40,,45 (+7),,38,"GOOD 3PTR by ETIENNE,STEVE",MARYMO~1 45-38 (+7),,"GOOD 3PTR by ETIENNE,STEVE",2
--,,,,,"ASSIST  by REAVES,XAVIER",,,"ASSIST  by REAVES,XAVIER",2
14:26,,,,,"FOUL  by REAVES,XAVIER",,,"FOUL  by REAVES,XAVIER",2
14:26,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
14:26,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
14:26,,,,,"SUB IN by STERN,ROEY",,,"SUB IN by STERN,ROEY",2
14:26,,,,,"SUB OUT by WALKER,TAIGA",,,"SUB OUT by WALKER,TAIGA",2
14:15,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",2
--,,,,,"REBOUND DEF by STERN,ROEY",,,"REBOUND DEF by STERN,ROEY",2
14:04,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
14:04,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
14:04,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
14:04,,,,,"SUB IN by ALBERT,RYAN",,,"SUB IN by ALBERT,RYAN",2
14:04,,,,,"SUB OUT by KAMARA,IBRAHIM",,,"SUB OUT by KAMARA,IBRAHIM",2
13:59,,45 (+4),,41,"GOOD 3PTR by STERN,ROEY",MARYMO~1 45-41 (+4),,"GOOD 3PTR by STERN,ROEY",2
--,,,,,"ASSIST  by MCCORD,LADARIUS",,,"ASSIST  by MCCORD,LADARIUS",2
13:41,,,,,"FOUL  by STERN,ROEY",,,"FOUL  by STERN,ROEY",2
13:37,,,,,"FOUL  by ETIENNE,STEVE",,,"FOUL  by ETIENNE,STEVE",2
13:33,,,,,"FOUL  by ETIENNE,STEVE",,,"FOUL  by ETIENNE,STEVE",2
13:33,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
13:33,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
13:33,,,,,"SUB IN by KAMARA,IBRAHIM",,,"SUB IN by KAMARA,IBRAHIM",2
13:33,,,,,"SUB OUT by ETIENNE,STEVE",,,"SUB OUT by ETIENNE,STEVE",2
13:27,,,,,"FOUL  by KAMARA,IBRAHIM",,,"FOUL  by KAMARA,IBRAHIM",2
13:27,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:27,"GOOD FT by BATES,JACOB",46 (+5),,41,,CENTRE-M 46-41 (+5),,"GOOD FT by BATES,JACOB",2
13:27,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
13:27,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",2
13:27,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",2
13:27,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
13:27,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
13:27,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
13:18,,,,,"MISS JUMPER by STERN,ROEY",,,"MISS JUMPER by STERN,ROEY",2
--,,,,,"REBOUND OFF by ALBERT,RYAN",,,"REBOUND OFF by ALBERT,RYAN",2
13:09,,,,,"TURNOVER  by ALBERT,RYAN",,,"TURNOVER  by ALBERT,RYAN",2
12:48,,,,,"FOUL  by KAMARA,IBRAHIM",,,"FOUL  by KAMARA,IBRAHIM",2
12:48,"MISS FT by PURVIS,KC",,,,,,,"MISS FT by PURVIS,KC",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:48,"MISS FT by PURVIS,KC",,,,,,,"MISS FT by PURVIS,KC",2
--,,,,,"REBOUND DEF by STERN,ROEY",,,"REBOUND DEF by STERN,ROEY",2
12:48,,,,,"SUB IN by ETIENNE,STEVE",,,"SUB IN by ETIENNE,STEVE",2
12:48,,,,,"SUB OUT by KAMARA,IBRAHIM",,,"SUB OUT by KAMARA,IBRAHIM",2
12:37,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
12:30,,46 (+3),,43,"GOOD LAYUP by REAVES,XAVIER(in the paint)",MARYMO~1 46-43 (+3),,"GOOD LAYUP by REAVES,XAVIER(in the paint)",2
12:30,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",2
12:30,,46 (+2),,44,"GOOD FT by REAVES,XAVIER",MARYMO~1 46-44 (+2),,"GOOD FT by REAVES,XAVIER",2
12:30,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
12:30,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
12:30,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
12:30,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
12:03,,,,,"FOUL  by MCCORD,LADARIUS",,,"FOUL  by MCCORD,LADARIUS",2
12:03,"GOOD FT by BATES,JACOB",47 (+3),,44,,CENTRE-M 47-44 (+3),,"GOOD FT by BATES,JACOB",2
12:03,"GOOD FT by BATES,JACOB",48 (+4),,44,,CENTRE-M 48-44 (+4),,"GOOD FT by BATES,JACOB",2
11:45,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",2
11:45,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
11:45,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",2
11:43,,48 (+1),,47,"GOOD 3PTR by MCCORD,LADARIUS",MARYMO~1 48-47 (+1),,"GOOD 3PTR by MCCORD,LADARIUS",2
--,,,,,"ASSIST  by STERN,ROEY",,,"ASSIST  by STERN,ROEY",2
11:07,"TURNOVER  by BAUGHMAN,CARTER",,,,,,,"TURNOVER  by BAUGHMAN,CARTER",2
11:06,,,,,"STEAL  by ETIENNE,STEVE",,,"STEAL  by ETIENNE,STEVE",2
11:00,,,,,"FOUL  by ALBERT,RYAN",,,"FOUL  by ALBERT,RYAN",2
11:00,,,,,"TURNOVER  by ALBERT,RYAN",,,"TURNOVER  by ALBERT,RYAN",2
11:00,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
11:00,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
11:00,,,,,"SUB IN by BROWN,MILES",,,"SUB IN by BROWN,MILES",2
11:00,,,,,"SUB OUT by ALBERT,RYAN",,,"SUB OUT by ALBERT,RYAN",2
10:39,,,,,"FOUL  by REAVES,XAVIER",,,"FOUL  by REAVES,XAVIER",2
10:39,"GOOD FT by BATES,JACOB",49 (+2),,47,,CENTRE-M 49-47 (+2),,"GOOD FT by BATES,JACOB",2
10:39,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",2
--,,,,,"REBOUND DEF by MCCORD,LADARIUS",,,"REBOUND DEF by MCCORD,LADARIUS",2
10:27,,,,,"MISS 3PTR by REAVES,XAVIER",,,"MISS 3PTR by REAVES,XAVIER",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
10:12,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",2
10:09,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,"REBOUND OFF by RAKES,BAILEY",,,,,,,"REBOUND OFF by RAKES,BAILEY",2
09:58,"GOOD 3PTR by RAKES,BAILEY",52 (+5),,47,,CENTRE-M 52-47 (+5),,"GOOD 3PTR by RAKES,BAILEY",2
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",2
09:42,,,,,"MISS 3PTR by MCCORD,LADARIUS",,,"MISS 3PTR by MCCORD,LADARIUS",2
--,,,,,"REBOUND OFF by ETIENNE,STEVE",,,"REBOUND OFF by ETIENNE,STEVE",2
09:38,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",2
09:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
09:38,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
09:38,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
09:38,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
09:38,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
09:38,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
09:38,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
09:23,,,,,"MISS JUMPER by REAVES,XAVIER",,,"MISS JUMPER by REAVES,XAVIER",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
09:15,,,,,"FOUL  by BROWN,MILES",,,"FOUL  by BROWN,MILES",2
09:15,"GOOD FT by CRUMP,DAWSON",53 (+6),,47,,CENTRE-M 53-47 (+6),,"GOOD FT by CRUMP,DAWSON",2
09:15,"GOOD FT by CRUMP,DAWSON",54 (+7),,47,,CENTRE-M 54-47 (+7),,"GOOD FT by CRUMP,DAWSON",2
08:47,,,,,"MISS 3PTR by STERN,ROEY",,,"MISS 3PTR by STERN,ROEY",2
--,,,,,"REBOUND OFF by ETIENNE,STEVE",,,"REBOUND OFF by ETIENNE,STEVE",2
08:17,,,,,"MISS JUMPER by REAVES,XAVIER",,,"MISS JUMPER by REAVES,XAVIER",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
08:00,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",56 (+9),,47,,CENTRE-M 56-47 (+9),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",2
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",2
07:44,,,,,"MISS 3PTR by STERN,ROEY",,,"MISS 3PTR by STERN,ROEY",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
07:16,"GOOD 3PTR by WILSON,DREW",59 (+12),,47,,CENTRE-M 59-47 (+12),,"GOOD 3PTR by WILSON,DREW",2
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",2
06:49,,59 (+10),,49,"GOOD LAYUP by REAVES,XAVIER(in the paint)",MARYMO~1 59-49 (+10),,"GOOD LAYUP by REAVES,XAVIER(in the paint)",2
--,,,,,"ASSIST  by STERN,ROEY",,,"ASSIST  by STERN,ROEY",2
06:48,,,,,"FOUL  by REAVES,XAVIER",,,"FOUL  by REAVES,XAVIER",2
06:48,,,,,"FOUL TECH by REAVES,XAVIER",,,"FOUL TECH by REAVES,XAVIER",2
06:48,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
06:48,"FOUL TECH by BATES,JACOB",,,,,,,"FOUL TECH by BATES,JACOB",2
06:48,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
06:48,,59 (+9),,50,"GOOD FT by MCCORD,LADARIUS",MARYMO~1 59-50 (+9),,"GOOD FT by MCCORD,LADARIUS",2
06:48,,59 (+8),,51,"GOOD FT by MCCORD,LADARIUS",MARYMO~1 59-51 (+8),,"GOOD FT by MCCORD,LADARIUS",2
06:48,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",2
06:48,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
06:48,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
06:48,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
06:48,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
06:48,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
06:48,,,,,"SUB IN by WALKER,TAIGA",,,"SUB IN by WALKER,TAIGA",2
06:48,,,,,"SUB IN by KAMARA,IBRAHIM",,,"SUB IN by KAMARA,IBRAHIM",2
06:48,,,,,"SUB OUT by BROWN,MILES",,,"SUB OUT by BROWN,MILES",2
06:48,,,,,"SUB OUT by STERN,ROEY",,,"SUB OUT by STERN,ROEY",2
06:32,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",2
06:31,,,,,"STEAL  by KAMARA,IBRAHIM",,,"STEAL  by KAMARA,IBRAHIM",2
06:21,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",2
06:21,,59 (+7),,52,"GOOD FT by KAMARA,IBRAHIM",MARYMO~1 59-52 (+7),,"GOOD FT by KAMARA,IBRAHIM",2
06:21,,59 (+6),,53,"GOOD FT by KAMARA,IBRAHIM",MARYMO~1 59-53 (+6),,"GOOD FT by KAMARA,IBRAHIM",2
06:21,,,,,"SUB IN by ALBERT,RYAN",,,"SUB IN by ALBERT,RYAN",2
06:21,,,,,"SUB OUT by REAVES,XAVIER",,,"SUB OUT by REAVES,XAVIER",2
05:41,"GOOD LAYUP by BATES,JACOB(in the paint)",61 (+8),,53,,CENTRE-M 61-53 (+8),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
05:25,,,,,"MISS LAYUP by ALBERT,RYAN",,,"MISS LAYUP by ALBERT,RYAN",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
04:57,"GOOD LAYUP by AYERS,PERRY(in the paint)",63 (+10),,53,,CENTRE-M 63-53 (+10),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",2
04:44,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",2
04:44,,63 (+9),,54,"GOOD FT by ETIENNE,STEVE",MARYMO~1 63-54 (+9),,"GOOD FT by ETIENNE,STEVE",2
04:44,,63 (+8),,55,"GOOD FT by ETIENNE,STEVE",MARYMO~1 63-55 (+8),,"GOOD FT by ETIENNE,STEVE",2
04:44,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
04:44,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
04:44,,,,,"SUB IN by REAVES,XAVIER",,,"SUB IN by REAVES,XAVIER",2
04:44,,,,,"SUB OUT by ALBERT,RYAN",,,"SUB OUT by ALBERT,RYAN",2
04:26,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",2
--,,,,,"REBOUND DEF by MCCORD,LADARIUS",,,"REBOUND DEF by MCCORD,LADARIUS",2
04:18,,,,,"MISS 3PTR by KAMARA,IBRAHIM",,,"MISS 3PTR by KAMARA,IBRAHIM",2
--,,,,,"REBOUND OFF by ETIENNE,STEVE",,,"REBOUND OFF by ETIENNE,STEVE",2
04:10,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND DEF by REAVES,XAVIER",,,"REBOUND DEF by REAVES,XAVIER",2
04:00,,,,,"MISS JUMPER by KAMARA,IBRAHIM",,,"MISS JUMPER by KAMARA,IBRAHIM",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
03:21,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:21,,,,,"SUB IN by GIARDINA,JOSH",,,"SUB IN by GIARDINA,JOSH",2
03:21,,,,,"SUB OUT by MCCORD,LADARIUS",,,"SUB OUT by MCCORD,LADARIUS",2
03:10,"GOOD JUMPER by AYERS,PERRY",65 (+10),,55,,CENTRE-M 65-55 (+10),,"GOOD JUMPER by AYERS,PERRY",2
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",2
03:02,,,,,"TURNOVER  by REAVES,XAVIER",,,"TURNOVER  by REAVES,XAVIER",2
02:44,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",67 (+12),,55,,CENTRE-M 67-55 (+12),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",2
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",2
02:31,,67 (+10),,57,"GOOD LAYUP by KAMARA,IBRAHIM(in the paint)",MARYMO~1 67-57 (+10),,"GOOD LAYUP by KAMARA,IBRAHIM(in the paint)",2
--,,,,,"ASSIST  by WALKER,TAIGA",,,"ASSIST  by WALKER,TAIGA",2
02:13,"MISS DUNK by WALKER,ART",,,,,,,"MISS DUNK by WALKER,ART",2
--,,,,,"REBOUND DEF by KAMARA,IBRAHIM",,,"REBOUND DEF by KAMARA,IBRAHIM",2
02:10,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
02:10,,67 (+9),,58,"GOOD FT by KAMARA,IBRAHIM",MARYMO~1 67-58 (+9),,"GOOD FT by KAMARA,IBRAHIM",2
02:10,,,,,"MISS FT by KAMARA,IBRAHIM",,,"MISS FT by KAMARA,IBRAHIM",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
02:10,,,,,"FOUL  by KAMARA,IBRAHIM",,,"FOUL  by KAMARA,IBRAHIM",2
02:10,,,,,"FOUL TECH by KAMARA,IBRAHIM",,,"FOUL TECH by KAMARA,IBRAHIM",2
02:10,"GOOD FT by AYERS,PERRY",68 (+10),,58,,CENTRE-M 68-58 (+10),,"GOOD FT by AYERS,PERRY",2
02:10,"MISS FT by AYERS,PERRY",,,,,,,"MISS FT by AYERS,PERRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:10,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",2
02:10,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
02:10,,,,,"SUB IN by BROWN,MILES",,,"SUB IN by BROWN,MILES",2
02:10,,,,,"SUB OUT by KAMARA,IBRAHIM",,,"SUB OUT by KAMARA,IBRAHIM",2
01:47,"GOOD LAYUP by AYERS,PERRY(in the paint)",70 (+12),,58,,CENTRE-M 70-58 (+12),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
01:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:45,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
01:45,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
01:45,,,,,"SUB IN by PERRY,JARED",,,"SUB IN by PERRY,JARED",2
01:45,,,,,"SUB IN by MCCORD,LADARIUS",,,"SUB IN by MCCORD,LADARIUS",2
01:45,,,,,"SUB OUT by ETIENNE,STEVE",,,"SUB OUT by ETIENNE,STEVE",2
01:45,,,,,"SUB OUT by GIARDINA,JOSH",,,"SUB OUT by GIARDINA,JOSH",2
01:36,,70 (+10),,60,"GOOD LAYUP by WALKER,TAIGA(in the paint)",MARYMO~1 70-60 (+10),,"GOOD LAYUP by WALKER,TAIGA(in the paint)",2
01:07,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,,,,,"REBOUND DEF by REAVES,XAVIER",,,"REBOUND DEF by REAVES,XAVIER",2
00:54,,,,,"MISS 3PTR by REAVES,XAVIER",,,"MISS 3PTR by REAVES,XAVIER",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
00:31,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",2
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",2
00:28,"GOOD TIPIN by BATES,JACOB(in the paint)",72 (+12),,60,,CENTRE-M 72-60 (+12),,"GOOD TIPIN by BATES,JACOB(in the paint)",2
00:23,,,,,"MISS LAYUP by WALKER,TAIGA",,,"MISS LAYUP by WALKER,TAIGA",2
--,,,,,"REBOUND OFF by WALKER,TAIGA",,,"REBOUND OFF by WALKER,TAIGA",2
00:21,,72 (+10),,62,"GOOD LAYUP by WALKER,TAIGA(in the paint)",MARYMO~1 72-62 (+10),,"GOOD LAYUP by WALKER,TAIGA(in the paint)",2
00:19,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",2
00:17,,,,,"STEAL  by WALKER,TAIGA",,,"STEAL  by WALKER,TAIGA",2
00:15,,,,,"MISS 3PTR by WALKER,TAIGA",,,"MISS 3PTR by WALKER,TAIGA",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
