Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,WABM,Game Score,Team Indicator,Play,Period
00:36,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
00:36,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
00:36,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
00:28,,,,,"MISS JUMPER by JONES,AHMONI",,,"MISS JUMPER by JONES,AHMONI",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
00:28,"BLOCK  by SPITZER,JAKOB",,,,,,,"BLOCK  by SPITZER,JAKOB",1
00:20,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
00:16,,,,,"FOUL  by JONES,AHMONI",,,"FOUL  by JONES,AHMONI",1
00:16,"MISS FT by SMITH,RJ",,,,,,,"MISS FT by SMITH,RJ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:16,"GOOD FT by SMITH,RJ",39 (+2),,37,,CENTRE-M 39-37 (+2),,"GOOD FT by SMITH,RJ",1
00:16,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
00:16,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
00:16,,,,,"SUB IN by SCHREIBER,KELLEN",,,"SUB IN by SCHREIBER,KELLEN",1
00:16,,,,,"SUB IN by HALLSTROM,HARRISON",,,"SUB IN by HALLSTROM,HARRISON",1
00:16,,,,,"SUB OUT by JONES,AHMONI",,,"SUB OUT by JONES,AHMONI",1
00:16,,,,,"SUB OUT by HEGWOOD,JACK",,,"SUB OUT by HEGWOOD,JACK",1
19:47,,,,,"FOUL  by DAVIDSON,JACK",,,"FOUL  by DAVIDSON,JACK",2
19:42,"GOOD LAYUP by BATES,JACOB(in the paint)",41 (+4),,37,,CENTRE-M 41-37 (+4),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
19:24,,41 (+2),,39,"GOOD JUMPER by DAVIDSON,JACK(in the paint)",WABM 41-39 (+2),,"GOOD JUMPER by DAVIDSON,JACK(in the paint)",2
18:59,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by HALLSTROM,HARRISON",,,"REBOUND DEF by HALLSTROM,HARRISON",2
18:39,,,,,"MISS 3PTR by GARLAND,COLTEN",,,"MISS 3PTR by GARLAND,COLTEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:16,"GOOD JUMPER by AYERS,PERRY",43 (+4),,39,,CENTRE-M 43-39 (+4),,"GOOD JUMPER by AYERS,PERRY",2
17:55,,,,,"FOUL  by SCHREIBER,KELLEN",,,"FOUL  by SCHREIBER,KELLEN",2
17:55,,,,,"TURNOVER  by SCHREIBER,KELLEN",,,"TURNOVER  by SCHREIBER,KELLEN",2
17:55,,,,,"SUB IN by JONES,AHMONI",,,"SUB IN by JONES,AHMONI",2
17:55,,,,,"SUB OUT by SCHREIBER,KELLEN",,,"SUB OUT by SCHREIBER,KELLEN",2
17:46,"GOOD 3PTR by WALKER,ART",46 (+7),,39,,CENTRE-M 46-39 (+7),,"GOOD 3PTR by WALKER,ART",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
17:26,,,,,"TURNOVER  by DAVIDSON,JACK",,,"TURNOVER  by DAVIDSON,JACK",2
17:26,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",2
17:19,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by GARLAND,COLTEN",,,"REBOUND DEF by GARLAND,COLTEN",2
17:10,,46 (+4),,42,"GOOD 3PTR by DAVIDSON,JACK",WABM 46-42 (+4),,"GOOD 3PTR by DAVIDSON,JACK",2
16:47,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by DAVIDSON,JACK",,,"REBOUND DEF by DAVIDSON,JACK",2
16:36,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",2
16:36,,46 (+3),,43,"GOOD FT by DAVIDSON,JACK",WABM 46-43 (+3),,"GOOD FT by DAVIDSON,JACK",2
16:36,,46 (+2),,44,"GOOD FT by DAVIDSON,JACK",WABM 46-44 (+2),,"GOOD FT by DAVIDSON,JACK",2
16:36,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
16:36,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
16:24,"GOOD JUMPER by AYERS,PERRY(in the paint)",48 (+4),,44,,CENTRE-M 48-44 (+4),,"GOOD JUMPER by AYERS,PERRY(in the paint)",2
16:03,,48 (+1),,47,"GOOD 3PTR by DAVIDSON,JACK",WABM 48-47 (+1),,"GOOD 3PTR by DAVIDSON,JACK",2
15:39,"GOOD JUMPER by BATES,JACOB",50 (+3),,47,,CENTRE-M 50-47 (+3),,"GOOD JUMPER by BATES,JACOB",2
15:39,,,,,"FOUL  by HALLSTROM,HARRISON",,,"FOUL  by HALLSTROM,HARRISON",2
15:39,"GOOD FT by BATES,JACOB",51 (+4),,47,,CENTRE-M 51-47 (+4),,"GOOD FT by BATES,JACOB",2
15:39,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
15:39,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
15:38,,,,,"MISS 3PTR by DAVIDSON,JACK",,,"MISS 3PTR by DAVIDSON,JACK",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
15:28,"MISS LAYUP by WALKER,ART",,,,,,,"MISS LAYUP by WALKER,ART",2
15:28,,,,,"BLOCK  by JONES,AHMONI",,,"BLOCK  by JONES,AHMONI",2
--,,,,,"REBOUND DEF by JONES,AHMONI",,,"REBOUND DEF by JONES,AHMONI",2
15:19,,,,,"MISS 3PTR by WATSON,TYLER",,,"MISS 3PTR by WATSON,TYLER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:15,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",2
15:15,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
15:15,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
15:15,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
15:15,,,,,"SUB IN by HEGWOOD,JACK",,,"SUB IN by HEGWOOD,JACK",2
15:15,,,,,"SUB OUT by HALLSTROM,HARRISON",,,"SUB OUT by HALLSTROM,HARRISON",2
15:05,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",2
15:05,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
14:54,,51 (+1),,50,"GOOD 3PTR by DAVIDSON,JACK",WABM 51-50 (+1),,"GOOD 3PTR by DAVIDSON,JACK",2
14:29,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",2
14:29,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",2
14:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
14:27,,,,,"SUB IN by EBERHARD,ALEX",,,"SUB IN by EBERHARD,ALEX",2
14:27,,,,,"SUB IN by ROTTERMAN,CONNOR",,,"SUB IN by ROTTERMAN,CONNOR",2
14:27,,,,,"SUB OUT by JONES,AHMONI",,,"SUB OUT by JONES,AHMONI",2
14:27,,,,,"SUB OUT by GARLAND,COLTEN",,,"SUB OUT by GARLAND,COLTEN",2
14:19,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",2
14:19,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
14:19,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
14:19,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
14:19,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",2
14:15,,,,,"MISS 3PTR by EBERHARD,ALEX",,,"MISS 3PTR by EBERHARD,ALEX",2
--,,,,,"REBOUND OFF by WATSON,TYLER",,,"REBOUND OFF by WATSON,TYLER",2
14:08,,51,,53 (+2),"GOOD 3PTR by DAVIDSON,JACK",WABM 51-53 (-2),,"GOOD 3PTR by DAVIDSON,JACK",2
--,,,,,"ASSIST  by ROTTERMAN,CONNOR",,,"ASSIST  by ROTTERMAN,CONNOR",2
13:50,"MISS LAYUP by CRUMP,DAWSON",,,,,,,"MISS LAYUP by CRUMP,DAWSON",2
--,,,,,"REBOUND DEF by HEGWOOD,JACK",,,"REBOUND DEF by HEGWOOD,JACK",2
13:42,,,,,"MISS 3PTR by DAVIDSON,JACK",,,"MISS 3PTR by DAVIDSON,JACK",2
--,,,,,"REBOUND OFF by EBERHARD,ALEX",,,"REBOUND OFF by EBERHARD,ALEX",2
13:32,,51,,56 (+5),"GOOD 3PTR by WATSON,TYLER",WABM 51-56 (-5),,"GOOD 3PTR by WATSON,TYLER",2
--,,,,,"ASSIST  by EBERHARD,ALEX",,,"ASSIST  by EBERHARD,ALEX",2
13:27,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
13:21,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
13:21,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",2
12:58,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",2
12:36,,51,,59 (+8),"GOOD 3PTR by WATSON,TYLER",WABM 51-59 (-8),,"GOOD 3PTR by WATSON,TYLER",2
--,,,,,"ASSIST  by DAVIDSON,JACK",,,"ASSIST  by DAVIDSON,JACK",2
12:06,"MISS JUMPER by WILSON,DREW",,,,,,,"MISS JUMPER by WILSON,DREW",2
--,,,,,"REBOUND DEF by WATSON,TYLER",,,"REBOUND DEF by WATSON,TYLER",2
11:59,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
11:59,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",2
11:59,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
11:59,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
11:57,,,,,"FOUL  by WATSON,TYLER",,,"FOUL  by WATSON,TYLER",2
11:57,,,,,"TURNOVER  by WATSON,TYLER",,,"TURNOVER  by WATSON,TYLER",2
11:28,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",2
--,,,,,"REBOUND DEF by DAVIDSON,JACK",,,"REBOUND DEF by DAVIDSON,JACK",2
11:11,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
11:11,,51,,60 (+9),"GOOD FT by WATSON,TYLER",WABM 51-60 (-9),,"GOOD FT by WATSON,TYLER",2
11:11,,51,,61 (+10),"GOOD FT by WATSON,TYLER",WABM 51-61 (-10),,"GOOD FT by WATSON,TYLER",2
10:53,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
10:52,,,,,"FOUL  by ROTTERMAN,CONNOR",,,"FOUL  by ROTTERMAN,CONNOR",2
10:42,"GOOD LAYUP by BATES,JACOB(in the paint)",53,,61 (+8),,CENTRE-M 53-61 (-8),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
10:17,,,,,"MISS LAYUP by DAVIDSON,JACK",,,"MISS LAYUP by DAVIDSON,JACK",2
10:17,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
10:17,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
10:17,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
10:13,,,,,"MISS JUMPER by EBERHARD,ALEX",,,"MISS JUMPER by EBERHARD,ALEX",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
10:02,"GOOD LAYUP by BATES,JACOB(in the paint)",55,,61 (+6),,CENTRE-M 55-61 (-6),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",2
09:45,,,,,"FOUL  by WATSON,TYLER",,,"FOUL  by WATSON,TYLER",2
09:45,,,,,"TURNOVER  by WATSON,TYLER",,,"TURNOVER  by WATSON,TYLER",2
09:45,,,,,"SUB IN by SCHREIBER,KELLEN",,,"SUB IN by SCHREIBER,KELLEN",2
09:45,,,,,"SUB OUT by EBERHARD,ALEX",,,"SUB OUT by EBERHARD,ALEX",2
09:31,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",2
--,,,,,"REBOUND DEF by SCHREIBER,KELLEN",,,"REBOUND DEF by SCHREIBER,KELLEN",2
09:19,,55,,64 (+9),"GOOD 3PTR by WATSON,TYLER",WABM 55-64 (-9),,"GOOD 3PTR by WATSON,TYLER",2
--,,,,,"ASSIST  by DAVIDSON,JACK",,,"ASSIST  by DAVIDSON,JACK",2
09:05,,,,,"FOUL  by HEGWOOD,JACK",,,"FOUL  by HEGWOOD,JACK",2
09:05,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
09:05,"GOOD FT by WALKER,ART",56,,64 (+8),,CENTRE-M 56-64 (-8),,"GOOD FT by WALKER,ART",2
09:05,"MISS FT by WALKER,ART",,,,,,,"MISS FT by WALKER,ART",2
09:05,,,,,"SUB IN by HALLSTROM,HARRISON",,,"SUB IN by HALLSTROM,HARRISON",2
09:05,,,,,"SUB OUT by HEGWOOD,JACK",,,"SUB OUT by HEGWOOD,JACK",2
--,,,,,"REBOUND DEF by WATSON,TYLER",,,"REBOUND DEF by WATSON,TYLER",2
08:50,,56,,66 (+10),"GOOD JUMPER by SCHREIBER,KELLEN(in the paint)",WABM 56-66 (-10),,"GOOD JUMPER by SCHREIBER,KELLEN(in the paint)",2
08:30,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND DEF by HALLSTROM,HARRISON",,,"REBOUND DEF by HALLSTROM,HARRISON",2
08:12,,56,,68 (+12),"GOOD JUMPER by HALLSTROM,HARRISON(in the paint)",WABM 56-68 (-12),,"GOOD JUMPER by HALLSTROM,HARRISON(in the paint)",2
07:56,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",2
--,,,,,"REBOUND DEF by HALLSTROM,HARRISON",,,"REBOUND DEF by HALLSTROM,HARRISON",2
07:42,,,,,"TURNOVER  by WATSON,TYLER",,,"TURNOVER  by WATSON,TYLER",2
07:42,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",2
07:36,"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",58,,68 (+10),,CENTRE-M 58-68 (-10),,"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",2
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",2
07:14,,,,,"TURNOVER  by HALLSTROM,HARRISON",,,"TURNOVER  by HALLSTROM,HARRISON",2
06:54,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
06:54,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
06:54,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
06:54,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
06:54,,,,,"SUB IN by GARLAND,COLTEN",,,"SUB IN by GARLAND,COLTEN",2
06:54,,,,,"SUB OUT by DAVIDSON,JACK",,,"SUB OUT by DAVIDSON,JACK",2
06:52,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",2
06:52,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",2
06:47,,,,,"MISS 3PTR by SCHREIBER,KELLEN",,,"MISS 3PTR by SCHREIBER,KELLEN",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
06:35,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",60,,68 (+8),,CENTRE-M 60-68 (-8),,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
06:14,,60,,70 (+10),"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",WABM 60-70 (-10),,"GOOD LAYUP by SCHREIBER,KELLEN(in the paint)",2
--,,,,,"ASSIST  by WATSON,TYLER",,,"ASSIST  by WATSON,TYLER",2
06:01,,,,,"FOUL  by SCHREIBER,KELLEN",,,"FOUL  by SCHREIBER,KELLEN",2
06:01,"GOOD FT by WILSON,DREW",61,,70 (+9),,CENTRE-M 61-70 (-9),,"GOOD FT by WILSON,DREW",2
06:01,"GOOD FT by WILSON,DREW",62,,70 (+8),,CENTRE-M 62-70 (-8),,"GOOD FT by WILSON,DREW",2
06:01,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
06:01,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
06:01,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
06:01,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
06:01,,,,,"SUB IN by DAVIDSON,JACK",,,"SUB IN by DAVIDSON,JACK",2
06:01,,,,,"SUB IN by EBERHARD,ALEX",,,"SUB IN by EBERHARD,ALEX",2
06:01,,,,,"SUB OUT by SCHREIBER,KELLEN",,,"SUB OUT by SCHREIBER,KELLEN",2
06:01,,,,,"SUB OUT by ROTTERMAN,CONNOR",,,"SUB OUT by ROTTERMAN,CONNOR",2
05:36,,62,,72 (+10),"GOOD JUMPER by GARLAND,COLTEN(in the paint)",WABM 62-72 (-10),,"GOOD JUMPER by GARLAND,COLTEN(in the paint)",2
05:21,"GOOD 3PTR by AYERS,PERRY",65,,72 (+7),,CENTRE-M 65-72 (-7),,"GOOD 3PTR by AYERS,PERRY",2
05:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:08,,,,,"MISS 3PTR by GARLAND,COLTEN",,,"MISS 3PTR by GARLAND,COLTEN",2
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",2
04:50,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND DEF by EBERHARD,ALEX",,,"REBOUND DEF by EBERHARD,ALEX",2
04:39,,,,,"TURNOVER  by DAVIDSON,JACK",,,"TURNOVER  by DAVIDSON,JACK",2
04:30,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",2
--,,,,,"REBOUND DEF by HALLSTROM,HARRISON",,,"REBOUND DEF by HALLSTROM,HARRISON",2
04:20,,,,,"TURNOVER  by DAVIDSON,JACK",,,"TURNOVER  by DAVIDSON,JACK",2
04:20,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
04:13,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",2
04:13,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
04:07,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",2
--,,,,,"REBOUND DEF by DAVIDSON,JACK",,,"REBOUND DEF by DAVIDSON,JACK",2
03:45,,65,,74 (+9),"GOOD JUMPER by WATSON,TYLER(in the paint)",WABM 65-74 (-9),,"GOOD JUMPER by WATSON,TYLER(in the paint)",2
03:23,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND DEF by DAVIDSON,JACK",,,"REBOUND DEF by DAVIDSON,JACK",2
03:12,,,,,"TURNOVER  by WATSON,TYLER",,,"TURNOVER  by WATSON,TYLER",2
03:12,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",67,,74 (+7),,CENTRE-M 67-74 (-7),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",2
03:12,,67,,76 (+9),"GOOD LAYUP by HALLSTROM,HARRISON(in the paint)",WABM 67-76 (-9),,"GOOD LAYUP by HALLSTROM,HARRISON(in the paint)",2
03:12,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",2
--,,,,,"REBOUND DEF by EBERHARD,ALEX",,,"REBOUND DEF by EBERHARD,ALEX",2
03:12,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",2
03:12,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",2
03:12,,,,,"SUB IN by SCHREIBER,KELLEN",,,"SUB IN by SCHREIBER,KELLEN",2
03:12,,,,,"SUB OUT by GARLAND,COLTEN",,,"SUB OUT by GARLAND,COLTEN",2
03:11,,,,,"FOUL  by DAVIDSON,JACK",,,"FOUL  by DAVIDSON,JACK",2
03:11,,,,,"TURNOVER  by DAVIDSON,JACK",,,"TURNOVER  by DAVIDSON,JACK",2
01:48,"GOOD 3PTR by BAUGHMAN,CARTER",70,,76 (+6),,CENTRE-M 70-76 (-6),,"GOOD 3PTR by BAUGHMAN,CARTER",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
01:45,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:15,,,,,"MISS LAYUP by DAVIDSON,JACK",,,"MISS LAYUP by DAVIDSON,JACK",2
--,,,,,"REBOUND OFF by WATSON,TYLER",,,"REBOUND OFF by WATSON,TYLER",2
01:10,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
00:46,"GOOD 3PTR by CRUMP,DAWSON",73,,76 (+3),,CENTRE-M 73-76 (-3),,"GOOD 3PTR by CRUMP,DAWSON",2
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",2
00:44,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:21,,,,,"MISS 3PTR by DAVIDSON,JACK",,,"MISS 3PTR by DAVIDSON,JACK",2
--,,,,,"REBOUND OFF by EBERHARD,ALEX",,,"REBOUND OFF by EBERHARD,ALEX",2
00:18,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
00:17,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",2
00:17,,,,,"MISS FT by DAVIDSON,JACK",,,"MISS FT by DAVIDSON,JACK",2
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",2
00:11,"GOOD LAYUP by CRUMP,DAWSON(fastbreak)(in the paint)",75,,76 (+1),,CENTRE-M 75-76 (-1),,"GOOD LAYUP by CRUMP,DAWSON(fastbreak)(in the paint)",2
00:11,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:10,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",2
00:10,,,,,"MISS FT by SCHREIBER,KELLEN",,,"MISS FT by SCHREIBER,KELLEN",2
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",2
00:00,"GOOD JUMPER by BATES,JACOB(in the paint)",77 (+1),,76,,CENTRE-M 77-76 (+1),,"GOOD JUMPER by BATES,JACOB(in the paint)",2
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",2
00:00,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:00,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:00,,,,,"TURNOVER  by EBERHARD,ALEX",,,"TURNOVER  by EBERHARD,ALEX",2
00:00,"STEAL  by CRUMP,DAWSON",,,,,,,"STEAL  by CRUMP,DAWSON",2
00:00,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
00:00,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
00:00,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
00:00,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",2
